"","source","target","ligand.complex","ligand","receptor.complex","receptor","ligand.scaled","receptor.scaled","weight_sc"
"1","B","B","CCL5","CCL5","CXCR3","CXCR3",-0.945434583746106,-0.206366198725265,-0.575900391235685
"2","B","B","EBI3","EBI3","IL27RA","IL27RA",0.426733017876244,0.0138831786255862,0.220308098250915
"3","B","B","ANXA1","ANXA1","FPR1","FPR1",-0.891677356590525,0.222620338762458,-0.334528508914034
"4","B","B","FPR1","FPR1","ANXA1","ANXA1",0.222620338762458,-0.891677356590525,-0.334528508914034
"5","B","B","CD2","CD2","CD48","CD48",-0.57975818134744,0.0488128787647804,-0.26547265129133
"6","B","B","CD48","CD48","CD2","CD2",0.0488128787647804,-0.57975818134744,-0.26547265129133
"7","B","B","CD72","CD72","SEMA4D","SEMA4D",0.485221202294718,0.0199159093596023,0.25256855582716
"8","B","B","SEMA4D","SEMA4D","CD72","CD72",0.0199159093596023,0.485221202294718,0.25256855582716
"9","B","B","TIMP1","TIMP1","CD63","CD63",-0.262591355573702,-0.514310355793901,-0.388450855683802
"10","B","B","TGFB1","TGFB1","CXCR4","CXCR4",-0.163998073903803,-0.131208762765105,-0.147603418334454
"11","B","B","PTPRC","PTPRC","CD22","CD22",-0.415537900453525,0.618197025849411,0.101329562697943
"12","B","B","CD22","CD22","PTPRC","PTPRC",0.618197025849411,-0.415537900453525,0.101329562697943
"13","B","B","PTDSS1","PTDSS1","JMJD6","JMJD6",0.0789395494195753,0.0715079785816555,0.0752237640006154
"14","B","B","JMJD6","JMJD6","PTDSS1","PTDSS1",0.0715079785816555,0.0789395494195753,0.0752237640006154
"15","B","NK","CD28","CD28","CD86","CD86",-0.00746375265448363,0.216944144860765,0.104740196103141
"16","B","NK","TGFB1","TGFB1","TGFBR3","TGFBR3",-0.163998073903803,0.318253593035569,0.0771277595658827
"17","B","NK","TGFB1","TGFB1","TGFBR1","TGFBR1",-0.163998073903803,0.353414029386622,0.0947079777414095
"18","B","NK","CCL5","CCL5","CXCR3","CXCR3",-0.945434583746106,0.0379110844817353,-0.453761749632185
"19","B","NK","FPR1","FPR1","ANXA1","ANXA1",0.222620338762458,0.525113064168404,0.373866701465431
"20","B","NK","GNAS","GNAS","PTGDR","PTGDR",0.136094600973003,0.614581627266401,0.375338114119702
"21","B","NK","CD2","CD2","CD48","CD48",-0.57975818134744,-0.293419803188776,-0.436588992268108
"22","B","NK","CD48","CD48","CD2","CD2",0.0488128787647804,-0.0513060240422604,-0.00124657263874
"23","B","NK","CD48","CD48","CD244","CD244",0.0488128787647804,0.528735496206176,0.288774187485478
"24","B","NK","ICAM2","ICAM2","ITGAL_ITGB2","ITGAL",0.0887135674169522,0.144412410890431,0.116562989153691
"25","B","NK","CD72","CD72","SEMA4D","SEMA4D",0.485221202294718,-0.0218935989341459,0.231663801680286
"26","B","NK","TIMP1","TIMP1","CD63","CD63",-0.262591355573702,0.902008340804233,0.319708492615265
"27","B","NK","TGFB1","TGFB1","CXCR4","CXCR4",-0.163998073903803,-0.361900193841443,-0.262949133872623
"28","B","NK","HLA-E","HLA-E","KLRD1","KLRD1",-0.456533997813046,0.830116326659573,0.186791164423264
"29","B","NK","LTB","LTB","TNFRSF1A","TNFRSF1A",0.621584412066401,0.340206550369779,0.48089548121809
"30","B","NK","CD22","CD22","PTPRC","PTPRC",0.618197025849411,0.212933675107588,0.415565350478499
"31","B","NK","PTDSS1","PTDSS1","JMJD6","JMJD6",0.0789395494195753,0.205510887770244,0.14222521859491
