"","source","target","ligand.complex","ligand","receptor.complex","receptor","ligand.log2FC","receptor.log2FC","logfc_comb"
"1","B","B","CCL5","CCL5","CXCR3","CXCR3",-1.50052687593367,-0.245795367727166,-0.87316112183042
"2","B","B","EBI3","EBI3","IL27RA","IL27RA",0.218527216369251,-0.0426035591292308,0.08796182862001
"3","B","B","ANXA1","ANXA1","FPR1","FPR1",-1.13152607270091,0.100786334769627,-0.515369868965644
"4","B","B","FPR1","FPR1","ANXA1","ANXA1",0.100786334769627,-1.13152607270091,-0.515369868965644
"5","B","B","CD2","CD2","CD48","CD48",-0.871765812552958,0.0448177562501471,-0.413474028151406
"6","B","B","CD48","CD48","CD2","CD2",0.0448177562501471,-0.871765812552958,-0.413474028151406
"7","B","B","ITGAL_ITGB2","ITGB2","ICAM2","ICAM2",-0.585072488244157,0.102110494205236,-0.24148099701946
"8","B","B","ICAM2","ICAM2","ITGAL_ITGB2","ITGB2",0.102110494205236,-0.585072488244157,-0.24148099701946
"9","B","B","CD72","CD72","SEMA4D","SEMA4D",0.418348265262012,0.0283283356982548,0.223338300480133
"10","B","B","SEMA4D","SEMA4D","CD72","CD72",0.0283283356982548,0.418348265262012,0.223338300480133
"11","B","B","TIMP1","TIMP1","CD63","CD63",-0.280744336692073,-0.639823263485939,-0.460283800089006
"12","B","B","TGFB1","TGFB1","CXCR4","CXCR4",-0.153462031440904,-0.164826924924284,-0.159144478182594
"13","B","B","PTPRC","PTPRC","CD22","CD22",-0.411200808023219,0.568426638025057,0.0786129150009191
"14","B","B","CD22","CD22","PTPRC","PTPRC",0.568426638025057,-0.411200808023219,0.0786129150009191
"15","B","B","PTDSS1","PTDSS1","JMJD6","JMJD6",0.130213489462658,0.0579089206144907,0.0940612050385744
"16","B","B","JMJD6","JMJD6","PTDSS1","PTDSS1",0.0579089206144907,0.130213489462658,0.0940612050385744
"17","B","B","TGFB1","TGFB1","ITGAV_ITGB1","ITGB1",-0.153462031440904,0,-0.0767310157204522
"18","B","NK","CD28","CD28","CD86","CD86",-0.0372991446157142,0.11501767506053,0.0388592652224077
"19","B","NK","TGFB1","TGFB1","TGFBR3","TGFBR3",-0.153462031440904,0.208763189059428,0.0276505788092619
"20","B","NK","TGFB1","TGFB1","TGFBR1","TGFBR1",-0.153462031440904,0.256775392882781,0.0516566807209386
"21","B","NK","CCL5","CCL5","CXCR3","CXCR3",-1.50052687593367,0.0442616680327411,-0.728132603950466
"22","B","NK","FPR1","FPR1","ANXA1","ANXA1",0.100786334769627,0.550646457474659,0.325716396122143
"23","B","NK","GNAS","GNAS","PTGDR","PTGDR",0.137150002923972,0.752091507482918,0.444620755203445
"24","B","NK","CD2","CD2","CD48","CD48",-0.871765812552958,-0.270181908116137,-0.570973860334548
"25","B","NK","CD48","CD48","CD2","CD2",0.0448177562501471,-0.0101784278534059,0.0173196641983706
"26","B","NK","CD48","CD48","CD244","CD244",0.0448177562501471,0.453010721898904,0.248914239074526
"27","B","NK","ITGAL_ITGB2","ITGB2","ICAM2","ICAM2",-0.585072488244157,-0.00391524296472667,-0.294493865604442
"28","B","NK","ICAM2","ICAM2","ITGAL_ITGB2","ITGAL",0.102110494205236,0.126868525412423,0.11448950980883
"29","B","NK","CD72","CD72","SEMA4D","SEMA4D",0.418348265262012,-0.00457663656037705,0.206885814350817
"30","B","NK","TIMP1","TIMP1","CD63","CD63",-0.280744336692073,1.00293872454484,0.361097193926384
"31","B","NK","TGFB1","TGFB1","CXCR4","CXCR4",-0.153462031440904,-0.328468566537402,-0.240965298989153
"32","B","NK","HLA-E","HLA-E","KLRD1","KLRD1",-0.160692531481604,0.947617709087921,0.393462588803159
"33","B","NK","LTB","LTB","TNFRSF1A","TNFRSF1A",0.598030166002083,0.284257459408653,0.441143812705368
"34","B","NK","CD22","CD22","PTPRC","PTPRC",0.568426638025057,0.203879750898117,0.386153194461587
"35","B","NK","PTDSS1","PTDSS1","JMJD6","JMJD6",0.130213489462658,0.169787052194453,0.150000270828556
"36","B","NK","JMJD6","JMJD6","PTDSS1","PTDSS1",0.0579089206144907,0.0307501174035487,0.0443295190090197
"37","B","NK","HLA-A","HLA-A","KLRD1","KLRD1",-0.17764539501297,0.947617709087921,0.384986157037476
"38","B","CD8 T","TGFB1","TGFB1","TGFBR2","TGFBR2",-0.153462031440904,0.175999460808034,0.0112687146835648
"39","B","CD8 T","CCL5","CCL5","CXCR3","CXCR3",-1.50052687593367,0.205207825501545,-0.647659525216065
"40","B","CD8 T","EBI3","EBI3","IL27RA","IL27RA",0.218527216369251,0.230618341502649,0.22457277893595
"41","B","CD8 T","FPR1","FPR1","ANXA1","ANXA1",0.100786334769627,0.480140497695651,0.290463416232639
