"","source","target","ligand.complex","ligand","receptor.complex","receptor","ligand.expr","receptor.expr","ligand.sum","receptor.sum","edge_specificity"
"1","B","B","CCL5","CCL5","CXCR3","CXCR3",0.491671035879648,0.118578093468527,6.59848126244347,0.700672742117141,0.012610139117639
"2","B","B","EBI3","EBI3","IL27RA","IL27RA",0.162130281769887,0.191378512765407,0.162130281769887,0.553902131221905,0.345509616190188
"3","B","B","ANXA1","ANXA1","FPR1","FPR1",0.393885390523984,0.106251394941705,4.42587558923229,0.154739805571736,0.0611087309336431
"4","B","B","FPR1","FPR1","ANXA1","ANXA1",0.106251394941705,0.393885390523984,0.154739805571736,4.42587558923229,0.0611087309336431
"5","B","B","CD2","CD2","CD48","CD48",0.163910940299779,1.54599795581421,2.35468256057391,4.50213612228954,0.0239037406377987
"6","B","B","CD48","CD48","CD2","CD2",1.54599795581421,0.163910940299779,4.50213612228954,2.35468256057391,0.0239037406377987
"7","B","B","ITGAL_ITGB2","ITGB2","ICAM2","ICAM2",0.760072642284877,0.534134895138124,4.0705488221705,1.40033817734311,0.0712229823792638
"8","B","B","ICAM2","ICAM2","ITGAL_ITGB2","ITGB2",0.534134895138124,0.760072642284877,1.40033817734311,4.0705488221705,0.0712229823792638
"9","B","B","CD72","CD72","SEMA4D","SEMA4D",0.377493402303649,0.223094502642178,0.424863534719512,0.637662063556706,0.310855242580462
"10","B","B","SEMA4D","SEMA4D","CD72","CD72",0.223094502642178,0.377493402303649,0.637662063556706,0.424863534719512,0.310855242580462
"11","B","B","TIMP1","TIMP1","CD63","CD63",0.137708812926166,0.48357702176794,0.934116054608886,3.18727616983789,0.0223669547328303
"12","B","B","TGFB1","TGFB1","CXCR4","CXCR4",0.415304167091577,1.32766130682417,1.6229445508379,4.41371926420569,0.0769742026402915
"13","B","B","PTPRC","PTPRC","CD22","CD22",0.761533411345825,0.554265365533974,3.40927499699254,0.672465812718861,0.184108763026257
"14","B","B","CD22","CD22","PTPRC","PTPRC",0.554265365533974,0.761533411345825,0.672465812718861,3.40927499699254,0.184108763026257
"15","B","B","PTDSS1","PTDSS1","JMJD6","JMJD6",0.27507301748237,0.223981345070093,0.693695021807627,0.566095305655995,0.156892328495968
"16","B","B","JMJD6","JMJD6","PTDSS1","PTDSS1",0.223981345070093,0.27507301748237,0.566095305655995,0.693695021807627,0.156892328495968
"17","B","B","TGFB1","TGFB1","ITGAV_ITGB1","ITGB1",0.415304167091577,0,1.6229445508379,0,0
"18","B","NK","CD28","CD28","CD86","CD86",0.116665254727136,0.152487467483942,0.358743595965501,0.239627474793214,0.206944990089361
"19","B","NK","TGFB1","TGFB1","TGFBR3","TGFBR3",0.415304167091577,0.189355420774789,1.6229445508379,0.24343415955529,0.199048463342506
"20","B","NK","TGFB1","TGFB1","TGFBR1","TGFBR1",0.415304167091577,0.234552940157019,1.6229445508379,0.275940460753103,0.217514444680576
"21","B","NK","CCL5","CCL5","CXCR3","CXCR3",0.491671035879648,0.254680211646446,6.59848126244347,0.700672742117141,0.0270838635150079
"22","B","NK","FPR1","FPR1","ANXA1","ANXA1",0.106251394941705,2.1121373119575,0.154739805571736,4.42587558923229,0.327684229464865
"23","B","NK","GNAS","GNAS","PTGDR","PTGDR",0.734176766623014,0.825506009432042,1.86524208179663,0.980014881462446,0.331553029515524
"24","B","NK","CD2","CD2","CD48","CD48",0.163910940299779,1.2284932202849,2.35468256057391,4.50213612228954,0.018994580945302
"25","B","NK","CD48","CD48","CD2","CD2",1.54599795581421,0.729939927646468,4.50213612228954,2.35468256057391,0.106449848190263
"26","B","NK","CD48","CD48","CD244","CD244",1.54599795581421,0.387601899198962,4.50213612228954,0.426923892372515,0.311763831069842
"27","B","NK","ITGAL_ITGB2","ITGB2","ICAM2","ICAM2",0.760072642284877,0.459545030143938,4.0705488221705,1.40033817734311,0.0612769693243055
"28","B","NK","ICAM2","ICAM2","ITGAL_ITGB2","ITGAL",0.534134895138124,0.251222995315255,1.40033817734311,0.540790813749418,0.177193630288325
"29","B","NK","CD72","CD72","SEMA4D","SEMA4D",0.377493402303649,0.200966848869355,0.424863534719512,0.637662063556706,0.280023029774574
"30","B","NK","TIMP1","TIMP1","CD63","CD63",0.137708812926166,2.07762185697321,0.934116054608886,3.18727616983789,0.0960965305112427
"31","B","NK","TGFB1","TGFB1","CXCR4","CXCR4",0.415304167091577,1.07522147794157,1.6229445508379,4.41371926420569,0.0623384258476618
