"","source","ligand","target","receptor","aggregate_rank","mean_rank","median_rank","natmi.edge_specificity","natmi.rank","sca.LRscore","sca.rank","logfc.logfc_comb","logfc.rank","connectome.weight_sc","connectome.rank"
"1","NK","HLA-A","NK","KLRD1",0.000661416092951885,11.5,5,0.281256584914166,34,0.916612746909724,4,0.528623674691531,6,0.670222766196123,2
"2","NK","KLRD1","NK","B2M",0.000804974280456804,12.25,5,0.27731598993798,38,0.930473203492175,1,0.514330591087014,9,0.779499734766389,1
"3","NK","KLRD1","NK","HLA-A",0.00104560140382549,11.5,5,0.281256584914166,34,0.916612746909724,4,0.528623674691531,6,0.670222766196123,2
"4","NK","HLA-E","NK","KLRD1",0.00300726775264194,12.5,7,0.283584242847116,32,0.906359991353046,10,0.531324500249954,4,0.58138421602199,4
"5","NK","KLRD1","CD8 T","HLA-A",0.00300726775264194,15.5,8.5,0.271219235291866,39,0.915213394406944,6,0.492576253858727,10,0.534804205825613,7
"6","NK","KLRD1","NK","HLA-E",0.00398442410804255,12.5,7,0.283584242847116,32,0.906359991353046,10,0.531324500249954,4,0.58138421602199,4
"7","CD8 T","HLA-A","NK","KLRD1",0.00398442410804255,15.5,8.5,0.271219235291866,39,0.915213394406944,6,0.492576253858727,10,0.534804205825613,7
"8","NK","KLRD1","CD8 T","HLA-E",0.00651659839955586,19.5,12.5,0.270253725867086,41,0.90429670911678,12,0.482738253452184,12,0.476999109544106,13
"9","CD8 T","HLA-E","NK","KLRD1",0.00810145135677683,19.5,12.5,0.270253725867086,41,0.90429670911678,12,0.482738253452184,12,0.476999109544106,13
"10","NK","KLRD1","CD8 T","B2M",0.00810145135677683,17,11.5,0.2672570701542,43,0.929268567984557,2,0.478046736391429,14,0.534657352405081,9
"11","CD8 T","CD2","CD8 T","CD48",0.011980808476422,24.5,16,0.238069460219546,51,0.888652466272176,16,0.469593530374073,15,0.437835564906849,16
"12","B","LTB","NK","TNFRSF1A",0.0129146199574061,22.25,18,0.324997200055308,17,0.831916761515171,41,0.441143812705368,19,0.48089548121809,12
"13","CD8 T","CD48","CD8 T","CD2",0.0143031732835576,24.5,16,0.238069460219546,51,0.888652466272176,16,0.469593530374073,15,0.437835564906849,16
"14","NK","TGFB1","CD8 T","CXCR4",0.0171299821194623,23,19,0.261609485023169,44,0.873049626345488,21,0.460445210631718,17,0.501634017507399,10
"15","CD8 T","CCL5","CD8 T","CXCR3",0.0204633876028467,23.75,24,0.255185626971099,46,0.845122616256563,33,0.602646281418794,1,0.472833959707924,15
"16","CD8 T","TIMP1","NK","CD63",0.0223016828487531,20.5,16.5,0.299923637305471,27,0.826002920276668,47,0.578876828125175,2,0.540538752471835,6
"17","NK","TIMP1","NK","CD63",0.0334163936420985,27.75,28,0.255828541320684,45,0.814277799451835,52,0.569162717289281,3,0.49276526611925,11
"18","B","CD22","NK","PTPRC",0.03606198945917,29,22.5,0.321186268387298,18,0.811708231942068,53,0.386153194461587,26,0.415565350478499,19
"19","NK","PTPRC","B","CD22",0.0388616506196178,29,22.5,0.321186268387298,18,0.811708231942068,53,0.386153194461587,26,0.415565350478499,19
"20","B","CD22","CD8 T","PTPRC",0.0418212454088437,32,26.5,0.318933286295284,20,0.811169706779846,55,0.384256793757598,31,0.410400625597674,22
"21","CD8 T","PTPRC","B","CD22",0.0449467517998269,32,26.5,0.318933286295284,20,0.811169706779846,55,0.384256793757598,31,0.410400625597674,22
"22","NK","CD244","CD8 T","CD48",0.0517199597168715,34,33.5,0.348394514447537,11,0.804342387242528,58,0.300081774294581,42,0.386671210315087,25
"23","CD8 T","CD48","NK","CD244",0.0553801656267797,34,33.5,0.348394514447537,11,0.804342387242528,58,0.300081774294581,42,0.386671210315087,25
"24","B","HLA-E","NK","KLRD1",0.059231291906139,38.25,39.5,0.233192673091398,55,0.897721163328375,14,0.393462588803159,24,0.186791164423264,60
"25","B","CD48","CD8 T","CD2",0.059231291906139,33,27,0.213038506350971,60,0.883036561648679,18,0.418425995154018,20,0.339938542077241,34
"26","NK","TGFB1","NK","TGFBR1",0.0605978528729809,36.25,23,0.488097893071809,4,0.701381217092248,95,0.385703656139448,28,0.431786553897436,18
"27","B","GNAS","NK","PTGDR",0.0605978528729809,30.25,23,0.331553029515524,14,0.796374226129483,61,0.444620755203445,18,0.375338114119702,28
"28","NK","KLRD1","B","HLA-E",0.063279864965817,38.25,39.5,0.233192673091398,55,0.897721163328375,14,0.393462588803159,24,0.186791164423264,60
"29","CD8 T","CD2","B","CD48",0.063279864965817,33,27,0.213038506350971,60,0.883036561648679,18,0.418425995154018,20,0.339938542077241,34
"30","B","CD48","NK","CD244",0.0675325209042585,44.5,46.5,0.311763831069842,23,0.795453002337013,62,0.248914239074526,51,0.288774187485478,42
"31","NK","CD244","B","CD48",0.0719960055074864,44.5,46.5,0.311763831069842,23,0.795453002337013,62,0.248914239074526,51,0.288774187485478,42
"32","NK","GNAS","NK","PTGDR",0.0766771742491008,35.25,27.5,0.313569230464658,22,0.791815143541941,64,0.408252385676536,23,0.351235726743835,32
"33","CD8 T","CCL5","NK","CXCR3",0.0920969853539296,35.75,34,0.198496835024107,67,0.827960159623293,44,0.522173202684393,8,0.407561944827027,24
"34","B","EBI3","CD8 T","IL27RA",0.0922151462969036,59.5,43.5,0.557014845288908,1,0.529098227789654,150,0.22457277893595,54,0.340885326553808,33
"35","NK","TGFB1","NK","TGFBR3",0.1052641700994,40.75,27.5,0.446660614743688,5,0.678493252383585,103,0.361697554227771,34,0.414206335721909,21
"36","CD8 T","IL23A","NK","IL12RB1",0.123674937500018,46.5,33.5,0.53006718486953,2,0.626005115340359,117,0.34931787014816,36,0.366897809917373,31
"37","CD8 T","LTB","NK","TNFRSF1A",0.129788927645979,58,55,0.243583647424203,49,0.810781318841324,57,0.129452386814093,73,0.227302122870249,53
"38","NK","TGFB1","CD8 T","TGFBR2",0.133575617043812,43.75,32,0.355210329091986,10,0.69010980041239,101,0.345315690102074,37,0.376096864063747,27
"39","B","FPR1","NK","ANXA1",0.143949077468972,43.75,33.5,0.327684229464865,15,0.704130234247882,93,0.325716396122143,38,0.373866701465431,29
"40","NK","CCL5","CD8 T","CXCR3",0.144607646255222,61.25,59.5,0.177281438117998,75,0.819759899296032,51,0.22450668085883,55,0.168338446408658,64
"41","NK","ANXA1","B","FPR1",0.154801845186368,43.75,33.5,0.327684229464865,15,0.704130234247882,93,0.325716396122143,38,0.373866701465431,29
