"","source","target","ligand.complex","ligand","receptor.complex","receptor","ligand.log2FC","receptor.log2FC","logfc_comb"
"1","B","B","CCL5","CCL5","CXCR3","CXCR3",-1.49190069274703,-0.234808899073226,-0.863354795910129
"2","B","NK","MFNG","MFNG","NOTCH1","NOTCH1",-0.0133240232549012,0.0216062787970764,0.0041411277710876
"3","B","NK","CCL5","CCL5","CXCR3","CXCR3",-1.49190069274703,0.0664866220555011,-0.712707035345765
"4","B","NK","TGFB1","TGFB1","TGFBR1","TGFBR1",-0.150350522984039,0.252789029933697,0.0512192534748293
"5","B","NK","TGFB1","TGFB1","TGFBR1_TGFBR2","TGFBR1",-0.150350522984039,0.252789029933697,0.0512192534748293
"6","B","NK","CD48","CD48","CD244","CD244",0.112125201738306,0.488664407123443,0.300394804430874
"7","B","CD8 T","CCL5","CCL5","CXCR3","CXCR3",-1.49190069274703,0.180300844025022,-0.655799924361005
"8","B","CD8 T","TGFB1","TGFB1","TGFBR1_TGFBR2","TGFBR2",-0.150350522984039,0.184434258372482,0.0170418676942218
"9","B","CD8 T","TGFB1","TGFB1","TGFBR2","TGFBR2",-0.150350522984039,0.184434258372482,0.0170418676942218
"10","NK","B","IFNG","IFNG","IFNGR1","IFNGR1",0.49233139522233,-0.17183336845388,0.160249013384225
"11","NK","B","IFNG","IFNG","IFNGR1_IFNGR2","IFNGR1",0.49233139522233,-0.17183336845388,0.160249013384225
"12","NK","B","IFNG","IFNG","IFNGR2","IFNGR2",0.49233139522233,0.257349073498741,0.374840234360536
"13","NK","B","FASLG","FASLG","FAS","FAS",0.27502823237095,0.0347759831127205,0.154902107741835
"14","NK","B","CCL5","CCL5","CXCR3","CXCR3",0.284449009548368,-0.234808899073226,0.0248200552375707
"15","NK","NK","IFNG","IFNG","IFNGR1","IFNGR1",0.49233139522233,0.00250295137525969,0.247417173298795
"16","NK","NK","IFNG","IFNG","IFNGR1_IFNGR2","IFNGR1",0.49233139522233,0.00250295137525969,0.247417173298795
"17","NK","NK","IFNG","IFNG","IFNGR2","IFNGR2",0.49233139522233,-0.0516153022761057,0.220358046473112
"18","NK","NK","MFNG","MFNG","NOTCH1","NOTCH1",-0.0797504784482134,0.0216062787970764,-0.0290720998255685
"19","NK","NK","CCL5","CCL5","CXCR3","CXCR3",0.284449009548368,0.0664866220555011,0.175467815801934
"20","NK","NK","TGFB1","TGFB1","TGFBR1","TGFBR1",0.508122237097609,0.252789029933697,0.380455633515653
"21","NK","NK","TGFB1","TGFB1","TGFBR1_TGFBR2","TGFBR1",0.508122237097609,0.252789029933697,0.380455633515653
