"","source","ligand","target","receptor","aggregate_rank","mean_rank","median_rank","natmi.edge_specificity","natmi.rank","sca.LRscore","sca.rank","logfc.logfc_comb","logfc.rank","connectome.weight_sc","connectome.rank"
"1","CD8 T","CCL5","CD8 T","CXCR3",0.00036518117451062,4.5,1,0.255185626971099,15,0.845122616256563,1,0.615679343293652,1,0.472833959707924,1
"2","CD8 T","CCL5","NK","CXCR3",0.00942807163681799,7.25,2.5,0.198496835024107,22,0.827960159623293,2,0.558772232308892,2,0.407561944827027,3
"3","NK","TGFB1","NK","TGFBR1",0.0218362349021241,4.75,3.5,0.488097893071809,3,0.701381217092248,10,0.380455633515653,4,0.431786553897436,2
"4","CD8 T","CD48","NK","CD244",0.026655560183257,8,7.5,0.348394514447537,11,0.804342387242528,4,0.247808956926551,13,0.386671210315087,4
"5","B","CD48","NK","CD244",0.026655560183257,10.25,11.5,0.311763831069842,12,0.795453002337013,6,0.300394804430874,12,0.288774187485478,11
"6","NK","TGFB1","CD8 T","TGFBR2",0.0390264056643066,8.25,8,0.355210329091986,9,0.69010980041239,12,0.346278247735046,7,0.376096864063747,5
"7","NK","IFNG","CD8 T","IFNGR1",0.0761309454394002,9.5,8,0.358564665699609,7,0.658411033723416,15,0.329765648860579,9,0.311771823552276,7
"8","CD8 T","IL23A","NK","IL12RB1",0.134943773427738,9,8.5,0.53006718486953,1,0.626005115340359,18,0.32193608144722,11,0.366897809917373,6
"9","NK","IFNG","B","IFNGR2",0.1583127030404,10,7.5,0.372285272724069,6,0.61921743087233,19,0.374840234360536,6,0.304167623648806,9
"10","NK","IFNG","NK","IFNGR1",0.279819408579758,17,16,0.223009370131396,17,0.603189753024778,22,0.247417173298795,14,0.199716328154568,15
"11","NK","CCL5","CD8 T","CXCR3",0.347377925864223,15,16.5,0.177281438117998,24,0.819759899296032,3,0.232374926786695,16,0.168338446408658,17
"12","CD8 T","CCL5","B","CXCR3",0.379620491461891,15.5,10,0.0924193368009704,39,0.76656583454019,8,0.408124471744528,3,0.285423303223527,12
"13","NK","IFNG","NK","IFNGR2",0.426488962932111,17.25,15.5,0.268570580793514,13,0.580044143706327,25,0.220358046473112,17,0.233482736160042,14
"14","NK","CD48","NK","CD244",0.426488962932111,17.5,19,0.247736260813902,16,0.776115904490138,7,0.0808619856941449,25,0.1176578465087,22
"15","B","TGFB1","NK","TGFBR1",0.624422490628905,23,22,0.217514444680576,20,0.610581791986968,20,0.0512192534748293,28,0.0947079777414095,24
"16","NK","FASLG","CD8 T","FAS",0.83886114119117,17.75,14.5,0.492324740890841,2,0.504113245451463,40,0.175332357011668,19,0.294989059325947,10
"17","NK","IFNG","B","IFNGR1",0.884367513536027,25,25,0.143584149774917,30,0.549494225860438,31,0.160249013384225,20,0.134060225404685,19
"18","NK","FASLG","B","FAS",1,20.75,17.5,0.387059273087177,5,0.474066543608995,43,0.154902107741835,22,0.248114118712337,13
"19","CD8 T","IL23A","CD8 T","IL12RB1",1,24.75,21,0.222733063660336,18,0.520389076493774,39,0.0927561535772145,24,0.136867404246898,18
"20","CD8 T","MFNG","NK","NOTCH1",1,25,24,0.219059175482688,19,0.574093690462125,27,0.0166707803357869,33,0.133145907804416,21
"21","B","MFNG","NK","NOTCH1",1,28,27.5,0.184061619765235,23,0.552688062145979,30,0.0041411277710876,34,0.0750183365837668,25
"22","NK","MFNG","NK","NOTCH1",1,32.25,33,0.165912450275377,25,0.539823565276008,38,-0.0290720998255685,37,0.0448743130801137,29
"23","B","TGFB1","CD8 T","TGFBR2",1,27.5,28,0.158294839158179,26,0.597848216106669,23,0.0170418676942218,31,0.0390182879077208,30
"24","CD8 T","TGFB1","NK","TGFBR1",1,31.5,29.5,0.14440052196696,28,0.560926042739246,28,-0.0825528162572164,39,0.00362651244108805,31
"25","CD8 T","IFNG","B","IFNGR2",1,30.75,29.5,0.14109964123508,31,0.500282722928199,41,0.124353398917448,23,0.0568623962098205,28
"26","NK","CCL5","NK","CXCR3",1,19.5,20.5,0.137898849526232,32,0.800450536998331,5,0.175467815801934,18,0.103066431527761,23
"27","CD8 T","IFNG","CD8 T","IFNGR1",1,30.25,29.5,0.135899401337023,33,0.542676954909513,36,0.0792788134174912,26,0.0644665961132903,26
"28","CD8 T","TGFB1","CD8 T","TGFBR2",1,37,35.5,0.105086618190733,35,0.547771365595473,34,-0.116730202037824,43,-0.0520631773926006,36
"29","CD8 T","IFNG","NK","IFNGR2",1,37.75,37.5,0.101790791558787,37,0.459552963401339,44,-0.0301287889699752,38,-0.0138224912789433,32
"30","CD8 T","IFNG","NK","IFNGR1",1,37.75,37.5,0.0845226615798031,40,0.483425219459622,42,-0.00306966214429247,35,-0.0475888992844179,34
"31","NK","CCL5","B","CXCR3",1,28.25,31.5,0.0642051558015187,41,0.732411887107032,9,0.0248200552375707,30,-0.0190722100757391,33
"32","CD8 T","IFNG","B","IFNGR1",1,41.5,41.5,0.0544197514772521,42,0.42886836631811,46,-0.0902378220588624,41,-0.113245002034301,37
"33","B","CCL5","CD8 T","CXCR3",1,35.25,41,0.0348187551254283,43,0.66839403704439,14,-0.655799924361005,45,-0.388489734751288,39
"34","B","CCL5","NK","CXCR3",1,36.75,42,0.0270838635150079,44,0.639990159145765,17,-0.712707035345765,46,-0.453761749632185,40
"35","B","CCL5","B","CXCR3",1,41.5,43,0.012610139117639,45,0.548126287927035,33,-0.863354795910129,47,-0.575900391235685,41
