"","source","target","ligand.complex","ligand","receptor.complex","receptor","ligand.scaled","receptor.scaled","weight_sc"
"1","B","B","ANXA1","ANXA1","FPR1","FPR1",-0.891677356590525,0.222620338762458,-0.334528508914034
"2","B","B","SEMA4D","SEMA4D","CD72","CD72",0.0199159093596023,0.485221202294718,0.25256855582716
"3","B","B","SELPLG","SELPLG","SELL","SELL",-0.178785944796187,0.0406173891867041,-0.0690842778047416
"4","B","B","LGALS9","LGALS9","CD44","CD44",0.37783616839183,-0.051623018421187,0.163106574985321
"5","B","B","ITGB2","ITGB2","ICAM2","ICAM2",-0.528850645187414,0.0887135674169522,-0.220068538885231
"6","B","B","MIF","MIF","CD74_CXCR4","CXCR4",-0.190686152483387,-0.131208762765105,-0.160947457624246
"7","B","B","MIF","MIF","CD44_CD74","CD44",-0.190686152483387,-0.051623018421187,-0.121154585452287
"8","B","B","LGALS9","LGALS9","PTPRC","PTPRC",0.37783616839183,-0.415537900453525,-0.0188508660308477
"9","B","B","BAG6","BAG6","NCR3","NCR3",0.448736573116692,-0.428335531272876,0.0102005209219078
"10","B","B","PTPRC","PTPRC","CD22","CD22",-0.415537900453525,0.618197025849411,0.101329562697943
"11","B","B","CD22","CD22","PTPRC","PTPRC",0.618197025849411,-0.415537900453525,0.101329562697943
"12","B","B","FCER2","FCER2","ITGAM_ITGB2","ITGAM",0.482817239818385,0.00127482416992858,0.242046031994157
"13","B","B","ICAM2","ICAM2","ITGAM_ITGB2","ITGAM",0.0887135674169522,0.00127482416992858,0.0449941957934404
"14","B","B","LCK","LCK","CD8A_CD8B","CD8B",-0.698760095104902,-0.228441949193615,-0.463601022149259
"15","B","B","HLA-A","HLA-A","CD8B","CD8B",-0.749821290724325,-0.228441949193615,-0.48913161995897
"16","B","B","HLA-B","HLA-B","CD8B","CD8B",-0.728616340036732,-0.228441949193615,-0.478529144615174
"17","B","B","HLA-C","HLA-C","CD8B","CD8B",-0.862434970519042,-0.228441949193615,-0.545438459856329
"18","B","B","HLA-E","HLA-E","CD8B","CD8B",-0.456533997813046,-0.228441949193615,-0.342487973503331
"19","B","B","HLA-F","HLA-F","CD8B","CD8B",0.0380774623995144,-0.228441949193615,-0.0951822433970505
"20","B","NK","CD48","CD48","CD244","CD244",0.0488128787647804,0.528735496206176,0.288774187485478
"21","B","NK","HLA-C","HLA-C","KIR2DL3","KIR2DL3",-0.862434970519042,0.423212651268706,-0.219611159625168
"22","B","NK","HLA-E","HLA-E","KLRC1_KLRD1","KLRC1",-0.456533997813046,0.494168965949764,0.0188174840683591
"23","B","NK","HLA-E","HLA-E","KLRC1","KLRC1",-0.456533997813046,0.494168965949764,0.0188174840683591
"24","B","NK","ICAM2","ICAM2","ITGAL_ITGB2","ITGAL",0.0887135674169522,0.144412410890431,0.116562989153691
"25","B","NK","LGALS9","LGALS9","HAVCR2","HAVCR2",0.37783616839183,0.445374184625011,0.41160517650842
"26","B","NK","SELPLG","SELPLG","SELL","SELL",-0.178785944796187,0.485921788274762,0.153567921739288
"27","B","NK","LGALS9","LGALS9","CD44","CD44",0.37783616839183,-0.311693946272449,0.0330711110596905
"28","B","NK","CLEC2D","CLEC2D","KLRB1","KLRB1",0.0974415995970218,0.0643691692978155,0.0809053844474187
"29","B","NK","HLA-B","HLA-B","KIR3DL2","KIR3DL2",-0.728616340036732,0.348584888095529,-0.190015725970602
"30","B","NK","ITGB2","ITGB2","ICAM2","ICAM2",-0.528850645187414,-0.00952833936825393,-0.269189492277834
"31","B","NK","MIF","MIF","CD74_CXCR4","CXCR4",-0.190686152483387,-0.361900193841443,-0.276293173162415
"32","B","NK","MIF","MIF","CD44_CD74","CD44",-0.190686152483387,-0.311693946272449,-0.251190049377918
