"","source","target","ligand.complex","ligand","receptor.complex","receptor","ligand.log2FC","receptor.log2FC","logfc_comb"
"1","B","B","ANXA1","ANXA1","FPR1","FPR1",-1.0995148816396,0.101182358265961,-0.49916626168682
"2","B","B","EBI3_IL27","EBI3","IL27RA_IL6ST","IL27RA",0.206925621958111,0,0.103462810979055
"3","B","B","ICAM2","ICAM2","ITGAL_ITGB2","ITGB2",0.121312433822473,-0.576636966898821,-0.227662266538174
"4","B","B","SEMA4D","SEMA4D","CD72","CD72",0.0219117945160984,0.418209833225654,0.220060813870876
"5","B","B","SELPLG","SELPLG","SELL","SELL",-0.178615042581135,0.0737764112172463,-0.0524193156819445
"6","B","B","LGALS9","LGALS9","CD44","CD44",0.33246097761756,-0.109455138421629,0.111502919597965
"7","B","B","ITGB2","ITGB2","ICAM2","ICAM2",-0.576636966898821,0.121312433822473,-0.227662266538174
"8","B","B","MIF","MIF","CD74_CXCR2","CD74",-0.18155022777378,0,-0.0907751138868902
"9","B","B","MIF","MIF","CD74_CXCR4","CXCR4",-0.18155022777378,-0.193614989962383,-0.187582608868082
"10","B","B","MIF","MIF","CD44_CD74","CD44",-0.18155022777378,-0.109455138421629,-0.145502683097705
"11","B","B","LGALS9","LGALS9","PTPRC","PTPRC",0.33246097761756,-0.40599571166033,-0.0367673670213848
"12","B","B","BAG6","BAG6","NCR3","NCR3",0.361502898656606,-0.63947040946726,-0.138983755405327
"13","B","B","PTPRC","PTPRC","CD22","CD22",-0.40599571166033,0.573671622992123,0.0838379556658965
"14","B","B","CD22","CD22","PTPRC","PTPRC",0.573671622992123,-0.40599571166033,0.0838379556658965
"15","B","B","FCER2","FCER2","ITGAM_ITGB2","ITGAM",0.383338826871315,0.0470927920259259,0.215215809448621
"16","B","B","FCER2","FCER2","ITGAX_ITGB2","ITGB2",0.383338826871315,0,0.191669413435658
"17","B","B","ICAM2","ICAM2","ITGAM_ITGB2","ITGAM",0.121312433822473,0.0470927920259259,0.0842026129241997
"18","B","B","LCK","LCK","CD8A_CD8B","CD8B",-0.846133437483681,-0.354356910893585,-0.600245174188633
"19","B","B","HLA-A","HLA-A","CD8B","CD8B",-0.182223923018334,-0.354356910893585,-0.268290416955959
"20","B","B","HLA-B","HLA-B","CD8B","CD8B",-0.176914255170872,-0.354356910893585,-0.265635583032228
"21","B","B","HLA-C","HLA-C","CD8B","CD8B",-0.195194581975033,-0.354356910893585,-0.274775746434309
"22","B","B","HLA-E","HLA-E","CD8B","CD8B",-0.177646806189985,-0.354356910893585,-0.266001858541785
"23","B","B","HLA-F","HLA-F","CD8B","CD8B",0.0386481451839048,-0.354356910893585,-0.15785438285484
"24","B","NK","CD48","CD48","CD244","CD244",0.0227291866451313,0.464468334940702,0.243598760792916
"25","B","NK","HLA-C","HLA-C","KIR2DL3","KIR2DL3",-0.195194581975033,0.314471764255518,0.0596385911402425
"26","B","NK","HLA-E","HLA-E","KLRC1_KLRD1","KLRC1",-0.177646806189985,0.564683831001845,0.19351851240593
"27","B","NK","HLA-E","HLA-E","KLRC1","KLRC1",-0.177646806189985,0.564683831001845,0.19351851240593
"28","B","NK","HLA-E","HLA-E","KLRC2_KLRD1","KLRD1",-0.177646806189985,0,-0.0888234030949925
"29","B","NK","HLA-E","HLA-E","KLRC3_KLRD1","KLRD1",-0.177646806189985,0,-0.0888234030949925
