"","source","target","ligand.complex","ligand","receptor.complex","receptor","ligand.expr","receptor.expr","ligand.sum","receptor.sum","edge_specificity"
"1","B","B","ANXA1","ANXA1","FPR1","FPR1",0.393885390523984,0.106251394941705,4.42587558923229,0.154739805571736,0.0611087309336431
"2","B","B","EBI3_IL27","EBI3","IL27RA_IL6ST","IL27RA",0.162130281769887,0,0.162130281769887,0,0
"3","B","B","ICAM2","ICAM2","ITGAL_ITGB2","ITGB2",0.534134895138124,0.760072642284877,1.40033817734311,4.0705488221705,0.0712229823792638
"4","B","B","SEMA4D","SEMA4D","CD72","CD72",0.223094502642178,0.377493402303649,0.637662063556706,0.424863534719512,0.310855242580462
"5","B","B","SELPLG","SELPLG","SELL","SELL",0.177682740845203,1.30654727375117,0.864692837398174,3.79505412507465,0.070744150698841
"6","B","B","LGALS9","LGALS9","CD44","CD44",0.374319606450614,0.655390474380009,0.534913018137517,2.10305992165709,0.218076006741322
"7","B","B","ITGB2","ITGB2","ICAM2","ICAM2",0.760072642284877,0.534134895138124,4.0705488221705,1.40033817734311,0.0712229823792638
"8","B","B","MIF","MIF","CD74_CXCR2","CD74",0.910488685785623,0,3.25077398115297,0,0
"9","B","B","MIF","MIF","CD74_CXCR4","CXCR4",0.910488685785623,1.32766130682417,3.25077398115297,4.41371926420569,0.0842500894180465
"10","B","B","MIF","MIF","CD44_CD74","CD44",0.910488685785623,0.655390474380009,3.25077398115297,2.10305992165709,0.0872843247040602
"11","B","B","LGALS9","LGALS9","PTPRC","PTPRC",0.374319606450614,0.761533411345825,0.534913018137517,3.40927499699254,0.156309846621862
"12","B","B","BAG6","BAG6","NCR3","NCR3",0.415882888083069,0.265567624522794,0.604753014597873,2.04360955813809,0.0893655665391381
"13","B","B","PTPRC","PTPRC","CD22","CD22",0.761533411345825,0.554265365533974,3.40927499699254,0.672465812718861,0.184108763026257
"14","B","B","CD22","CD22","PTPRC","PTPRC",0.554265365533974,0.761533411345825,0.672465812718861,3.40927499699254,0.184108763026257
"15","B","B","FCER2","FCER2","ITGAM_ITGB2","ITGAM",0.408886667884992,0.139321883774479,0.52906507985215,0.416354487632544,0.258612754866355
"16","B","B","FCER2","FCER2","ITGAX_ITGB2","ITGB2",0.408886667884992,0,0.52906507985215,0,0
"17","B","B","ICAM2","ICAM2","ITGAM_ITGB2","ITGAM",0.534134895138124,0.139321883774479,1.40033817734311,0.416354487632544,0.127636271824064
"18","B","B","LCK","LCK","CD8A_CD8B","CD8B",0.258733369236244,0.209488446226433,2.69122229984193,1.19925130799202,0.0167939457522319
"19","B","B","HLA-A","HLA-A","CD8B","CD8B",3.2691842147084,0.209488446226433,10.9694958864466,1.19925130799202,0.0520598123597627
"20","B","B","HLA-B","HLA-B","CD8B","CD8B",2.91367368215144,0.209488446226433,9.77183363264043,1.19925130799202,0.0520852462282293
"21","B","B","HLA-C","HLA-C","CD8B","CD8B",3.48661807632961,0.209488446226433,11.7154620395393,1.19925130799202,0.0519870089321551
"22","B","B","HLA-E","HLA-E","CD8B","CD8B",2.49940506611986,0.209488446226433,8.43554965618277,1.19925130799202,0.0517574813513534
"23","B","B","HLA-F","HLA-F","CD8B","CD8B",0.789576504544845,0.209488446226433,2.2639228574605,1.19925130799202,0.0609231663875757
"24","B","NK","CD48","CD48","CD244","CD244",1.54599795581421,0.387601899198962,4.50213612228954,0.426923892372515,0.311763831069842
"25","B","NK","HLA-C","HLA-C","KIR2DL3","KIR2DL3",3.48661807632961,0.258151009290912,11.7154620395393,0.258151009290912,0.29760824323978
"26","B","NK","HLA-E","HLA-E","KLRC1_KLRD1","KLRC1",2.49940506611986,0.642471081440022,8.43554965618277,0.893647392878193,0.213015227857588
"27","B","NK","HLA-E","HLA-E","KLRC1","KLRC1",2.49940506611986,0.642471081440022,8.43554965618277,0.893647392878193,0.213015227857588
"28","B","NK","HLA-E","HLA-E","KLRC2_KLRD1","KLRD1",2.49940506611986,0,8.43554965618277,0,0
"29","B","NK","HLA-E","HLA-E","KLRC3_KLRD1","KLRD1",2.49940506611986,0,8.43554965618277,0,0
"30","B","NK","ICAM2","ICAM2","ITGAL_ITGB2","ITGAL",0.534134895138124,0.251222995315255,1.40033817734311,0.540790813749418,0.177193630288325
"31","B","NK","LGALS9","LGALS9","HAVCR2","HAVCR2",0.374319606450614,0.320318092325787,0.534913018137517,0.377182608105251,0.594277405031093
"32","B","NK","TGFB1","TGFB1","TGFBR1_TGFBR2","TGFBR1",0.415304167091577,0.234552940157019,1.6229445508379,0.275940460753103,0.217514444680576
"33","B","NK","TGFB1","TGFB1","ACVR1_TGFBR1_TGFBR2","TGFBR1",0.415304167091577,0,1.6229445508379,0,0
"34","B","NK","SELPLG","SELPLG","SELL","SELL",0.177682740845203,1.76184856458229,0.864692837398174,3.79505412507465,0.0953968393378501
"35","B","NK","LGALS9","LGALS9","CD44","CD44",0.374319606450614,0.425514216912607,0.534913018137517,2.10305992165709,0.141586496696865
"36","B","NK","CLEC2D","CLEC2D","KLRB1","KLRB1",0.209066849841072,0.254202005013875,0.495302381296547,0.646220564567109,0.166040088746993
"37","B","NK","HLA-B","HLA-B","KIR3DL2","KIR3DL2",2.91367368215144,0.182113235170343,9.77183363264043,0.221435228343895,0.245222119574006
"38","B","NK","ITGB2","ITGB2","ICAM2","ICAM2",0.760072642284877,0.459545030143938,4.0705488221705,1.40033817734311,0.0612769693243055
"39","B","NK","MIF","MIF","CD74_CXCR2","CD74",0.910488685785623,0,3.25077398115297,0,0
"40","B","NK","MIF","MIF","CD74_CXCR4","CXCR4",0.910488685785623,1.07522147794157,3.25077398115297,4.41371926420569,0.0682308847860236
"41","B","NK","MIF","MIF","CD44_CD74","CD44",0.910488685785623,0.425514216912607,3.25077398115297,2.10305992165709,0.0566696077026883
"42","B","NK","LGALS9","LGALS9","PTPRC","PTPRC",0.374319606450614,1.32853032426019,0.534913018137517,3.40927499699254,0.272689770565167
"43","B","NK","BAG6","BAG6","NCR3","NCR3",0.415882888083069,0.815942968261378,0.604753014597873,2.04360955813809,0.274571140790716
"44","B","NK","CD22","CD22","PTPRC","PTPRC",0.554265365533974,1.32853032426019,0.672465812718861,3.40927499699254,0.321186268387298
"45","B","NK","FCER2","FCER2","ITGAM_ITGB2","ITGAM",0.408886667884992,0.234815856249862,0.52906507985215,0.416354487632544,0.435871047863356
"46","B","NK","FCER2","FCER2","ITGAX_ITGB2","ITGB2",0.408886667884992,0,0.52906507985215,0,0
"47","B","NK","CLEC2B","CLEC2B","KLRB1","KLRB1",0.150951398034877,0.254202005013875,0.706502001564051,0.646220564567109,0.0840469466168785
"48","B","NK","CD69","CD69","KLRB1","KLRB1",1.0644346189095,0.254202005013875,2.77880948852945,0.646220564567109,0.150680972671201
"49","B","NK","ICAM2","ICAM2","ITGAM_ITGB2","ITGAM",0.534134895138124,0.234815856249862,1.40033817734311,0.416354487632544,0.215120694932764
"50","B","NK","LCK","LCK","CD8A_CD8B","CD8A",0.258733369236244,0.320410594798603,2.69122229984193,1.4903873250291,0.0206685776549574
"51","B","NK","HLA-A","HLA-A","CD8A","CD8A",3.2691842147084,0.320410594798603,10.9694958864466,1.4903873250291,0.0640708437632809
"52","B","NK","HLA-B","HLA-B","CD8A","CD8A",2.91367368215144,0.320410594798603,9.77183363264043,1.4903873250291,0.0641021456320152
"53","B","NK","HLA-C","HLA-C","CD8A","CD8A",3.48661807632961,0.320410594798603,11.7154620395393,1.4903873250291,0.0639812434204398
"54","B","NK","HLA-E","HLA-E","CD8A","CD8A",2.49940506611986,0.320410594798603,8.43554965618277,1.4903873250291,0.0636987601554737
"55","B","NK","HLA-F","HLA-F","CD8A","CD8A",0.789576504544845,0.320410594798603,2.2639228574605,1.4903873250291,0.0749791153338786
"56","B","NK","HLA-F","HLA-F","KIR3DL2","KIR3DL2",0.789576504544845,0.182113235170343,2.2639228574605,0.221435228343895,0.286831858819631
"57","B","CD8 T","HLA-E","HLA-E","KLRC1_KLRD1","KLRC1",2.49940506611986,0.251176311438171,8.43554965618277,0.893647392878193,0.0832790467292425
"58","B","CD8 T","HLA-E","HLA-E","KLRC1","KLRC1",2.49940506611986,0.251176311438171,8.43554965618277,0.893647392878193,0.0832790467292425
"59","B","CD8 T","HLA-E","HLA-E","KLRC2_KLRD1","KLRD1",2.49940506611986,0,8.43554965618277,0,0
"60","B","CD8 T","HLA-E","HLA-E","KLRC3_KLRD1","KLRD1",2.49940506611986,0,8.43554965618277,0,0
"61","B","CD8 T","EBI3_IL27","EBI3","IL27RA_IL6ST","IL27RA",0.162130281769887,0,0.162130281769887,0,0
"62","B","CD8 T","ICAM2","ICAM2","ITGAL_ITGB2","ITGAL",0.534134895138124,0.253758341654867,1.40033817734311,0.540790813749418,0.178981871135427
"63","B","CD8 T","ICAM2","ICAM2","ITGAM_ITGB2","ITGB2",0.534134895138124,1.10399367841308,1.40033817734311,4.0705488221705,0.103450272947678
"64","B","CD8 T","TGFB1","TGFB1","TGFBR1_TGFBR2","TGFBR2",0.415304167091577,0.21085677859872,1.6229445508379,0.340865791012027,0.158294839158179
"65","B","CD8 T","TGFB1","TGFB1","ACVR1B_TGFBR2","TGFBR2",0.415304167091577,0,1.6229445508379,0,0
"66","B","CD8 T","TGFB1","TGFB1","ACVR1C_TGFBR2","TGFBR2",0.415304167091577,0,1.6229445508379,0,0
"67","B","CD8 T","TGFB1","TGFB1","ACVR1_TGFBR1_TGFBR2","TGFBR2",0.415304167091577,0,1.6229445508379,0,0
"68","B","CD8 T","SELPLG","SELPLG","SELL","SELL",0.177682740845203,0.726658286741193,0.864692837398174,3.79505412507465,0.0393455517274846
"69","B","CD8 T","LGALS9","LGALS9","CD44","CD44",0.374319606450614,1.02215523036448,0.534913018137517,2.10305992165709,0.340114084078669
"70","B","CD8 T","CLEC2D","CLEC2D","KLRB1","KLRB1",0.209066849841072,0.392018559553235,0.495302381296547,0.646220564567109,0.256059335232759
"71","B","CD8 T","ITGB2","ITGB2","ICAM2","ICAM2",0.760072642284877,0.406658252061046,4.0705488221705,1.40033817734311,0.0542249042040894
"72","B","CD8 T","MIF","MIF","CD74_CXCR2","CD74",0.910488685785623,0,3.25077398115297,0,0
