"","source","ligand","target","receptor","aggregate_rank","mean_rank","median_rank","natmi.edge_specificity","natmi.rank","sca.LRscore","sca.rank","logfc.logfc_comb","logfc.rank","connectome.weight_sc","connectome.rank"
"1","NK","HLA-C","CD8 T","CD8A",3.56196061562954e-05,11.25,2,0.268138267153883,40,0.915754561276631,1,0.482123165916772,3,0.74980151270894,1
"2","NK","HLA-B","CD8 T","CD8A",0.000163814698164595,11.5,3.5,0.269572170282103,37,0.908709435349544,5,0.485018001570364,2,0.712058474980968,2
"3","CD8 T","LCK","CD8 T","CD8B",0.000282129273017449,12.75,5.5,0.409281929852335,5,0.852373374399366,39,0.707412144601648,1,0.619799999599823,6
"4","NK","HLA-C","CD8 T","CD8B",0.0004465141408751,13.75,7,0.268700416644996,38,0.907071576950069,7,0.440042504693534,7,0.69680339055415,3
"5","NK","HLA-A","CD8 T","CD8A",0.0004465141408751,14.75,6,0.260877577760059,44,0.91208739337994,3,0.458149617358461,5,0.594849286249558,7
"6","CD8 T","HLA-A","CD8 T","CD8A",0.00170945164711208,19.25,9.5,0.251567504335837,54,0.910619504437568,4,0.432290802272376,8,0.459430725879048,11
"7","NK","HLA-B","CD8 T","CD8B",0.00244302586523796,15.25,10.5,0.270137325938365,36,0.899380110096308,15,0.442937340347126,6,0.659060352826178,4
"8","NK","HLA-E","CD8 T","CD8A",0.00280251349316669,17.25,11.5,0.263036580592249,42,0.901338120079909,13,0.465363153392812,4,0.506010736075425,10
"9","NK","HLA-A","CD8 T","CD8B",0.00280251349316669,19,12,0.261424505280465,43,0.903066450608565,11,0.416068956135224,13,0.541851164094769,9
"10","NK","HLA-E","CD8 T","CD8B",0.00411011041332106,21.25,16.5,0.263588034442882,41,0.89134556487059,21,0.423282492169575,11,0.453012613920635,12
"11","NK","HLA-E","NK","KLRC1",0.0059644186163036,30.75,31,0.259046569971877,45,0.875315643702142,27,0.345740291745335,35,0.413410535667085,16
"12","CD8 T","HLA-A","CD8 T","CD8B",0.00984008310621813,25.75,19.5,0.252094913370154,52,0.901464210134562,12,0.390210141049139,18,0.406432603724258,21
"13","B","CD22","CD8 T","PTPRC",0.00996051545421662,33.75,19.5,0.318933286295284,20,0.811169706779846,77,0.385707933610197,19,0.410400625597674,19
"14","CD8 T","PTPRC","B","CD22",0.0114901309256921,33.75,19.5,0.318933286295284,20,0.811169706779846,77,0.385707933610197,19,0.410400625597674,19
"15","CD8 T","HLA-E","CD8 T","CD8A",0.0114901309256921,26,19,0.250671952823265,56,0.899176493981605,16,0.423440762822944,10,0.401625629597541,22
"16","CD8 T","HLA-E","CD8 T","CD8B",0.0123678184427672,33.75,29,0.251197484341804,55,0.888991970912146,24,0.381360101599706,22,0.348627507442751,34
"17","CD8 T","HLA-E","NK","KLRC1",0.016460007782649,44.25,44.5,0.246869501651864,59,0.872664425435823,29,0.303817901175466,48,0.309025429189201,41
"18","B","CD22","NK","PTPRC",0.0169704841996776,32.75,21,0.321186268387298,18,0.811708231942068,75,0.376108553996457,24,0.415565350478499,14
"19","B","HLA-F","CD8 T","CD8A",0.0188505082194287,39.25,41,0.254599934596986,51,0.823203498440568,63,0.421288849740352,12,0.358723414582979,31
"20","NK","PTPRC","B","CD22",0.0191132299051643,32.75,21,0.321186268387298,18,0.811708231942068,75,0.376108553996457,24,0.415565350478499,14
"21","CD8 T","HLA-F","CD8 T","CD8A",0.0201389768190897,44,48.5,0.245911726891534,62,0.820662682595533,64,0.410237940700595,15,0.344039680347938,35
"22","CD8 T","HLA-C","CD8 T","CD8B",0.0214923953102654,36,35,0.245123887799308,64,0.903128120542058,10,0.37306939382725,26,0.307787217162239,44
"23","NK","HLA-C","NK","KIR2DL3",0.0215216965053333,32,27,0.367310296646233,7,0.841141063949268,47,0.237394270896131,69,0.621723154960071,5
"24","CD8 T","HLA-C","CD8 T","CD8A",0.0229129105563919,27.75,22,0.244611062882598,65,0.912143882460553,2,0.415150055050488,14,0.360785339317029,30
"25","B","LGALS9","CD8 T","CD44",0.0239053898141448,47.75,27.5,0.340114084078669,13,0.756539765973489,123,0.372749369173872,27,0.370576566542733,28
"26","NK","LCK","CD8 T","CD8B",0.0244027043292539,49.75,49.5,0.25192369099992,53,0.819164831031754,67,0.359689518043766,33,0.302953170409492,46
"27","CD8 T","HLA-B","CD8 T","CD8B",0.0244027043292539,43,43.5,0.243275580897787,66,0.894540956597551,19,0.361841498666038,31,0.278620939649052,56
"28","CD8 T","HLA-B","CD8 T","CD8A",0.0259639933089845,32.25,26.5,0.242766622833227,67,0.904271204115753,9,0.403922159889275,16,0.331619061803841,37
