"","source","target","ligand.complex","ligand","receptor.complex","receptor","ligand.expr","receptor.expr","global_mean","LRscore"
"1","B","B","ANXA1","ANXA1","FPR1","FPR1",0.393885390523984,0.106251394941705,0.199056328661466,0.506836102749722
"2","B","B","EBI3_IL27","EBI3","IL27RA_IL6ST","IL27RA",0.162130281769887,0,0.199056328661466,0
"3","B","B","ICAM2","ICAM2","ITGAL_ITGB2","ITGB2",0.534134895138124,0.760072642284877,0.199056328661466,0.761957830326967
"4","B","B","SEMA4D","SEMA4D","CD72","CD72",0.223094502642178,0.377493402303649,0.199056328661466,0.593146061972944
"5","B","B","SELPLG","SELPLG","SELL","SELL",0.177682740845203,1.30654727375117,0.199056328661466,0.707647038830326
"6","B","B","LGALS9","LGALS9","CD44","CD44",0.374319606450614,0.655390474380009,0.199056328661466,0.713323934237617
"7","B","B","ITGB2","ITGB2","ICAM2","ICAM2",0.760072642284877,0.534134895138124,0.199056328661466,0.761957830326967
"8","B","B","MIF","MIF","CD74_CXCR2","CD74",0.910488685785623,0,0.199056328661466,0
"9","B","B","MIF","MIF","CD74_CXCR4","CXCR4",0.910488685785623,1.32766130682417,0.199056328661466,0.846705239533711
"10","B","B","MIF","MIF","CD44_CD74","CD44",0.910488685785623,0.655390474380009,0.199056328661466,0.795111836647869
"11","B","B","LGALS9","LGALS9","PTPRC","PTPRC",0.374319606450614,0.761533411345825,0.199056328661466,0.728422597071482
"12","B","B","BAG6","BAG6","NCR3","NCR3",0.415882888083069,0.265567624522794,0.199056328661466,0.625403774110447
"13","B","B","PTPRC","PTPRC","CD22","CD22",0.761533411345825,0.554265365533974,0.199056328661466,0.765469004186124
"14","B","B","CD22","CD22","PTPRC","PTPRC",0.554265365533974,0.761533411345825,0.199056328661466,0.765469004186124
"15","B","B","FCER2","FCER2","ITGAM_ITGB2","ITGAM",0.408886667884992,0.139321883774479,0.199056328661466,0.545256958368713
"16","B","B","FCER2","FCER2","ITGAX_ITGB2","ITGB2",0.408886667884992,0,0.199056328661466,0
"17","B","B","ICAM2","ICAM2","ITGAM_ITGB2","ITGAM",0.534134895138124,0.139321883774479,0.199056328661466,0.57813690289177
"18","B","B","LCK","LCK","CD8A_CD8B","CD8B",0.258733369236244,0.209488446226433,0.199056328661466,0.539081489536933
"19","B","B","HLA-A","HLA-A","CD8B","CD8B",3.2691842147084,0.209488446226433,0.199056328661466,0.806104546423371
"20","B","B","HLA-B","HLA-B","CD8B","CD8B",2.91367368215144,0.209488446226433,0.199056328661466,0.79694866698671
"21","B","B","HLA-C","HLA-C","CD8B","CD8B",3.48661807632961,0.209488446226433,0.199056328661466,0.811087226114736
"22","B","B","HLA-E","HLA-E","CD8B","CD8B",2.49940506611986,0.209488446226433,0.199056328661466,0.784257265171054
"23","B","B","HLA-F","HLA-F","CD8B","CD8B",0.789576504544845,0.209488446226433,0.199056328661466,0.671393588213248
"24","B","NK","CD48","CD48","CD244","CD244",1.54599795581421,0.387601899198962,0.199056328661466,0.795453002337013
"25","B","NK","HLA-C","HLA-C","KIR2DL3","KIR2DL3",3.48661807632961,0.258151009290912,0.199056328661466,0.82657254093445
"26","B","NK","HLA-E","HLA-E","KLRC1_KLRD1","KLRC1",2.49940506611986,0.642471081440022,0.199056328661466,0.864241780730991
"27","B","NK","HLA-E","HLA-E","KLRC1","KLRC1",2.49940506611986,0.642471081440022,0.199056328661466,0.864241780730991
"28","B","NK","HLA-E","HLA-E","KLRC2_KLRD1","KLRD1",2.49940506611986,0,0.199056328661466,0
"29","B","NK","HLA-E","HLA-E","KLRC3_KLRD1","KLRD1",2.49940506611986,0,0.199056328661466,0
"30","B","NK","ICAM2","ICAM2","ITGAL_ITGB2","ITGAL",0.534134895138124,0.251222995315255,0.199056328661466,0.647919553629352
"31","B","NK","LGALS9","LGALS9","HAVCR2","HAVCR2",0.374319606450614,0.320318092325787,0.199056328661466,0.634976075689551
"32","B","NK","TGFB1","TGFB1","TGFBR1_TGFBR2","TGFBR1",0.415304167091577,0.234552940157019,0.199056328661466,0.610581791986968
"33","B","NK","TGFB1","TGFB1","ACVR1_TGFBR1_TGFBR2","TGFBR1",0.415304167091577,0,0.199056328661466,0
"34","B","NK","SELPLG","SELPLG","SELL","SELL",0.177682740845203,1.76184856458229,0.199056328661466,0.737588343117485
"35","B","NK","LGALS9","LGALS9","CD44","CD44",0.374319606450614,0.425514216912607,0.199056328661466,0.667215141479826
"36","B","NK","CLEC2D","CLEC2D","KLRB1","KLRB1",0.209066849841072,0.254202005013875,0.199056328661466,0.536635180826551
"37","B","NK","HLA-B","HLA-B","KIR3DL2","KIR3DL2",2.91367368215144,0.182113235170343,0.199056328661466,0.785382163171636
"38","B","NK","ITGB2","ITGB2","ICAM2","ICAM2",0.760072642284877,0.459545030143938,0.199056328661466,0.748049710525832
"39","B","NK","MIF","MIF","CD74_CXCR2","CD74",0.910488685785623,0,0.199056328661466,0
"40","B","NK","MIF","MIF","CD74_CXCR4","CXCR4",0.910488685785623,1.07522147794157,0.199056328661466,0.832513106628476
"41","B","NK","MIF","MIF","CD44_CD74","CD44",0.910488685785623,0.425514216912607,0.199056328661466,0.757689199529763
"42","B","NK","LGALS9","LGALS9","PTPRC","PTPRC",0.374319606450614,1.32853032426019,0.199056328661466,0.779865277513123
"43","B","NK","BAG6","BAG6","NCR3","NCR3",0.415882888083069,0.815942968261378,0.199056328661466,0.745316286505998
"44","B","NK","CD22","CD22","PTPRC","PTPRC",0.554265365533974,1.32853032426019,0.199056328661466,0.811708231942068
"45","B","NK","FCER2","FCER2","ITGAM_ITGB2","ITGAM",0.408886667884992,0.234815856249862,0.199056328661466,0.608862184292699
"46","B","NK","FCER2","FCER2","ITGAX_ITGB2","ITGB2",0.408886667884992,0,0.199056328661466,0
"47","B","NK","CLEC2B","CLEC2B","KLRB1","KLRB1",0.150951398034877,0.254202005013875,0.199056328661466,0.495989020717788
"48","B","NK","CD69","CD69","KLRB1","KLRB1",1.0644346189095,0.254202005013875,0.199056328661466,0.723237177413695
"49","B","NK","ICAM2","ICAM2","ITGAM_ITGB2","ITGAM",0.534134895138124,0.234815856249862,0.199056328661466,0.640178086815785
"50","B","NK","LCK","LCK","CD8A_CD8B","CD8A",0.258733369236244,0.320410594798603,0.199056328661466,0.591244590051443
"51","B","NK","HLA-A","HLA-A","CD8A","CD8A",3.2691842147084,0.320410594798603,0.199056328661466,0.837175620506665
"52","B","NK","HLA-B","HLA-B","CD8A","CD8A",2.91367368215144,0.320410594798603,0.199056328661466,0.829176020783104
"53","B","NK","HLA-C","HLA-C","CD8A","CD8A",3.48661807632961,0.320410594798603,0.199056328661466,0.841516822724441
"54","B","NK","HLA-E","HLA-E","CD8A","CD8A",2.49940506611986,0.320410594798603,0.199056328661466,0.818039024995443
"55","B","NK","HLA-F","HLA-F","CD8A","CD8A",0.789576504544845,0.320410594798603,0.199056328661466,0.716458568117227
"56","B","NK","HLA-F","HLA-F","KIR3DL2","KIR3DL2",0.789576504544845,0.182113235170343,0.199056328661466,0.655764305981241
"57","B","CD8 T","HLA-E","HLA-E","KLRC1_KLRD1","KLRC1",2.49940506611986,0.251176311438171,0.199056328661466,0.799214745397518
"58","B","CD8 T","HLA-E","HLA-E","KLRC1","KLRC1",2.49940506611986,0.251176311438171,0.199056328661466,0.799214745397518
