"","source","target","ligand.complex","ligand","receptor.complex","receptor","ligand.scaled","receptor.scaled","weight_sc"
"1","B","B","ALOX5","ALOX5","ALOX5AP","ALOX5AP",0.568163472075279,-0.282246063610484,0.142958704232398
"2","B","B","ANXA1","ANXA1","FPR1","FPR1",-0.891677356590525,0.222620338762458,-0.334528508914034
"3","B","B","MIF","MIF","CD74","CD74",-0.190686152483387,1.11638110266967,0.462847475093143
"4","B","B","CD72","CD72","SEMA4D","SEMA4D",0.485221202294718,0.0199159093596023,0.25256855582716
"5","B","B","GRN","GRN","TNFRSF1B","TNFRSF1B",0.245336536936739,-0.192736320050498,0.0263001084431201
"6","B","B","SELL","SELL","SELPLG","SELPLG",0.0406173891867041,-0.178785944796187,-0.0690842778047416
"7","B","B","TNFSF10","TNFSF10","RIPK1","RIPK1",0.110967903750175,0.0868259037100329,0.0988969037301039
"8","B","B","LGALS9","LGALS9","CD44","CD44",0.37783616839183,-0.051623018421187,0.163106574985321
"9","B","B","FAM3C","FAM3C","LAMP1","LAMP1",0.091305826900468,-0.336480704714825,-0.122587438907179
"10","B","B","LGALS9","LGALS9","CD47","CD47",0.37783616839183,-0.0455568984592878,0.166139634966271
"11","B","B","BAG6","BAG6","NCR3","NCR3",0.448736573116692,-0.428335531272876,0.0102005209219078
"12","B","B","PTPRC","PTPRC","CD22","CD22",-0.415537900453525,0.618197025849411,0.101329562697943
"13","B","B","FCER2","FCER2","ITGAM_ITGB2","ITGAM",0.482817239818385,0.00127482416992858,0.242046031994157
"14","B","B","LCK","LCK","CD8A_CD8B","CD8B",-0.698760095104902,-0.228441949193615,-0.463601022149259
"15","B","B","CD52","CD52","SIGLEC10","SIGLEC10",0.471176606347769,0.350500109162648,0.410838357755208
"16","B","B","FAM3C","FAM3C","CLEC2D","CLEC2D",0.091305826900468,0.0974415995970218,0.0943737132487449
"17","B","B","MIF","MIF","TNFRSF14","TNFRSF14",-0.190686152483387,-0.00427714246203242,-0.09748164747271
"18","B","B","COPA","COPA","CD74","CD74",0.206593423371751,1.11638110266967,0.661487263020712
"19","B","B","FAM3C","FAM3C","HLA-C","HLA-C",0.091305826900468,-0.862434970519042,-0.385564571809287
"20","B","NK","CD28","CD28","CD86","CD86",-0.00746375265448363,0.216944144860765,0.104740196103141
"21","B","NK","TGFB1","TGFB1","TGFBR3","TGFBR3",-0.163998073903803,0.318253593035569,0.0771277595658827
"22","B","NK","ALOX5","ALOX5","ALOX5AP","ALOX5AP",0.568163472075279,0.305550266656137,0.436856869365708
"23","B","NK","MIF","MIF","CD74","CD74",-0.190686152483387,-0.620946418132034,-0.405816285307711
"24","B","NK","GRN","GRN","TNFRSF1A","TNFRSF1A",0.245336536936739,0.340206550369779,0.292771543653259
"25","B","NK","CD48","CD48","CD244","CD244",0.0488128787647804,0.528735496206176,0.288774187485478
"26","B","NK","HLA-C","HLA-C","KIR2DL3","KIR2DL3",-0.862434970519042,0.423212651268706,-0.219611159625168
"27","B","NK","HLA-E","HLA-E","KLRC1_KLRD1","KLRC1",-0.456533997813046,0.494168965949764,0.0188174840683591
"28","B","NK","HLA-E","HLA-E","KLRC1","KLRC1",-0.456533997813046,0.494168965949764,0.0188174840683591
"29","B","NK","LGALS9","LGALS9","HAVCR2","HAVCR2",0.37783616839183,0.445374184625011,0.41160517650842
"30","B","NK","CD72","CD72","SEMA4D","SEMA4D",0.485221202294718,-0.0218935989341459,0.231663801680286
"31","B","NK","GRN","GRN","TNFRSF1B","TNFRSF1B",0.245336536936739,0.0226935296595972,0.134015033298168
"32","B","NK","CLEC2B","CLEC2B","KLRF1","KLRF1",-0.143834994928265,0.55313979759476,0.204652401333248
"33","B","NK","SELL","SELL","SELPLG","SELPLG",0.0406173891867041,0.215029628072617,0.127823508629661
"34","B","NK","TNFSF12","TNFSF12","TNFRSF25","TNFRSF25",-0.11699182378592,0.132460105567676,0.00773414089087811
"35","B","NK","LGALS9","LGALS9","CD44","CD44",0.37783616839183,-0.311693946272449,0.0330711110596905
"36","B","NK","CLEC2D","CLEC2D","KLRB1","KLRB1",0.0974415995970218,0.0643691692978155,0.0809053844474187
"37","B","NK","HLA-B","HLA-B","KIR3DL2","KIR3DL2",-0.728616340036732,0.348584888095529,-0.190015725970602
"38","B","NK","FAM3C","FAM3C","LAMP1","LAMP1",0.091305826900468,0.364950263525923,0.228128045213195
"39","B","NK","LGALS9","LGALS9","CD47","CD47",0.37783616839183,0.316731819507797,0.347283993949814
"40","B","NK","BAG6","BAG6","NCR3","NCR3",0.448736573116692,0.138856829255157,0.293796701185925
"41","B","NK","FCER2","FCER2","ITGAM_ITGB2","ITGAM",0.482817239818385,0.227952023170098,0.355384631494241
"42","B","NK","LCK","LCK","CD8A_CD8B","CD8A",-0.698760095104902,-0.202692640475552,-0.450726367790227
"43","B","NK","HLA-F","HLA-F","KIR3DL2","KIR3DL2",0.0380774623995144,0.348584888095529,0.193331175247522
"44","B","NK","MIF","MIF","TNFRSF14","TNFRSF14",-0.190686152483387,0.25447356877558,0.0318937081460962
"45","B","NK","FAM3C","FAM3C","KIR2DL3","KIR2DL3",0.091305826900468,0.423212651268706,0.257259239084587
"46","B","NK","COPA","COPA","CD74","CD74",0.206593423371751,-0.620946418132034,-0.207176497380142
"47","B","NK","FAM3C","FAM3C","HLA-C","HLA-C",0.091305826900468,0.820233658651436,0.455769742775952
"48","B","NK","VEGFB","VEGFB","ADRB2","ADRB2",0.32513217541688,0.166455069527251,0.245793622472065
"49","B","CD8 T","ALOX5","ALOX5","ALOX5AP","ALOX5AP",0.568163472075279,-0.0233042030456539,0.272429634514813
"50","B","CD8 T","MIF","MIF","CD74","CD74",-0.190686152483387,-0.495434684537642,-0.343060418510515
"51","B","CD8 T","GRN","GRN","TNFRSF1A","TNFRSF1A",0.245336536936739,-0.00893921083252189,0.118198663052108
"52","B","CD8 T","HLA-E","HLA-E","KLRC1_KLRD1","KLRC1",-0.456533997813046,-0.0669805388544327,-0.261757268333739
"53","B","CD8 T","HLA-E","HLA-E","KLRC1","KLRC1",-0.456533997813046,-0.0669805388544327,-0.261757268333739
"54","B","CD8 T","CD72","CD72","SEMA4D","SEMA4D",0.485221202294718,0.00197768957454372,0.243599445934631
"55","B","CD8 T","GRN","GRN","TNFRSF1B","TNFRSF1B",0.245336536936739,0.170042790390901,0.20768966366382
"56","B","CD8 T","SELL","SELL","SELPLG","SELPLG",0.0406173891867041,-0.0362436832764299,0.00218685295513706
"57","B","CD8 T","TNFSF12","TNFSF12","TNFRSF25","TNFRSF25",-0.11699182378592,0.188822960826823,0.0359155685204516
"58","B","CD8 T","LGALS9","LGALS9","CD44","CD44",0.37783616839183,0.363316964693636,0.370576566542733
"59","B","CD8 T","CLEC2D","CLEC2D","KLRB1","KLRB1",0.0974415995970218,0.293035306560264,0.195238453078643
"60","B","CD8 T","FAM3C","FAM3C","LAMP1","LAMP1",0.091305826900468,-0.0284695588110977,0.0314181340446851
"61","B","CD8 T","LGALS9","LGALS9","CD47","CD47",0.37783616839183,-0.271174921048509,0.0533306236716601
"62","B","CD8 T","BAG6","BAG6","NCR3","NCR3",0.448736573116692,0.289478702017719,0.369107637567206
"63","B","CD8 T","FCER2","FCER2","ITGAM_ITGB2","ITGB2",0.482817239818385,-0.224075373209829,0.129370933304278
"64","B","CD8 T","LCK","LCK","CD8A_CD8B","CD8B",-0.698760095104902,0.573373122456864,-0.0626934863240189
"65","B","CD8 T","FAM3C","FAM3C","CLEC2D","CLEC2D",0.091305826900468,0.0849051830797861,0.088105504990127
"66","B","CD8 T","MIF","MIF","TNFRSF14","TNFRSF14",-0.190686152483387,-0.250196426313548,-0.220441289398468
"67","B","CD8 T","COPA","COPA","CD74","CD74",0.206593423371751,-0.495434684537642,-0.144420630582946
"68","B","CD8 T","FAM3C","FAM3C","HLA-C","HLA-C",0.091305826900468,0.0422013118676142,0.0667535693840411
"69","B","CD8 T","VEGFB","VEGFB","ADRB2","ADRB2",0.32513217541688,0.052092057549222,0.188612116483051
"70","NK","B","FASLG","FASLG","FAS","FAS",0.412572643217306,0.0836555942073676,0.248114118712337
"71","NK","B","ANXA1","ANXA1","FPR1","FPR1",0.525113064168404,0.222620338762458,0.373866701465431
"72","NK","B","MIF","MIF","CD74","CD74",0.256376367151388,1.11638110266967,0.686378734910531
"73","NK","B","CD58","CD58","CD2","CD2",0.306783862128591,-0.57975818134744,-0.136487159609424
"74","NK","B","ITGAL_ITGB2","ITGAL","ICAM3","ICAM3",0.144412410890431,0.0850170768506756,0.114714743870553
"75","NK","B","GRN","GRN","TNFRSF1B","TNFRSF1B",-0.0554817506668705,-0.192736320050498,-0.124109035358684
"76","NK","B","KLRF1","KLRF1","CLEC2B","CLEC2B",0.55313979759476,-0.143834994928265,0.204652401333248
"77","NK","B","SELL","SELL","SELPLG","SELPLG",0.485921788274762,-0.178785944796187,0.153567921739288
"78","NK","B","TNFSF10","TNFSF10","RIPK1","RIPK1",0.252106687037479,0.0868259037100329,0.169466295373756
"79","NK","B","FAM3C","FAM3C","LAMP1","LAMP1",-0.137614893231335,-0.336480704714825,-0.23704779897308
"80","NK","B","PTPRC","PTPRC","CD22","CD22",0.212933675107588,0.618197025849411,0.415565350478499
"81","NK","B","LCK","LCK","CD8A_CD8B","CD8B",0.0325332183621208,-0.228441949193615,-0.0979543654157473
"82","NK","B","CD52","CD52","SIGLEC10","SIGLEC10",-0.755698893194344,0.350500109162648,-0.202599392015848
"83","NK","B","IFNG","IFNG","IFNG_IFNGR1","IFNGR1",0.430365584741019,-0.162245133931649,0.134060225404685
"84","NK","B","FAM3C","FAM3C","CLEC2D","CLEC2D",-0.137614893231335,0.0974415995970218,-0.0200866468171565
"85","NK","B","MIF","MIF","TNFRSF14","TNFRSF14",0.256376367151388,-0.00427714246203242,0.126049612344678
"86","NK","B","FAM3C","FAM3C","HLA-C","HLA-C",-0.137614893231335,-0.862434970519042,-0.500024931875188
"87","NK","B","CCL4L1","CCL4L1","PGRMC2","PGRMC2",0.356696569371081,0.0535094774364187,0.20510302340375
"88","NK","NK","TGFB1","TGFB1","TGFBR3","TGFBR3",0.51015907840825,0.318253593035569,0.414206335721909
"89","NK","NK","MIF","MIF","CD74","CD74",0.256376367151388,-0.620946418132034,-0.182285025490323
"90","NK","NK","GRN","GRN","TNFRSF1A","TNFRSF1A",-0.0554817506668705,0.340206550369779,0.142362399851454
"91","NK","NK","CD48","CD48","CD244","CD244",-0.293419803188776,0.528735496206176,0.1176578465087
