"","source","target","ligand.complex","ligand","receptor.complex","receptor","ligand.log2FC","receptor.log2FC","logfc_comb"
"1","B","B","ALOX5","ALOX5","ALOX5AP","ALOX5AP",0.458570796718864,-0.327051307248646,0.0657597447351086
"2","B","B","ANXA1","ANXA1","FPR1","FPR1",-1.12156224343748,0.105211524382609,-0.508175359527436
"3","B","B","MIF","MIF","CD74","CD74",-0.180255790019781,0.767707105339405,0.293725657659812
"4","B","B","ICAM3","ICAM3","ITGAD_ITGB2","ITGB2",0.0910940658263922,0,0.0455470329131961
"5","B","B","EBI3_IL27","EBI3","IL27RA_IL6ST","IL27RA",0.20763235597169,0,0.103816177985845
"6","B","B","ITGAL_ITGB2","ITGB2","ICAM3","ICAM3",-0.602287420476341,0.0910940658263922,-0.255596677324974
"7","B","B","CD72","CD72","SEMA4D","SEMA4D",0.405266603288707,0.0220615223956208,0.213664062842164
"8","B","B","GRN","GRN","TNFRSF1B","TNFRSF1B",0.207878929340758,-0.209950543462969,-0.00103580706110562
"9","B","B","SELL","SELL","SELPLG","SELPLG",0.075372910902157,-0.178048391492671,-0.0513377402952571
"10","B","B","TNFSF10","TNFSF10","RIPK1","RIPK1",0.102950072490683,0.0391890392496202,0.0710695558701516
"11","B","B","LGALS9","LGALS9","CD44","CD44",0.327978037563305,-0.0985016281712181,0.114738204696043
"12","B","B","FAM3C","FAM3C","LAMP1","LAMP1",0.0729344200610306,-0.3873375927417,-0.157201586340335
"13","B","B","LGALS9","LGALS9","CD47","CD47",0.327978037563305,-0.0280980122319485,0.149940012665678
"14","B","B","BAG6","BAG6","NCR3","NCR3",0.3686671031334,-0.604169320503094,-0.117751108684847
"15","B","B","PTPRC","PTPRC","CD22","CD22",-0.397065451380498,0.57124196106357,0.087088254841536
"16","B","B","FCER2","FCER2","ITGAM_ITGB2","ITGAM",0.396027646458999,0.0391889503699772,0.217608298414488
"17","B","B","FCER2","FCER2","ITGAX_ITGB2","ITGB2",0.396027646458999,0,0.1980138232295
"18","B","B","LCK","LCK","CD8A_CD8B","CD8B",-0.829256570734996,-0.346989051567639,-0.588122811151317
"19","B","B","CD52","CD52","SIGLEC10","SIGLEC10",0.273895729544358,0.175643456343839,0.224769592944099
"20","B","B","FAM3C","FAM3C","CLEC2D","CLEC2D",0.0729344200610306,0.051498079880977,0.0622162499710038
"21","B","B","MIF","MIF","TNFRSF14","TNFRSF14",-0.180255790019781,0.0198665342104456,-0.0801946279046678
"22","B","B","COPA","COPA","CD74","CD74",0.161474374225473,0.767707105339405,0.464590739782439
"23","B","B","FAM3C","FAM3C","HLA-C","HLA-C",0.0729344200610306,-0.185688863634018,-0.0563772217864937
"24","B","NK","CD28","CD28","CD86","CD86",-0.0161354043714828,0.126149644123522,0.0550071198760194
"25","B","NK","TGFB1","TGFB1","TGFBR3","TGFBR3",-0.161203209291148,0.229117956710298,0.0339573737095753
"26","B","NK","ALOX5","ALOX5","ALOX5AP","ALOX5AP",0.458570796718864,0.325060429808326,0.391815613263595
"27","B","NK","MIF","MIF","CD74","CD74",-0.180255790019781,-0.497692854883748,-0.338974322451765
"28","B","NK","GRN","GRN","TNFRSF1A","TNFRSF1A",0.207878929340758,0.289296182352716,0.248587555846737
"29","B","NK","ICAM3","ICAM3","ITGAD_ITGB2","ITGB2",0.0910940658263922,0,0.0455470329131961
"30","B","NK","CD48","CD48","CD244","CD244",0.0392976146391262,0.463029145853265,0.251163380246196
"31","B","NK","HLA-C","HLA-C","KIR2DL3","KIR2DL3",-0.185688863634018,0.316326573599341,0.0653188549826618
"32","B","NK","HLA-E","HLA-E","KLRC1_KLRD1","KLRC1",-0.167455039677263,0.578680522755006,0.205612741538871
"33","B","NK","HLA-E","HLA-E","KLRC1","KLRC1",-0.167455039677263,0.578680522755006,0.205612741538871
"34","B","NK","HLA-E","HLA-E","KLRC2_KLRD1","KLRD1",-0.167455039677263,0,-0.0837275198386317
"35","B","NK","HLA-E","HLA-E","KLRC3_KLRD1","KLRD1",-0.167455039677263,0,-0.0837275198386317
