"","source","ligand","target","receptor","aggregate_rank","mean_rank","median_rank","natmi.edge_specificity","natmi.rank","sca.LRscore","sca.rank","logfc.logfc_comb","logfc.rank","connectome.weight_sc","connectome.rank"
"1","NK","MIF","B","CD74",1.474887649734e-05,19.5,1.5,0.202110958134098,74,0.92463651255082,1,0.496899819703831,2,0.686378734910531,1
"2","CD8 T","LCK","CD8 T","CD8B",6.46871409153145e-05,8,7.5,0.409281929852335,11,0.852373374399366,16,0.699377684065171,1,0.619799999599823,4
"3","NK","CD58","CD8 T","CD2",0.000620705289654716,23.25,7,0.449131626493074,7,0.734328074122931,76,0.493057204102751,3,0.468924033759146,7
"4","NK","PTPRC","B","CD22",0.0013921199988251,20.25,21,0.321186268387298,28,0.811708231942068,31,0.387533568922695,8,0.415565350478499,14
"5","CD8 T","PTPRC","B","CD22",0.00160190419501154,23,24.5,0.318933286295284,29,0.811169706779846,32,0.379622114433327,11,0.410400625597674,20
"6","B","COPA","B","CD74",0.00209166111359029,17.5,17.5,0.310889287850103,31,0.81092485725072,33,0.464590739782439,4,0.661487263020712,2
"7","NK","HLA-C","NK","KIR2DL3",0.00268596473657892,18.5,18,0.367310296646233,18,0.841141063949268,18,0.241812102712138,35,0.621723154960071,3
"8","CD8 T","CD48","NK","CD244",0.00268596473657892,26,22.5,0.348394514447537,21,0.804342387242528,38,0.314528911754179,24,0.386671210315087,21
"9","NK","CLEC2B","NK","KLRF1",0.00306834611985939,29,8.5,0.482076550716259,5,0.694413559799148,94,0.410485883671105,5,0.420819893544858,12
"10","NK","KLRF1","NK","CLEC2B",0.00388620438883544,29,8.5,0.482076550716259,5,0.694413559799148,94,0.410485883671105,5,0.420819893544858,12
"11","B","ALOX5","NK","ALOX5AP",0.00388620438883544,23,11.5,0.405029351492538,13,0.764366297326901,62,0.391815613263595,7,0.436856869365708,10
"12","NK","TGFB1","NK","TGFBR3",0.00592406788826089,34.75,14,0.446660614743688,8,0.678493252383585,103,0.373296489305502,13,0.414206335721909,15
"13","CD8 T","MIF","B","CD74",0.00592406788826089,31.5,10.5,0.157220261022213,103,0.915405141291405,2,0.35993765010216,15,0.525345444000836,6
"14","B","CD48","NK","CD244",0.0064,37.25,36,0.311763831069842,30,0.795453002337013,47,0.251163380246196,33,0.288774187485478,39
"15","NK","HLA-E","NK","KLRC1",0.0071617935133226,22.5,16,0.259046569971877,48,0.875315643702142,10,0.353598071416858,16,0.413410535667085,16
"16","B","CD52","B","SIGLEC10",0.00848897496992846,35.5,36.5,0.310774217780205,33,0.789661057142393,50,0.224769592944099,40,0.410838357755208,19
"17","B","LGALS9","NK","HAVCR2",0.0101179104673042,38.25,18.5,0.594277405031093,1,0.634976075689551,115,0.338105760684571,19,0.41160517650842,18
"18","NK","LCK","CD8 T","CD8B",0.0165599080743205,31,30.5,0.25192369099992,53,0.819164831031754,27,0.381440703035864,10,0.302953170409492,34
"19","B","LGALS9","CD8 T","CD44",0.0206951220573856,31.5,23.5,0.340114084078669,23,0.756539765973489,65,0.360639314761881,14,0.370576566542733,24
"20","CD8 T","HLA-E","NK","KLRC1",0.0207250365476769,31.25,28.5,0.246869501651864,56,0.872664425435823,12,0.30492387311753,25,0.309025429189201,32
"21","B","BAG6","CD8 T","NCR3",0.0239080397811422,31.5,25.5,0.323753768028269,26,0.760636573144361,63,0.373868551588918,12,0.369107637567206,25
"22","NK","HLA-B","NK","KIR3DL2",0.0256304671201846,35,37,0.303699554402686,35,0.802857233158265,39,0.193473422631315,61,0.54666623564551,5
"23","NK","SELL","NK","SELPLG",0.0256304671201846,34.75,29,0.226134270722469,60,0.812298223517382,30,0.334817489317687,21,0.35047570817369,28
"24","NK","FASLG","NK","TNFRSF1A",0.0263645793115554,43.75,24.5,0.594166034611925,2,0.600316613642813,124,0.299833086608917,27,0.376389596793542,22
"25","NK","ANXA1","B","FPR1",0.0263645793115554,39.25,24,0.327684229464865,25,0.704130234247882,87,0.33390440029939,22,0.373866701465431,23
"26","CD8 T","SIRPG","NK","CD47",0.0295371437287159,33.5,23.5,0.404952941044915,14,0.738164537073488,73,0.334894141948915,20,0.353960745611597,27
"27","B","MIF","B","CD74",0.0295371437287159,39,18,0.139797917005679,117,0.910745230281221,3,0.293725657659812,28,0.462847475093143,8
"28","B","LGALS9","NK","CD47",0.0313591214543622,36.5,28,0.321697280190437,27,0.751107135657461,67,0.320406904723482,23,0.347283993949814,29
"29","B","FCER2","NK","ITGAM",0.0365928685405454,46.5,28,0.435871047863356,9,0.608862184292699,121,0.273930154903967,30,0.355384631494241,26
"30","B","BAG6","NK","NCR3",0.0379983241328619,45.5,41.5,0.274571140790716,46,0.745316286505998,70,0.284982645303293,29,0.293796701185925,37
"31","NK","TGFB1","NK","TGFBR1",0.0435949633390793,80.5,48.5,0.488097893071809,4,0.701381217092248,88,0.387254548493185,9,NA,221
"32","CD8 T","HLA-C","NK","KIR2DL3",0.0456398026584697,41,36.5,0.335081460113987,24,0.834909028445157,21,0.163127127502656,70,0.23270698156816,49
"33","B","ALOX5","CD8 T","ALOX5AP",0.0608659679286394,48.75,40,0.289343433572699,40,0.732745299679581,78,0.230255940548182,37,0.272429634514813,40
"34","CD8 T","CD52","B","SIGLEC10",0.0679158946563421,50,46,0.291419836839319,39,0.784271184006367,53,0.146795785533057,77,0.317511198004611,31
"35","B","LGALS9","B","CD47",0.0716621115515431,73.25,73.5,0.220538384908425,65,0.714176603315049,81,0.149940012665678,73,0.166139634966271,74
"36","B","GRN","NK","TNFRSF1A",0.0752370992451237,52,36,0.346396171194786,22,0.637481297293463,114,0.248587555846737,34,0.292771543653259,38
"37","CD8 T","ANXA1","B","FPR1",0.0752370992451237,50,36,0.297852563997266,36,0.694091560885899,97,0.267259395730782,31,0.29459231559229,36
"38","NK","MIF","NK","TNFRSF14",0.0838345346262476,46,39,0.187208652312295,81,0.823852255613719,25,0.238275022315353,36,0.255424967963484,42
"39","B","FAM3C","NK","HLA-C",0.102002088357791,55.5,52,0.149174138438007,109,0.842731907402108,17,0.120116025942983,87,0.455769742775952,9
"40","CD8 T","SIRPG","B","CD47",0.107487241277659,68.25,70,0.277613996391558,44,0.700080419126572,89,0.164427249891111,69,0.172816386628054,71
"41","B","LGALS9","B","CD44",0.123890598815682,78,78.5,0.218076006741322,66,0.713323934237617,82,0.114738204696043,89,0.163106574985321,75
"42","B","CD72","B","SEMA4D",0.13273669952979,62,44.5,0.310855242580462,32,0.593146061972944,127,0.213664062842164,46,0.25256855582716,43
"43","CD8 T","ITGAL","B","ICAM3",0.142103434225329,88,88.5,0.169792176610995,92,0.711998705660993,83,0.12170946532267,85,0.117294638325452,92
"44","CD8 T","FAM3C","NK","HLA-C",0.147363274954959,61.5,58,0.135997595308183,119,0.836506132999239,20,0.105875020019115,96,0.433271362491152,11
"45","NK","CD48","NK","CD244",0.14859855451328,74,74,0.247736260813902,55,0.776115904490138,57,0.108774883705206,93,0.1176578465087,91
"46","NK","FASLG","CD8 T","FAS",0.1503496483956,64.75,42,0.492324740890841,3,0.504113245451463,172,0.204716730162232,49,0.294989059325947,35
"47","B","SELL","NK","SELPLG",0.15531382533767,76,79.5,0.167696089694405,94,0.788436276394561,51,0.150288684583106,72,0.127823508629661,87
