"","source","target","ligand.complex","ligand","receptor.complex","receptor","ligand.expr","receptor.expr","global_mean","LRscore"
"1","B","B","ALOX5","ALOX5","ALOX5AP","ALOX5AP",0.393793090881736,0.518253846943279,0.199056328661466,0.694142413139068
"2","B","B","ANXA1","ANXA1","FPR1","FPR1",0.393885390523984,0.106251394941705,0.199056328661466,0.506836102749722
"3","B","B","MIF","MIF","CD74","CD74",0.910488685785623,4.53114927048177,0.199056328661466,0.910745230281221
"4","B","B","ICAM3","ICAM3","ITGAD_ITGB2","ITGB2",0.954335724036847,0,0.199056328661466,0
"5","B","B","EBI3_IL27","EBI3","IL27RA_IL6ST","IL27RA",0.162130281769887,0,0.199056328661466,0
"6","B","B","ITGAL_ITGB2","ITGB2","ICAM3","ICAM3",0.760072642284877,0.954335724036847,0.199056328661466,0.810555993431426
"7","B","B","CD72","CD72","SEMA4D","SEMA4D",0.377493402303649,0.223094502642178,0.199056328661466,0.593146061972944
"8","B","B","GRN","GRN","TNFRSF1B","TNFRSF1B",0.37397282069396,0.215719706431801,0.199056328661466,0.587949143322559
"9","B","B","SELL","SELL","SELPLG","SELPLG",1.30654727375117,0.177682740845203,0.199056328661466,0.707647038830326
"10","B","B","TNFSF10","TNFSF10","RIPK1","RIPK1",0.334092917583333,0.142513478852681,0.199056328661466,0.522943881386082
"11","B","B","LGALS9","LGALS9","CD44","CD44",0.374319606450614,0.655390474380009,0.199056328661466,0.713323934237617
"12","B","B","FAM3C","FAM3C","LAMP1","LAMP1",0.26439734593398,0.217407711390467,0.199056328661466,0.546372825498737
"13","B","B","LGALS9","LGALS9","CD47","CD47",0.374319606450614,0.660883773505572,0.199056328661466,0.714176603315049
"14","B","B","BAG6","BAG6","NCR3","NCR3",0.415882888083069,0.265567624522794,0.199056328661466,0.625403774110447
"15","B","B","PTPRC","PTPRC","CD22","CD22",0.761533411345825,0.554265365533974,0.199056328661466,0.765469004186124
"16","B","B","FCER2","FCER2","ITGAM_ITGB2","ITGAM",0.408886667884992,0.139321883774479,0.199056328661466,0.545256958368713
"17","B","B","FCER2","FCER2","ITGAX_ITGB2","ITGB2",0.408886667884992,0,0.199056328661466,0
"18","B","B","LCK","LCK","CD8A_CD8B","CD8B",0.258733369236244,0.209488446226433,0.199056328661466,0.539081489536933
"19","B","B","CD52","CD52","SIGLEC10","SIGLEC10",2.92588119785861,0.190869862035322,0.199056328661466,0.789661057142393
"20","B","B","FAM3C","FAM3C","CLEC2D","CLEC2D",0.26439734593398,0.209066849841072,0.199056328661466,0.541520593369918
"21","B","B","MIF","MIF","TNFRSF14","TNFRSF14",0.910488685785623,0.471659436820677,0.199056328661466,0.767014858021358
"22","B","B","COPA","COPA","CD74","CD74",0.160855517535105,4.53114927048177,0.199056328661466,0.81092485725072
"23","B","B","FAM3C","FAM3C","HLA-C","HLA-C",0.26439734593398,3.48661807632961,0.199056328661466,0.828279492222694
"24","B","NK","CD28","CD28","CD86","CD86",0.116665254727136,0.152487467483942,0.199056328661466,0.401218099949677
"25","B","NK","TGFB1","TGFB1","TGFBR3","TGFBR3",0.415304167091577,0.189355420774789,0.199056328661466,0.584853675201545
"26","B","NK","ALOX5","ALOX5","ALOX5AP","ALOX5AP",0.393793090881736,1.05879560922601,0.199056328661466,0.764366297326901
"27","B","NK","MIF","MIF","CD74","CD74",0.910488685785623,2.18887254872958,0.199056328661466,0.87642185430584
"28","B","NK","GRN","GRN","TNFRSF1A","TNFRSF1A",0.37397282069396,0.327631764490504,0.199056328661466,0.637481297293463
"29","B","NK","ICAM3","ICAM3","ITGAD_ITGB2","ITGB2",0.954335724036847,0,0.199056328661466,0
"30","B","NK","CD48","CD48","CD244","CD244",1.54599795581421,0.387601899198962,0.199056328661466,0.795453002337013
"31","B","NK","HLA-C","HLA-C","KIR2DL3","KIR2DL3",3.48661807632961,0.258151009290912,0.199056328661466,0.82657254093445
"32","B","NK","HLA-E","HLA-E","KLRC1_KLRD1","KLRC1",2.49940506611986,0.642471081440022,0.199056328661466,0.864241780730991
"33","B","NK","HLA-E","HLA-E","KLRC1","KLRC1",2.49940506611986,0.642471081440022,0.199056328661466,0.864241780730991
"34","B","NK","HLA-E","HLA-E","KLRC2_KLRD1","KLRD1",2.49940506611986,0,0.199056328661466,0
"35","B","NK","HLA-E","HLA-E","KLRC3_KLRD1","KLRD1",2.49940506611986,0,0.199056328661466,0
"36","B","NK","ITGAL_ITGB2","ITGB2","ICAM3","ICAM3",0.760072642284877,0.838508767564103,0.199056328661466,0.800421637305175
"37","B","NK","LGALS9","LGALS9","HAVCR2","HAVCR2",0.374319606450614,0.320318092325787,0.199056328661466,0.634976075689551
"38","B","NK","CD72","CD72","SEMA4D","SEMA4D",0.377493402303649,0.200966848869355,0.199056328661466,0.580483540124322
"39","B","NK","TGFB1","TGFB1","TGFBR1_TGFBR2","TGFBR1",0.415304167091577,0.234552940157019,0.199056328661466,0.610581791986968
"40","B","NK","GRN","GRN","TNFRSF1B","TNFRSF1B",0.37397282069396,0.348430685292759,0.199056328661466,0.644562731193861
"41","B","NK","CLEC2B","CLEC2B","KLRF1","KLRF1",0.150951398034877,0.505093519346323,0.199056328661466,0.581093253259544
"42","B","NK","SELL","SELL","SELPLG","SELPLG",1.30654727375117,0.421189604392454,0.199056328661466,0.788436276394561
"43","B","NK","TNFSF12","TNFSF12","TNFRSF25","TNFRSF25",0.135743568975994,0.293543322263097,0.199056328661466,0.500702140934129
"44","B","NK","LGALS9","LGALS9","CD44","CD44",0.374319606450614,0.425514216912607,0.199056328661466,0.667215141479826
"45","B","NK","CLEC2D","CLEC2D","KLRB1","KLRB1",0.209066849841072,0.254202005013875,0.199056328661466,0.536635180826551
"46","B","NK","HLA-B","HLA-B","KIR3DL2","KIR3DL2",2.91367368215144,0.182113235170343,0.199056328661466,0.785382163171636
"47","B","NK","FAM3C","FAM3C","LAMP1","LAMP1",0.26439734593398,0.724773124606441,0.199056328661466,0.687416348443132
"48","B","NK","LGALS9","LGALS9","CD47","CD47",0.374319606450614,0.96402498162402,0.199056328661466,0.751107135657461
"49","B","NK","BAG6","BAG6","NCR3","NCR3",0.415882888083069,0.815942968261378,0.199056328661466,0.745316286505998
"50","B","NK","FCER2","FCER2","ITGAM_ITGB2","ITGAM",0.408886667884992,0.234815856249862,0.199056328661466,0.608862184292699
"51","B","NK","FCER2","FCER2","ITGAX_ITGB2","ITGB2",0.408886667884992,0,0.199056328661466,0
"52","B","NK","LCK","LCK","CD8A_CD8B","CD8A",0.258733369236244,0.320410594798603,0.199056328661466,0.591244590051443
"53","B","NK","HLA-F","HLA-F","KIR3DL2","KIR3DL2",0.789576504544845,0.182113235170343,0.199056328661466,0.655764305981241
"54","B","NK","MIF","MIF","TNFRSF14","TNFRSF14",0.910488685785623,0.658465102896479,0.199056328661466,0.795492806737798
"55","B","NK","FAM3C","FAM3C","KIR2DL3","KIR2DL3",0.26439734593398,0.258151009290912,0.199056328661466,0.567562005197019
"56","B","NK","COPA","COPA","CD74","CD74",0.160855517535105,2.18887254872958,0.199056328661466,0.748802610807757
"57","B","NK","FAM3C","FAM3C","HLA-C","HLA-C",0.26439734593398,4.30320983709084,0.199056328661466,0.842731907402108
"58","B","NK","VEGFB","VEGFB","ADRB2","ADRB2",0.160751783094642,0.208359627799299,0.199056328661466,0.479006266939561
"59","B","CD8 T","ALOX5","ALOX5","ALOX5AP","ALOX5AP",0.393793090881736,0.75637865724108,0.199056328661466,0.732745299679581
"60","B","CD8 T","MIF","MIF","CD74","CD74",0.910488685785623,2.35808831742312,0.199056328661466,0.880398173351262
"61","B","CD8 T","GRN","GRN","TNFRSF1A","TNFRSF1A",0.37397282069396,0.157273328330124,0.199056328661466,0.549214222066007
"62","B","CD8 T","ICAM3","ICAM3","ITGAD_ITGB2","ITGB2",0.954335724036847,0,0.199056328661466,0
"63","B","CD8 T","HLA-E","HLA-E","KLRC1_KLRD1","KLRC1",2.49940506611986,0.251176311438171,0.199056328661466,0.799214745397518
"64","B","CD8 T","HLA-E","HLA-E","KLRC1","KLRC1",2.49940506611986,0.251176311438171,0.199056328661466,0.799214745397518
"65","B","CD8 T","HLA-E","HLA-E","KLRC2_KLRD1","KLRD1",2.49940506611986,0,0.199056328661466,0
"66","B","CD8 T","HLA-E","HLA-E","KLRC3_KLRD1","KLRD1",2.49940506611986,0,0.199056328661466,0
"67","B","CD8 T","EBI3_IL27","EBI3","IL27RA_IL6ST","IL27RA",0.162130281769887,0,0.199056328661466,0
"68","B","CD8 T","ITGAL_ITGB2","ITGB2","ICAM3","ICAM3",0.760072642284877,0.84454655344177,0.199056328661466,0.800994097358458
"69","B","CD8 T","CD72","CD72","SEMA4D","SEMA4D",0.377493402303649,0.213600712045173,0.199056328661466,0.587888393974214
"70","B","CD8 T","TGFB1","TGFB1","TGFBR1_TGFBR2","TGFBR2",0.415304167091577,0.21085677859872,0.199056328661466,0.597848216106669
"71","B","CD8 T","TGFB1","TGFB1","ACVR1_TGFBR2","TGFBR2",0.415304167091577,0,0.199056328661466,0
"72","B","CD8 T","GRN","GRN","TNFRSF1B","TNFRSF1B",0.37397282069396,0.439202064711186,0.199056328661466,0.670618443967632
"73","B","CD8 T","SELL","SELL","SELPLG","SELPLG",1.30654727375117,0.265820492160516,0.199056328661466,0.747513467349999
"74","B","CD8 T","TNFSF12","TNFSF12","TNFRSF25","TNFRSF25",0.135743568975994,0.326010196917746,0.199056328661466,0.513811555096476
"75","B","CD8 T","LGALS9","LGALS9","CD44","CD44",0.374319606450614,1.02215523036448,0.199056328661466,0.756539765973489
"76","B","CD8 T","CLEC2D","CLEC2D","KLRB1","KLRB1",0.209066849841072,0.392018559553235,0.199056328661466,0.589861722855573
"77","B","CD8 T","FAM3C","FAM3C","LAMP1","LAMP1",0.26439734593398,0.440201128550989,0.199056328661466,0.63152264866713
"78","B","CD8 T","LGALS9","LGALS9","CD47","CD47",0.374319606450614,0.47210030731106,0.199056328661466,0.678647434156491
"79","B","CD8 T","BAG6","BAG6","NCR3","NCR3",0.415882888083069,0.962098965353915,0.199056328661466,0.760636573144361
"80","B","CD8 T","FCER2","FCER2","ITGAM_ITGB2","ITGB2",0.408886667884992,1.10399367841308,0.199056328661466,0.771442781939579
"81","B","CD8 T","FCER2","FCER2","ITGAX_ITGB2","ITGB2",0.408886667884992,0,0.199056328661466,0
"82","B","CD8 T","LCK","LCK","CD8A_CD8B","CD8B",0.258733369236244,0.877294562830812,0.199056328661466,0.705313976293855
"83","B","CD8 T","FAM3C","FAM3C","CLEC2D","CLEC2D",0.26439734593398,0.203410366430878,0.199056328661466,0.538113773683635
"84","B","CD8 T","MIF","MIF","TNFRSF14","TNFRSF14",0.910488685785623,0.294117449009172,0.199056328661466,0.722198355167037
"85","B","CD8 T","COPA","COPA","CD74","CD74",0.160855517535105,2.35808831742312,0.199056328661466,0.755740836575391
"86","B","CD8 T","FAM3C","FAM3C","HLA-C","HLA-C",0.26439734593398,3.9256341261188,0.199056328661466,0.83655015345717
"87","B","CD8 T","VEGFB","VEGFB","ADRB2","ADRB2",0.160751783094642,0.157475075583313,0.199056328661466,0.444227179396733
"88","NK","B","FASLG","FASLG","FAS","FAS",0.27283150035115,0.117997956108831,0.199056328661466,0.474066543608995
"89","NK","B","ANXA1","ANXA1","FPR1","FPR1",2.1121373119575,0.106251394941705,0.199056328661466,0.704130234247882
"90","NK","B","MIF","MIF","CD74","CD74",1.31632677078381,4.53114927048177,0.199056328661466,0.92463651255082
"91","NK","B","ICAM3","ICAM3","ITGAD_ITGB2","ITGB2",0.838508767564103,0,0.199056328661466,0
"92","NK","B","CD58","CD58","CD2","CD2",0.207224324885753,0.163910940299779,0.199056328661466,0.480753195880698
"93","NK","B","ITGAL_ITGB2","ITGAL","ICAM3","ICAM3",0.251222995315255,0.954335724036847,0.199056328661466,0.710968080243627
"94","NK","B","GRN","GRN","TNFRSF1B","TNFRSF1B",0.21356547886922,0.215719706431801,0.199056328661466,0.518834546576457
"95","NK","B","KLRF1","KLRF1","CLEC2B","CLEC2B",0.505093519346323,0.150951398034877,0.199056328661466,0.581093253259544
"96","NK","B","SELL","SELL","SELPLG","SELPLG",1.76184856458229,0.177682740845203,0.199056328661466,0.737588343117485
"97","NK","B","TNFSF10","TNFSF10","RIPK1","RIPK1",0.417603743871962,0.142513478852681,0.199056328661466,0.550674655476514
