"","source","target","ligand.complex","ligand","receptor.complex","receptor","ligand.scaled","receptor.scaled","weight_sc"
"1","B","B","ALOX5AP","ALOX5AP","ALOX5","ALOX5",-0.282246063610484,0.568163472075279,0.142958704232398
"2","B","B","CCL5","CCL5","CXCR3","CXCR3",-0.945434583746106,-0.206366198725265,-0.575900391235685
"3","B","B","EBI3","EBI3","IL27RA","IL27RA",0.426733017876244,0.0138831786255862,0.220308098250915
"4","B","B","ANXA1","ANXA1","FPR1","FPR1",-0.891677356590525,0.222620338762458,-0.334528508914034
"5","B","B","MIF","MIF","CXCR4","CXCR4",-0.190686152483387,-0.131208762765105,-0.160947457624246
"6","B","B","ST6GAL1","ST6GAL1","CD22","CD22",0.0261022518399216,0.618197025849411,0.322149638844666
"7","B","B","MIF","MIF","CD74","CD74",-0.190686152483387,1.11638110266967,0.462847475093143
"8","B","B","ADAM10","ADAM10","CD44","CD44",-0.00270690700277582,-0.051623018421187,-0.0271649627119814
"9","B","B","SEMA4D","SEMA4D","CD72","CD72",0.0199159093596023,0.485221202294718,0.25256855582716
"10","B","B","GRN","GRN","TNFRSF1B","TNFRSF1B",0.245336536936739,-0.192736320050498,0.0263001084431201
"11","B","B","ICAM3","ICAM3","ITGB2","ITGB2",0.0850170768506756,-0.528850645187414,-0.221916784168369
"12","B","B","MIF","MIF","CD44","CD44",-0.190686152483387,-0.051623018421187,-0.121154585452287
"13","B","B","LGALS1","LGALS1","ITGB1","ITGB1",-0.460596838299222,0.0656404849081164,-0.197478176695553
"14","B","B","LGALS1","LGALS1","PTPRC","PTPRC",-0.460596838299222,-0.415537900453525,-0.438067369376374
"15","B","B","TIMP1","TIMP1","CD63","CD63",-0.262591355573702,-0.514310355793901,-0.388450855683802
"16","B","B","TGFB1","TGFB1","ITGB1","ITGB1",-0.163998073903803,0.0656404849081164,-0.0491787944978435
"17","B","B","TGFB1","TGFB1","CXCR4","CXCR4",-0.163998073903803,-0.131208762765105,-0.147603418334454
"18","B","B","SELPLG","SELPLG","ITGAM","ITGAM",-0.178785944796187,0.00127482416992858,-0.0887555603131294
"19","B","B","SELPLG","SELPLG","SELL","SELL",-0.178785944796187,0.0406173891867041,-0.0690842778047416
"20","B","B","SELPLG","SELPLG","ITGB2","ITGB2",-0.178785944796187,-0.528850645187414,-0.353818294991801
"21","B","B","TNFSF10","TNFSF10","RIPK1","RIPK1",0.110967903750175,0.0868259037100329,0.0988969037301039
"22","B","B","ADAM28","ADAM28","ITGA4","ITGA4",0.426905116446351,0.099110963613549,0.26300804002995
"23","B","B","ARF6","ARF6","SMAP1","SMAP1",0.275118082161183,0.0886793698916448,0.181898726026414
"24","B","B","HSP90B1","HSP90B1","TLR7","TLR7",-0.159275968721777,0.369265107098859,0.104994569188541
"25","B","B","GNAI2","GNAI2","FPR1","FPR1",-0.0171793206010794,0.222620338762458,0.102720509080689
"26","B","B","GNAI2","GNAI2","CXCR3","CXCR3",-0.0171793206010794,-0.206366198725265,-0.111772759663172
"27","B","B","PKM","PKM","CD44","CD44",-0.0877324358612182,-0.051623018421187,-0.0696777271412026
"28","B","B","HMGB1","HMGB1","CXCR4","CXCR4",-0.254962488690361,-0.131208762765105,-0.193085625727733
"29","B","B","CALM1","CALM1","PTPRA","PTPRA",-0.532072576245199,-0.079869577844486,-0.305971077044843
"30","B","B","S100A9","S100A9","ITGB2","ITGB2",-0.0420468666548902,-0.528850645187414,-0.285448755921152
"31","B","B","SPTAN1","SPTAN1","PTPRA","PTPRA",-0.0493523355592436,-0.079869577844486,-0.0646109567018648
"32","B","B","SYK","SYK","LAT","LAT",0.201201762385105,-0.158545618563514,0.0213280719107957
"33","B","B","HLA-C","HLA-C","CD3G","CD3G",-0.862434970519042,-0.0729012737529996,-0.467668122136021
"34","B","B","LGALS9","LGALS9","CD44","CD44",0.37783616839183,-0.051623018421187,0.163106574985321
"35","B","B","HLA-A","HLA-A","CD3G","CD3G",-0.749821290724325,-0.0729012737529996,-0.411361282238662
"36","B","B","HLA-B","HLA-B","CD3G","CD3G",-0.728616340036732,-0.0729012737529996,-0.400758806894866
"37","B","B","ICAM2","ICAM2","ITGAM","ITGAM",0.0887135674169522,0.00127482416992858,0.0449941957934404
"38","B","B","CALM2","CALM2","SELL","SELL",0.173735605714672,0.0406173891867041,0.107176497450688
"39","B","B","CALM1","CALM1","SELL","SELL",-0.532072576245199,0.0406173891867041,-0.245727593529248
"40","B","B","CALM3","CALM3","SELL","SELL",-0.0902805206606217,0.0406173891867041,-0.0248315657369588
"41","B","B","GNAI2","GNAI2","S1PR4","S1PR4",-0.0171793206010794,0.010028523213643,-0.00357539869371822
"42","B","B","HLA-B","HLA-B","CANX","CANX",-0.728616340036732,-0.00664882725819368,-0.367632583647463
