"","source","target","ligand.complex","ligand","receptor.complex","receptor","ligand.log2FC","receptor.log2FC","logfc_comb"
"1","B","B","ALOX5AP","ALOX5AP","ALOX5","ALOX5",-0.29858107316949,0.477196911409237,0.0893079191198733
"2","B","B","CCL5","CCL5","CXCR3","CXCR3",-1.48155719683773,-0.249560639299009,-0.865558918068369
"3","B","B","EBI3","EBI3","IL27RA","IL27RA",0.223052697694142,-0.0496945385880061,0.0866790795530679
"4","B","B","ANXA1","ANXA1","FPR1","FPR1",-1.14191297818905,0.103488973016551,-0.519212002586251
"5","B","B","MIF","MIF","CXCR4","CXCR4",-0.161874496636961,-0.17323260621116,-0.167553551424061
"6","B","B","ST6GAL1","ST6GAL1","CD22","CD22",-0.0199373291073585,0.566184989604464,0.273123830248553
"7","B","B","MIF","MIF","CD74","CD74",-0.161874496636961,0.76632325155422,0.30222437745863
"8","B","B","ADAM10","ADAM10","CD44","CD44",-0.0309447280955776,-0.0911333382104978,-0.0610390331530377
"9","B","B","SEMA4D","SEMA4D","CD72","CD72",0.0154905081508461,0.420288350146661,0.217889429148754
"10","B","B","GRN","GRN","TNFRSF1B","TNFRSF1B",0.215624026701825,-0.210637137044386,0.00249344482871995
"11","B","B","ICAM3","ICAM3","ITGB2","ITGB2",0.0806232733612474,-0.603336605982587,-0.26135666631067
"12","B","B","MIF","MIF","CD44","CD44",-0.161874496636961,-0.0911333382104978,-0.12650391742373
"13","B","B","LGALS1","LGALS1","ITGB1","ITGB1",-0.604287700568675,0.0459539091679806,-0.279166895700347
"14","B","B","LGALS1","LGALS1","PTPRC","PTPRC",-0.604287700568675,-0.405921639437784,-0.505104670003229
"15","B","B","TIMP1","TIMP1","CD63","CD63",-0.291417274433553,-0.642504255888672,-0.466960765161113
"16","B","B","TGFB1","TGFB1","ITGB1","ITGB1",-0.154775393843897,0.0459539091679806,-0.0544107423379582
"17","B","B","TGFB1","TGFB1","CXCR4","CXCR4",-0.154775393843897,-0.17323260621116,-0.164004000027528
"18","B","B","SELPLG","SELPLG","ITGAM","ITGAM",-0.193710690327876,0.0577760653866332,-0.0679673124706213
"19","B","B","SELPLG","SELPLG","SELL","SELL",-0.193710690327876,0.0779014099585706,-0.0579046401846526
"20","B","B","SELPLG","SELPLG","ITGB2","ITGB2",-0.193710690327876,-0.603336605982587,-0.398523648155231
"21","B","B","TNFSF10","TNFSF10","RIPK1","RIPK1",0.121367436431491,0.0330876165635613,0.0772275264975264
"22","B","B","ADAM28","ADAM28","ITGA4","ITGA4",0.218858521251056,0.0764340192911565,0.147646270271106
"23","B","B","ARF6","ARF6","SMAP1","SMAP1",0.302476180147151,0.0687947581645983,0.185635469155875
"24","B","B","HSP90B1","HSP90B1","TLR7","TLR7",-0.226739084987614,0.249540337148856,0.0114006260806211
"25","B","B","GNAI2","GNAI2","FPR1","FPR1",-0.000374113882759652,0.103488973016551,0.0515574295668955
"26","B","B","GNAI2","GNAI2","CXCR3","CXCR3",-0.000374113882759652,-0.249560639299009,-0.124967376590884
"27","B","B","PKM","PKM","CD44","CD44",-0.0915959261240066,-0.0911333382104978,-0.0913646321672522
"28","B","B","HMGB1","HMGB1","CXCR4","CXCR4",-0.168347645164654,-0.17323260621116,-0.170790125687907
"29","B","B","CALM1","CALM1","PTPRA","PTPRA",-0.323688216944392,-0.081400966733879,-0.202544591839136
"30","B","B","S100A9","S100A9","ITGB2","ITGB2",-0.0658264031806706,-0.603336605982587,-0.334581504581629
"31","B","B","SPTAN1","SPTAN1","PTPRA","PTPRA",-0.0483387230874464,-0.081400966733879,-0.0648698449106627
"32","B","B","SYK","SYK","LAT","LAT",0.148055515499075,-0.239095441487056,-0.0455199629939908
"33","B","B","HLA-C","HLA-C","CD3G","CD3G",-0.182124162874094,-0.0737256722254058,-0.12792491754975
"34","B","B","LGALS9","LGALS9","CD44","CD44",0.3253318759014,-0.0911333382104978,0.117099268845451
"35","B","B","HLA-A","HLA-A","CD3G","CD3G",-0.179320249458461,-0.0737256722254058,-0.126522960841933
"36","B","B","HLA-B","HLA-B","CD3G","CD3G",-0.163483881170344,-0.0737256722254058,-0.118604776697875
"37","B","B","ICAM2","ICAM2","ITGAM","ITGAM",0.0970406015228527,0.0577760653866332,0.0774083334547429
"38","B","B","CALM2","CALM2","SELL","SELL",0.13105814891558,0.0779014099585706,0.104479779437076
"39","B","B","CALM1","CALM1","SELL","SELL",-0.323688216944392,0.0779014099585706,-0.122893403492911
"40","B","B","CALM3","CALM3","SELL","SELL",-0.122079473339377,0.0779014099585706,-0.0220890316904031
"41","B","B","GNAI2","GNAI2","S1PR4","S1PR4",-0.000374113882759652,-0.0050149499428207,-0.00269453191279018
