"","source","target","ligand.complex","ligand","receptor.complex","receptor","ligand.scaled","receptor.scaled","weight_sc"
"1","B","B","JAK1","JAK1","IFNAR2","IFNAR2",-0.127607717538683,-0.00786935238495862,-0.0677385349618207
"2","B","B","JAK1","JAK1","IFNAR1","IFNAR1",-0.127607717538683,0.212855507921732,0.0426238951915248
"3","B","B","TYK2","TYK2","IFNAR1","IFNAR1",0.0875150818480749,0.212855507921732,0.150185294884904
"4","B","B","TYK2","TYK2","IFNAR2","IFNAR2",0.0875150818480749,-0.00786935238495862,0.0398228647315581
"5","B","B","CCL5","CCL5","CXCR3","CXCR3",-0.945434583746106,-0.206366198725265,-0.575900391235685
"6","B","B","TYK2","TYK2","JAK1","JAK1",0.0875150818480749,-0.127607717538683,-0.0200463178453039
"7","B","B","ANXA1","ANXA1","FPR1","FPR1",-0.891677356590525,0.222620338762458,-0.334528508914034
"8","B","B","CD74","CD74","CXCR4","CXCR4",1.11638110266967,-0.131208762765105,0.492586169952284
"9","B","B","ST6GAL1","ST6GAL1","CD22","CD22",0.0261022518399216,0.618197025849411,0.322149638844666
"10","B","B","SEMA4D","SEMA4D","CD72","CD72",0.0199159093596023,0.485221202294718,0.25256855582716
"11","B","B","ICAM3","ICAM3","ITGB2","ITGB2",0.0850170768506756,-0.528850645187414,-0.221916784168369
"12","B","B","LGALS1","LGALS1","ITGB1","ITGB1",-0.460596838299222,0.0656404849081164,-0.197478176695553
"13","B","B","LGALS1","LGALS1","PTPRC","PTPRC",-0.460596838299222,-0.415537900453525,-0.438067369376374
"14","B","B","TIMP1","TIMP1","CD63","CD63",-0.262591355573702,-0.514310355793901,-0.388450855683802
"15","B","B","SELPLG","SELPLG","SELL","SELL",-0.178785944796187,0.0406173891867041,-0.0690842778047416
"16","B","B","ITGA4","ITGA4","ADAM28","ADAM28",0.099110963613549,0.426905116446351,0.26300804002995
"17","B","B","GNAI2","GNAI2","FPR1","FPR1",-0.0171793206010794,0.222620338762458,0.102720509080689
"18","B","B","HMGB1","HMGB1","CXCR4","CXCR4",-0.254962488690361,-0.131208762765105,-0.193085625727733
"19","B","B","LGALS9","LGALS9","CD44","CD44",0.37783616839183,-0.051623018421187,0.163106574985321
"20","B","B","LRPAP1","LRPAP1","SORL1","SORL1",-0.101414032999025,-0.19098414076676,-0.146199086882893
"21","B","B","HLA-A","HLA-A","APLP2","APLP2",-0.749821290724325,0.0799269211409029,-0.334947184791711
"22","B","B","CD59","CD59","CD2","CD2",-0.0531040771825034,-0.57975818134744,-0.316431129264972
"23","B","B","MIF","MIF","CD74_CXCR4","CXCR4",-0.190686152483387,-0.131208762765105,-0.160947457624246
"24","B","B","MIF","MIF","CD44_CD74","CD44",-0.190686152483387,-0.051623018421187,-0.121154585452287
"25","B","B","LGALS9","LGALS9","PTPRC","PTPRC",0.37783616839183,-0.415537900453525,-0.0188508660308477
"26","B","B","PTPRC","PTPRC","CD22","CD22",-0.415537900453525,0.618197025849411,0.101329562697943
"27","B","B","ICAM2","ICAM2","ITGAM_ITGB2","ITGAM",0.0887135674169522,0.00127482416992858,0.0449941957934404
"28","B","B","LCK","LCK","CD8A_CD8B","CD8B",-0.698760095104902,-0.228441949193615,-0.463601022149259
"29","B","B","CD52","CD52","SIGLEC10","SIGLEC10",0.471176606347769,0.350500109162648,0.410838357755208
"30","B","B","LRPAP1","LRPAP1","CD320","CD320",-0.101414032999025,-0.24045446532013,-0.170934249159577
"31","B","B","IL10RB","IL10RB","IL10RA","IL10RA",0.00167059985728805,-0.357706798287674,-0.178018099215193
"32","B","B","CD82","CD82","CD37","CD37",0.632837129101758,0.788425572621197,0.710631350861477
"33","B","B","HLA-C","HLA-C","CD81","CD81",-0.862434970519042,0.0782207897486724,-0.392107090385185
"34","B","B","HLA-C","HLA-C","CD53","CD53",-0.862434970519042,-0.134870045099751,-0.498652507809396
"35","B","B","HLA-DRA","HLA-DRA","CD82","CD82",1.19722885473265,0.632837129101758,0.915032991917206
"36","B","B","ITGB1","ITGB1","CD81","CD81",0.0656404849081164,0.0782207897486724,0.0719306373283944
"37","B","B","HLA-DRA","HLA-DRA","CD19","CD19",1.19722885473265,0.549691282230443,0.873460068481549
"38","B","B","NT5E","NT5E","FCRL1","FCRL1",0.423306459364055,0.443626040470075,0.433466249917065
"39","B","B","TSPAN3","TSPAN3","ADAM10","ADAM10",0.42636420747416,-0.00270690700277582,0.211828650235692
"40","B","B","HLA-DRA","HLA-DRA","CD53","CD53",1.19722885473265,-0.134870045099751,0.531179404816452
"41","B","B","MS4A1","MS4A1","CD82","CD82",1.19221053653168,0.632837129101758,0.912523832816717
"42","B","B","STUB1","STUB1","DNAJA3","DNAJA3",0.0366974919573368,0.213822265515453,0.125259878736395
"43","B","B","IFITM1","IFITM1","CD81","CD81",-0.489013991674716,0.0782207897486724,-0.205396600963022
"44","B","B","IL10RB","IL10RB","IFNAR1","IFNAR1",0.00167059985728805,0.212855507921732,0.10726305388951
"45","B","B","HLA-DRB1","HLA-DRB1","CD82","CD82",1.04330190941088,0.632837129101758,0.838069519256319
"46","B","B","HLA-DRB1","HLA-DRB1","CD81","CD81",1.04330190941088,0.0782207897486724,0.560761349579776
"47","B","B","CD81","CD81","CD37","CD37",0.0782207897486724,0.788425572621197,0.433323181184934
"48","B","B","EBI3","EBI3","IL27RA_IL6ST","IL27RA",0.426733017876244,0.0138831786255862,0.220308098250915
"49","B","B","HLA-DRB1","HLA-DRB1","CD19","CD19",1.04330190941088,0.549691282230443,0.796496595820662
"50","B","B","CXCR4","CXCR4","CCR7","CCR7",-0.131208762765105,0.152222040309697,0.010506638772296
"51","B","B","MS4A1","MS4A1","CD53","CD53",1.19221053653168,-0.134870045099751,0.528670245715963
"52","B","B","CD2","CD2","CD53","CD53",-0.57975818134744,-0.134870045099751,-0.357314113223596
"53","B","B","B2M","B2M","CD1C","CD1C",-0.96808152102379,0.682356451029825,-0.142862534996982
"54","B","B","HLA-DRB1","HLA-DRB1","CD37","CD37",1.04330190941088,0.788425572621197,0.915863741016038
"55","B","B","CD47","CD47","HLA-C","HLA-C",-0.0455568984592878,-0.862434970519042,-0.453995934489165
"56","B","B","ITGA4","ITGA4","CD81","CD81",0.099110963613549,0.0782207897486724,0.0886658766811107
"57","B","B","TNFRSF17","TNFRSF17","LY9","LY9",0.500586807392115,-0.100754005629118,0.199916400881499
"58","B","B","HLA-DRA","HLA-DRA","CD63","CD63",1.19722885473265,-0.514310355793901,0.341459249469377
"59","B","B","CD19","CD19","CD81","CD81",0.549691282230443,0.0782207897486724,0.313956035989558
"60","B","B","SRGN","SRGN","CD44","CD44",-0.739751203461005,-0.051623018421187,-0.395687110941096
"61","B","B","CD53","CD53","CD37","CD37",-0.134870045099751,0.788425572621197,0.326777763760723
"62","B","B","HLA-DRA","HLA-DRA","CD37","CD37",1.19722885473265,0.788425572621197,0.992827213676925
"63","B","B","FCGRT","FCGRT","IGFLR1","IGFLR1",0.21170829758803,0.08820305488705,0.14995567623754
"64","B","B","TGFB1","TGFB1","LPP","LPP",-0.163998073903803,0.099653695209696,-0.0321721893470537
"65","B","B","CD320","CD320","TMEM167A","TMEM167A",-0.24045446532013,0.0175273562899429,-0.111463554515093
"66","B","B","HLA-DRB1","HLA-DRB1","CD53","CD53",1.04330190941088,-0.134870045099751,0.454215932155565
"67","B","B","HLA-DRA","HLA-DRA","CD81","CD81",1.19722885473265,0.0782207897486724,0.637724822240663
"68","B","B","ITGA4","ITGA4","CD82","CD82",0.099110963613549,0.632837129101758,0.365974046357653
"69","B","B","HLA-B","HLA-B","SIGLEC10","SIGLEC10",-0.728616340036732,0.350500109162648,-0.189058115437042
"70","B","NK","TGFB1","TGFB1","TGFBR3","TGFBR3",-0.163998073903803,0.318253593035569,0.0771277595658827
"71","B","NK","JAK1","JAK1","IFNAR2","IFNAR2",-0.127607717538683,0.234102336427534,0.0532473094444258
"72","B","NK","TYK2","TYK2","IFNAR2","IFNAR2",0.0875150818480749,0.234102336427534,0.160808709137805
"73","B","NK","CCL5","CCL5","CXCR3","CXCR3",-0.945434583746106,0.0379110844817353,-0.453761749632185
"74","B","NK","TYK2","TYK2","JAK1","JAK1",0.0875150818480749,0.375786687192378,0.231650884520226
"75","B","NK","CD74","CD74","CXCR4","CXCR4",1.11638110266967,-0.361900193841443,0.377240454414115
"76","B","NK","ARRB2","ARRB2","ADRB2","ADRB2",-0.297484354500999,0.166455069527251,-0.0655146424868739
"77","B","NK","GRK5","GRK5","ADRB2","ADRB2",0.416777278881816,0.166455069527251,0.291616174204534
"78","B","NK","GNAS","GNAS","PTGDR","PTGDR",0.136094600973003,0.614581627266401,0.375338114119702
"79","B","NK","ADAM10","ADAM10","NOTCH1","NOTCH1",-0.00270690700277582,0.168692371645531,0.0829927323213774
"80","B","NK","HLA-A","HLA-A","KIR3DL2","KIR3DL2",-0.749821290724325,0.348584888095529,-0.200618201314398
"81","B","NK","HLA-C","HLA-C","KIR2DL3","KIR2DL3",-0.862434970519042,0.423212651268706,-0.219611159625168
"82","B","NK","HLA-E","HLA-E","KLRC1_KLRD1","KLRC1",-0.456533997813046,0.494168965949764,0.0188174840683591
"83","B","NK","HMGB1","HMGB1","HAVCR2","HAVCR2",-0.254962488690361,0.445374184625011,0.095205847967325
"84","B","NK","ICAM2","ICAM2","ITGAL_ITGB2","ITGAL",0.0887135674169522,0.144412410890431,0.116562989153691
"85","B","NK","LGALS9","LGALS9","HAVCR2","HAVCR2",0.37783616839183,0.445374184625011,0.41160517650842
"86","B","NK","ICAM3","ICAM3","ITGAL","ITGAL",0.0850170768506756,0.144412410890431,0.114714743870553
"87","B","NK","ICAM3","ICAM3","ITGB2","ITGB2",0.0850170768506756,0.752926018397243,0.418971547623959
"88","B","NK","LGALS1","LGALS1","PTPRC","PTPRC",-0.460596838299222,0.212933675107588,-0.123831581595817
"89","B","NK","TIMP1","TIMP1","CD63","CD63",-0.262591355573702,0.902008340804233,0.319708492615265
"90","B","NK","SELPLG","SELPLG","SELL","SELL",-0.178785944796187,0.485921788274762,0.153567921739288
"91","B","NK","ADAM10","ADAM10","TSPAN14","TSPAN14",-0.00270690700277582,0.13101509199696,0.0641540924970922
"92","B","NK","ADAM10","ADAM10","TSPAN17","TSPAN17",-0.00270690700277582,0.0950177282437899,0.046155410620507
"93","B","NK","TNFSF12","TNFSF12","TNFRSF25","TNFRSF25",-0.11699182378592,0.132460105567676,0.00773414089087811
