"","source","target","ligand.complex","ligand","receptor.complex","receptor","ligand.log2FC","receptor.log2FC","logfc_comb"
"1","B","B","JAK1","JAK1","IFNAR2","IFNAR2",-0.153669452549756,0.0162788160362447,-0.0686953182567555
"2","B","B","JAK1","JAK1","IFNAR1","IFNAR1",-0.153669452549756,0.182334278785815,0.0143324131180299
"3","B","B","TYK2","TYK2","IFNAR1","IFNAR1",0.0491626593075343,0.182334278785815,0.115748469046675
"4","B","B","TYK2","TYK2","IFNAR2","IFNAR2",0.0491626593075343,0.0162788160362447,0.0327207376718895
"5","B","B","CCL5","CCL5","CXCR3","CXCR3",-1.47237547184195,-0.245599770666027,-0.858987621253989
"6","B","B","TYK2","TYK2","JAK1","JAK1",0.0491626593075343,-0.153669452549756,-0.0522533966211107
"7","B","B","ANXA1","ANXA1","FPR1","FPR1",-1.12939951902242,0.108036712125626,-0.510681403448398
"8","B","B","CD74","CD74","CXCR4","CXCR4",0.757187354633794,-0.166320265564583,0.295433544534605
"9","B","B","ST6GAL1","ST6GAL1","CD22","CD22",-0.0153228852714994,0.573929236659721,0.279303175694111
"10","B","B","ICAM2","ICAM2","ITGAL_ITGB2","ITGB2",0.0998895733716471,-0.603404647332355,-0.251757536980354
"11","B","B","SEMA4D","SEMA4D","CD72","CD72",0.0118793760645558,0.407564539599365,0.20972195783196
"12","B","B","ICAM3","ICAM3","ITGB2","ITGB2",0.0789495055746188,-0.603404647332355,-0.262227570878868
"13","B","B","LGALS1","LGALS1","ITGB1","ITGB1",-0.603129131615521,0.0445378464691383,-0.279295642573192
"14","B","B","LGALS1","LGALS1","PTPRC","PTPRC",-0.603129131615521,-0.405157903620114,-0.504143517617818
"15","B","B","TIMP1","TIMP1","CD63","CD63",-0.291034269159108,-0.651805635797068,-0.471419952478088
"16","B","B","SELPLG","SELPLG","SELL","SELL",-0.19058138148054,0.0680699807039762,-0.0612557003882817
"17","B","B","ITGA4","ITGA4","ADAM28","ADAM28",0.0953432330265657,0.224895992807037,0.160119612916801
"18","B","B","GNAI2","GNAI2","FPR1","FPR1",-0.0233446232630713,0.108036712125626,0.0423460444312776
"19","B","B","HMGB1","HMGB1","CXCR4","CXCR4",-0.170861747374335,-0.166320265564583,-0.168591006469459
"20","B","B","LGALS9","LGALS9","CD44","CD44",0.336974211154387,-0.0872760518287224,0.124849079662832
"21","B","B","LRPAP1","LRPAP1","SORL1","SORL1",-0.128777825695521,-0.207926701315044,-0.168352263505283
"22","B","B","HLA-A","HLA-A","APLP2","APLP2",-0.188870172143052,0.0951692989249964,-0.046850436609028
