"","source","target","ligand.complex","ligand","receptor.complex","receptor","ligand.expr","receptor.expr","ligand.sum","receptor.sum","edge_specificity"
"1","B","B","JAK1","JAK1","IFNAR2","IFNAR2",0.470733177025501,0.194943163405164,1.72914854258261,0.596767162010448,0.0889294480969142
"2","B","B","JAK1","JAK1","IFNAR1","IFNAR1",0.470733177025501,0.268825761334954,1.72914854258261,0.509696810489938,0.143582487750447
"3","B","B","TYK2","TYK2","IFNAR1","IFNAR1",0.121490046324642,0.268825761334954,0.273502118892888,0.509696810489938,0.234282025928286
"4","B","B","TYK2","TYK2","IFNAR2","IFNAR2",0.121490046324642,0.194943163405164,0.273502118892888,0.596767162010448,0.145105239442855
"5","B","B","CCL5","CCL5","CXCR3","CXCR3",0.491671035879648,0.118578093468527,6.59848126244347,0.700672742117141,0.012610139117639
"6","B","B","TYK2","TYK2","JAK1","JAK1",0.121490046324642,0.470733177025501,0.273502118892888,1.72914854258261,0.120926785257134
"7","B","B","ANXA1","ANXA1","FPR1","FPR1",0.393885390523984,0.106251394941705,4.42587558923229,0.154739805571736,0.0611087309336431
"8","B","B","CD74","CD74","CXCR4","CXCR4",4.53114927048177,1.32766130682417,9.07811013663448,4.41371926420569,0.150139689799711
"9","B","B","ST6GAL1","ST6GAL1","CD22","CD22",0.11892305380661,0.554265365533974,0.326907595467928,0.672465812718861,0.29983931219315
"10","B","B","ICAM2","ICAM2","ITGAL_ITGB2","ITGB2",0.534134895138124,0.760072642284877,1.40033817734311,4.0705488221705,0.0712229823792638
"11","B","B","SEMA4D","SEMA4D","CD72","CD72",0.223094502642178,0.377493402303649,0.637662063556706,0.424863534719512,0.310855242580462
"12","B","B","ICAM3","ICAM3","ITGB2","ITGB2",0.954335724036847,0.760072642284877,2.63739104504272,4.0705488221705,0.06756608994076
"13","B","B","LGALS1","LGALS1","ITGB1","ITGB1",0.611329574820841,0.155683292441036,3.58829065224662,0.389145404949874,0.06815816566488
"14","B","B","LGALS1","LGALS1","PTPRC","PTPRC",0.611329574820841,0.761533411345825,3.58829065224662,3.40927499699254,0.0380552624636593
"15","B","B","TIMP1","TIMP1","CD63","CD63",0.137708812926166,0.48357702176794,0.934116054608886,3.18727616983789,0.0223669547328303
"16","B","B","SELPLG","SELPLG","SELL","SELL",0.177682740845203,1.30654727375117,0.864692837398174,3.79505412507465,0.070744150698841
"17","B","B","ITGA4","ITGA4","ADAM28","ADAM28",0.263518666424227,0.186510841753175,0.633102138005458,0.186510841753175,0.416234049144776
"18","B","B","GNAI2","GNAI2","FPR1","FPR1",0.426597193353934,0.106251394941705,1.31754657238961,0.154739805571736,0.222323111512493
"19","B","B","HMGB1","HMGB1","CXCR4","CXCR4",1.38480218778058,1.32766130682417,4.86012530898669,4.41371926420569,0.0857082970770769
"20","B","B","LGALS9","LGALS9","CD44","CD44",0.374319606450614,0.655390474380009,0.534913018137517,2.10305992165709,0.218076006741322
"21","B","B","LRPAP1","LRPAP1","SORL1","SORL1",0.307755640823789,0.12750279780292,1.11623711513804,0.697683446781304,0.0503861132642778
"22","B","B","HLA-A","HLA-A","APLP2","APLP2",3.2691842147084,0.248975775464901,10.9694958864466,0.627486027700406,0.118251254718414
"23","B","B","CD59","CD59","CD2","CD2",0.1898219513316,0.163910940299779,0.663036614621859,2.35468256057391,0.0199289535986727
"24","B","B","MIF","MIF","CD74_CXCR2","CD74",0.910488685785623,0,3.25077398115297,0,0
"25","B","B","MIF","MIF","CD74_CXCR4","CXCR4",0.910488685785623,1.32766130682417,3.25077398115297,4.41371926420569,0.0842500894180465
"26","B","B","MIF","MIF","CD44_CD74","CD44",0.910488685785623,0.655390474380009,3.25077398115297,2.10305992165709,0.0872843247040602
"27","B","B","LGALS9","LGALS9","PTPRC","PTPRC",0.374319606450614,0.761533411345825,0.534913018137517,3.40927499699254,0.156309846621862
"28","B","B","PTPRC","PTPRC","CD22","CD22",0.761533411345825,0.554265365533974,3.40927499699254,0.672465812718861,0.184108763026257
"29","B","B","ICAM2","ICAM2","ITGAM_ITGB2","ITGAM",0.534134895138124,0.139321883774479,1.40033817734311,0.416354487632544,0.127636271824064
"30","B","B","LCK","LCK","CD8A_CD8B","CD8B",0.258733369236244,0.209488446226433,2.69122229984193,1.19925130799202,0.0167939457522319
"31","B","B","CD52","CD52","SIGLEC10","SIGLEC10",2.92588119785861,0.190869862035322,7.39771084732131,0.242913534682359,0.310774217780205
"32","B","B","LRPAP1","LRPAP1","CD320","CD320",0.307755640823789,0.10916126980896,1.11623711513804,0.73618618475346,0.0408818441897861
"33","B","B","IL10RB","IL10RB","IL10RA","IL10RA",0.10230704854623,0.139167457213665,0.305106194868974,1.16856378197364,0.0399337229487991
"34","B","B","CD82","CD82","CD37","CD37",0.74625170437508,2.89902653133643,0.988768393213271,5.84750662271327,0.374172812404817
"35","B","B","HLA-C","HLA-C","CD81","CD81",3.48661807632961,0.274033491965373,11.7154620395393,0.687483252587571,0.118627800496549
"36","B","B","HLA-C","HLA-C","CD53","CD53",3.48661807632961,1.54868748876476,11.7154620395393,4.984415715405,0.0924686441049106
"37","B","B","HLA-DRA","HLA-DRA","CD82","CD82",3.92508399703639,0.74625170437508,5.32278968220101,0.988768393213271,0.556545158882564
"38","B","B","ITGB1","ITGB1","CD81","CD81",0.155683292441036,0.274033491965373,0.389145404949874,0.687483252587571,0.159467293304541
"39","B","B","HLA-DRA","HLA-DRA","CD19","CD19",3.92508399703639,0.452934986657646,5.32278968220101,0.519121490096073,0.643393264002146
"40","B","B","NT5E","NT5E","FCRL1","FCRL1",0.164162547640568,0.327446834668601,0.164162547640568,0.414931192152884,0.789159361506741
"41","B","B","TSPAN3","TSPAN3","ADAM10","ADAM10",0.410240769385611,0.119796825410415,0.596878144934453,0.362590898918807,0.227081393810946
"42","B","B","HLA-DRA","HLA-DRA","CD53","CD53",3.92508399703639,1.54868748876476,5.32278968220101,4.984415715405,0.229117985409763
"43","B","B","MS4A1","MS4A1","CD82","CD82",2.06105128717675,0.74625170437508,2.24151047264981,0.988768393213271,0.693966949135427
"44","B","B","STUB1","STUB1","DNAJA3","DNAJA3",0.554554178529746,0.160590042501539,1.58340646526893,0.25376804020117,0.22163240311482
