"","source","ligand","target","receptor","aggregate_rank","mean_rank","median_rank","natmi.edge_specificity","natmi.rank","sca.LRscore","sca.rank","logfc.logfc_comb","logfc.rank","connectome.weight_sc","connectome.rank"
"1","B","HLA-DRA","B","CD37",4.52380902878906e-07,11.5,2,0.36558731331492,41,0.944278170482874,1,1.11833710567079,2,0.992827213676925,2
"2","B","HLA-DRA","NK","CD63",2.81487450554249e-06,6.25,2.5,0.4806804494417,19,0.934836567667824,4,1.2847589157173,1,1.04961859776844,1
"3","B","MS4A1","B","CD82",7.0441521176176e-06,27.75,5,0.693966949135427,5,0.861693733765854,97,1.05334232453718,4,0.912523832816717,5
"4","B","HLA-DRB1","B","CD37",1.21582983530808e-05,16.25,5.5,0.338095200094321,51,0.934402405376141,5,0.937041442547033,6,0.915863741016038,3
"5","B","HLA-DRA","B","CD19",1.92847015439491e-05,26.25,6.5,0.643393264002146,7,0.870101666787681,87,1.03844937694612,5,0.873460068481549,6
"6","B","CD79B","NK","CD244",5.60292237427368e-05,44.75,9.5,0.692137392637596,6,0.827607598825399,154,0.884172993416214,9,0.796146362992006,10
"7","B","MS4A1","NK","CD53",6.72112225918965e-05,24.25,22.5,0.359641480630753,42,0.909667076941693,32,0.863269920452466,10,0.768354649688768,13
"8","B","HLA-DRB1","B","CD19",7.44886498122208e-05,35.25,10,0.595010183366958,9,0.84917913059893,112,0.85715371382236,11,0.796496595820662,9
"9","B","HLA-DRA","B","CD82",7.44886498122208e-05,16.25,7.5,0.556545158882564,11,0.895810276717724,47,1.08762225044764,3,0.915032991917206,4
"10","B","HLA-DRA","NK","CD53",9.65945545288508e-05,28.5,10,0.288424002364618,87,0.932871731996278,7,0.897549846362928,8,0.770863808789257,12
"11","NK","B2M","B","CD1C",0.000197649350621003,40,45,0.331898205037511,54,0.906274199482675,36,0.392154783239945,55,0.705619796951515,15
"12","B","HLA-DRB1","B","CD82",0.000227903209082438,25.5,11.5,0.514693043223409,16,0.878450128369376,72,0.90632658732388,7,0.838069519256319,7
"13","B","HLA-DRB1","NK","CD53",0.000323739187536561,39.5,17,0.266734558995679,109,0.921143190073384,18,0.716254183239168,15,0.69390033612837,16
"14","CD8 T","B2M","B","CD1C",0.000340256814371476,51.25,52.5,0.319859456671074,61,0.904693232888489,37,0.362022745392382,63,0.460777414590207,44
"15","B","CD82","B","CD37",0.000489599535124399,36.25,31,0.374172812404817,38,0.880797998918356,69,0.633005094004854,24,0.710631350861477,14
"16","CD8 T","CCL5","CD8 T","DPP4",0.000966547222257119,61.25,24,0.546101798796176,12,0.806450715470517,185,0.608839289269282,26,0.601396930829407,22
"17","NK","HLA-B","NK","KLRD1",0.00107537956147034,38.25,29,0.290630374033827,84,0.91339216015765,26,0.560319128971404,32,0.787431954927532,11
"18","B","CD74","CD8 T","CXCR4",0.00108114087331945,47.5,17.5,0.227397125840195,153,0.938134498981914,2,0.595335630947858,27,0.804745029638111,8
"19","CD8 T","LCK","CD8 T","CD8B",0.00133646963143983,44,25,0.409281929852335,29,0.852373374399366,108,0.704577118065708,18,0.619799999599823,21
"20","B","MS4A1","B","CD53",0.00141714624894409,45.75,38,0.285691658240475,90,0.899752664783637,44,0.709470727038915,17,0.528670245715963,32
"21","B","HLA-DRA","B","CD53",0.00162862786277556,52,22.5,0.229117985409763,150,0.925294974117977,13,0.743750652949377,14,0.531179404816452,31
"22","B","HLA-DRA","NK","CD37",0.00214104831240593,59.75,27,0.214473900700407,176,0.928467950676703,9,0.682221887252912,20,0.495506823737811,34
"23","B","MS4A1","CD8 T","CD53",0.00224765747509172,51.75,42.5,0.274159012660085,101,0.897879006977425,46,0.681404605367175,21,0.491290909392785,39
"24","B","HLA-DRA","CD8 T","CD53",0.00253549508433303,58.25,26,0.219869075105214,165,0.923858311428834,16,0.715684531277637,16,0.493800068493274,36
"25","CD8 T","HLA-B","NK","KLRD1",0.00327896324823124,64.75,57.5,0.261730854201732,111,0.909158828465633,33,0.471878795495138,45,0.406992541750406,70
"26","NK","HLA-E","NK","KLRC1",0.00364807735918307,79.25,70.5,0.259046569971877,114,0.875315643702142,76,0.367280762843089,62,0.413410535667085,65
"27","CD8 T","CCL5","CD8 T","CXCR3",0.00418767204712731,76,78.5,0.255185626971099,118,0.845122616256563,115,0.577013930347896,29,0.472833959707924,42
"28","NK","CD58","CD8 T","CD2",0.00428470129253041,99.5,43,0.449131626493074,24,0.734328074122931,288,0.475154441154876,43,0.468924033759146,43
"29","NK","SRGN","CD8 T","CD44",0.00478502219457431,57,43.5,0.250319211037307,122,0.893210485738327,53,0.549549970332701,34,0.621856042633679,19
"30","NK","HLA-C","NK","KIR2DL3",0.00544410902994361,77.75,82,0.367310296646233,39,0.841141063949268,125,0.24254662247031,127,0.621723154960071,20
"31","CD8 T","HLA-E","NK","KLRC1",0.00544410902994361,103.25,103,0.246869501651864,126,0.872664425435823,81,0.316887855954578,93,0.309025429189201,113
"32","B","HLA-DRB1","B","CD53",0.00592406788826089,71.5,39.5,0.211888345960172,178,0.912366989667712,29,0.562454989825617,31,0.454215932155565,48
"33","CD8 T","CD2","NK","CD53",0.00629446583306038,66.75,45.5,0.242655179234517,136,0.894492224861129,49,0.488581043479149,42,0.48778148411778,40
"34","B","HLA-DRA","B","CD81",0.00636106475170677,60.25,49,0.293934910871232,81,0.838973319663232,131,0.822931792973742,12,0.637724822240663,17
"35","NK","CD53","B","CD37",0.00667965976963816,72,37.5,0.193911344672382,196,0.922738927278816,17,0.442932689920142,50,0.566462167733528,25
"36","NK","LGALS1","NK","PTPRC",0.00749548639286904,71.25,48.5,0.227447649770095,152,0.893389214211178,52,0.52201544240637,36,0.460244800139826,45
"37","B","HLA-DRA","CD8 T","CD81",0.00760898805725613,66,57,0.280664414482039,96,0.835828181342524,137,0.793843242787781,13,0.626941502828209,18
