"","source","target","ligand.complex","ligand","receptor.complex","receptor","ligand.expr","receptor.expr","global_mean","LRscore"
"1","B","B","JAK1","JAK1","IFNAR2","IFNAR2",0.470733177025501,0.194943163405164,0.199056328661466,0.603462166941479
"2","B","B","JAK1","JAK1","IFNAR1","IFNAR1",0.470733177025501,0.268825761334954,0.199056328661466,0.641203060410048
"3","B","B","TYK2","TYK2","IFNAR1","IFNAR1",0.121490046324642,0.268825761334954,0.199056328661466,0.475858797030153
"4","B","B","TYK2","TYK2","IFNAR2","IFNAR2",0.121490046324642,0.194943163405164,0.199056328661466,0.436023202693245
"5","B","B","CCL5","CCL5","CXCR3","CXCR3",0.491671035879648,0.118578093468527,0.199056328661466,0.548126287927035
"6","B","B","TYK2","TYK2","JAK1","JAK1",0.121490046324642,0.470733177025501,0.199056328661466,0.545740270091744
"7","B","B","ANXA1","ANXA1","FPR1","FPR1",0.393885390523984,0.106251394941705,0.199056328661466,0.506836102749722
"8","B","B","CD74","CD74","CXCR4","CXCR4",4.53114927048177,1.32766130682417,0.199056328661466,0.924934699349095
"9","B","B","ST6GAL1","ST6GAL1","CD22","CD22",0.11892305380661,0.554265365533974,0.199056328661466,0.563276973821917
"10","B","B","ICAM2","ICAM2","ITGAL_ITGB2","ITGB2",0.534134895138124,0.760072642284877,0.199056328661466,0.761957830326967
"11","B","B","SEMA4D","SEMA4D","CD72","CD72",0.223094502642178,0.377493402303649,0.199056328661466,0.593146061972944
"12","B","B","ICAM3","ICAM3","ITGB2","ITGB2",0.954335724036847,0.760072642284877,0.199056328661466,0.810555993431426
"13","B","B","LGALS1","LGALS1","ITGB1","ITGB1",0.611329574820841,0.155683292441036,0.199056328661466,0.60781625293827
"14","B","B","LGALS1","LGALS1","PTPRC","PTPRC",0.611329574820841,0.761533411345825,0.199056328661466,0.77415047157222
"15","B","B","TIMP1","TIMP1","CD63","CD63",0.137708812926166,0.48357702176794,0.199056328661466,0.564535049803432
"16","B","B","SELPLG","SELPLG","SELL","SELL",0.177682740845203,1.30654727375117,0.199056328661466,0.707647038830326
"17","B","B","ITGA4","ITGA4","ADAM28","ADAM28",0.263518666424227,0.186510841753175,0.199056328661466,0.526903726706976
"18","B","B","GNAI2","GNAI2","FPR1","FPR1",0.426597193353934,0.106251394941705,0.199056328661466,0.516802730070647
"19","B","B","HMGB1","HMGB1","CXCR4","CXCR4",1.38480218778058,1.32766130682417,0.199056328661466,0.871988438071127
"20","B","B","LGALS9","LGALS9","CD44","CD44",0.374319606450614,0.655390474380009,0.199056328661466,0.713323934237617
"21","B","B","LRPAP1","LRPAP1","SORL1","SORL1",0.307755640823789,0.12750279780292,0.199056328661466,0.498783591837894
