"","source","ligand","target","receptor","aggregate_rank","mean_rank","median_rank","natmi.edge_specificity","natmi.rank","sca.LRscore","sca.rank","logfc.logfc_comb","logfc.rank","connectome.weight_sc","connectome.rank"
"1","B","HLA-DQA1","CD8 T","LAG3",1.03326531583444e-06,51.5,4,0.894547741635075,4,0.869393705705554,195,1.18205120161789,3,1.00543435975949,4
"2","B","HLA-DRA","NK","CD63",9.40331675450549e-06,16,12,0.4806804494417,39,0.934836567667824,23,1.28000016548995,1,1.04961859776844,1
"3","B","HLA-DRA","CD8 T","LAG3",1.60716069471038e-05,32,6.5,0.737411062879595,10,0.898560603847684,113,1.21757474269018,2,1.009778564312,3
"4","B","HLA-DRA","B","CD37",2.77295945636172e-05,23.5,8.5,0.36558731331492,73,0.944278170482874,12,1.11751015516269,4,0.992827213676925,5
"5","B","MS4A1","B","CD82",3.5228950234116e-05,62,13,0.693966949135427,13,0.861693733765854,215,1.04644095812281,7,0.912523832816717,13
"6","B","HLA-DQA2","CD8 T","LAG3",4.39666488271537e-05,86,13.5,0.96652802005039,2,0.834368042900532,315,1.00131320621546,13,0.904647120839994,14
"7","B","HLA-DMA","B","CD74",5.2677801222677e-05,28,25,0.396117369977915,60,0.929345442788249,32,0.922031914667739,18,1.03557778561398,2
"8","B","HLA-DQB1","CD8 T","LAG3",5.40359007854491e-05,67,13,0.808777011806274,6,0.856188583556257,236,1.03521174100503,11,0.902600111470434,15
"9","B","HLA-DMB","B","CD74",6.00605625468739e-05,36.75,39,0.393567406429041,62,0.918123988334498,53,0.815557133379271,25,0.962799755724888,7
"10","B","HLA-DRB1","CD8 T","LAG3",6.55296238972701e-05,47,12.5,0.681957857332102,16,0.881598146810026,155,1.03750507941165,9,0.93281509165111,8
"11","B","HLA-DRB5","CD8 T","LAG3",7.85404432964337e-05,66.75,16.5,0.723478192757237,11,0.859876344201412,223,0.981328957376384,16,0.886746202639854,17
"12","CD8 T","CD3D","CD8 T","CD3E",8.69077063885276e-05,37.25,34.5,0.422567353833385,49,0.912526101220375,68,1.00604605298601,12,0.862826249824052,20
"13","B","HLA-DPA1","CD8 T","LAG3",9.31606914623042e-05,48.25,16,0.64938519945857,18,0.882509144527843,152,1.00015385154075,14,0.92995219756343,9
"14","B","HLA-DRA","B","CD19",0.000109482408219797,60,19,0.643393264002146,19,0.870101666787681,194,1.03787114598512,8,0.873460068481549,19
"15","B","HLA-DPB1","CD8 T","LAG3",0.000127597340739373,45,17.5,0.623591619179122,20,0.889291958415953,135,0.995937516426773,15,0.918129634672993,10
"16","B","MS4A1","NK","CD53",0.000158318258065214,51.5,52.5,0.359641480630753,75,0.909667076941693,79,0.86169901778821,22,0.768354649688768,30
"17","NK","TYROBP","NK","KLRD1",0.000219813928941987,38.5,15,0.59069399060613,24,0.895449043546256,119,1.11416706473877,5,0.966503085275799,6
"18","B","HLA-DRB1","B","CD37",0.000219813928941987,36.5,20.5,0.338095200094321,94,0.934402405376141,24,0.93744049188416,17,0.915863741016038,11
"19","B","HLA-DRB1","B","CD19",0.000248260904923134,82,24,0.595010183366958,22,0.84917913059893,258,0.857801482706594,23,0.796496595820662,25
"20","B","CD79B","NK","CD244",0.000279045433945667,102.75,23.5,0.692137392637596,14,0.827607598825399,350,0.876439981285489,21,0.796146362992006,26
"21","B","HLA-DRA","B","CD82",0.000279045433945667,40.5,19,0.556545158882564,26,0.895810276717724,118,1.08182450331402,6,0.915032991917206,12
"22","NK","SPON2","NK","ITGB2",0.000345229238092936,39.25,25.5,0.514403236506091,35,0.904614214405542,96,1.03707994847202,10,0.900084724857877,16
"23","B","HLA-DRA","NK","CD53",0.000386319861882364,52.75,28,0.288424002364618,135,0.932871731996278,27,0.897082562979421,20,0.770863808789257,29
"24","B","HLA-DRB1","B","CD82",0.000620175948897544,60.25,28.5,0.514693043223409,34,0.878450128369376,165,0.901754840035495,19,0.838069519256319,23
"25","NK","SPON2","NK","ITGA5",0.00116180363818602,172.75,34.5,0.713179695585103,12,0.7196282724764,610,0.752377323551831,27,0.658074807184322,42
"26","NK","HLA-B","NK","KLRD1",0.00119703767735587,71.25,63.5,0.290630374033827,131,0.91339216015765,66,0.559165437367976,61,0.787431954927532,27
"27","NK","HLA-B","CD8 T","CD3D",0.00124581164704343,64.5,34,0.263345976514844,169,0.93387384894085,25,0.671535679245872,43,0.848136165851033,21
"28","NK","SPON2","NK","ITGAM",0.00133372700741866,162.5,36.5,0.535205222597953,28,0.755728589916124,549,0.73869612457554,29,0.637597727244304,44
"29","NK","HLA-C","CD8 T","CD3D",0.00133372700741866,63,31,0.261945191637333,173,0.939107106971255,17,0.669084561907648,44,0.885879203579005,18
"30","NK","B2M","B","CD1C",0.00135007442899213,90.25,95,0.331898205037511,99,0.906274199482675,91,0.388094961894761,135,0.705619796951515,36
"31","B","MS4A1","B","CD53",0.00147414085719552,89.5,92.5,0.285691658240475,138,0.899752664783637,109,0.7067734489692,35,0.528670245715963,76
"32","NK","HLA-E","NK","KLRD1",0.00151733626805682,87.75,77.5,0.283584242847116,139,0.906359991353046,89,0.53770010688979,66,0.58138421602199,57
"33","NK","HLA-A","CD8 T","CD3D",0.00152161721330487,71.75,39.5,0.254852199298448,188,0.936385850997694,20,0.644666711433542,46,0.730926977119623,33
"34","NK","KLRD1","NK","HLA-E",0.00156147408315614,87.75,77.5,0.283584242847116,139,0.906359991353046,89,0.53770010688979,66,0.58138421602199,57
"35","NK","HLA-A","NK","KLRD1",0.00169967852595944,77,62,0.281256584914166,143,0.916612746909724,56,0.532296469555646,68,0.670222766196123,41
"36","NK","B2M","CD8 T","CD3D",0.00172614619046468,68.5,35,0.251281547622748,195,0.947149167275582,9,0.632146252437068,48,0.840203945689889,22
"37","NK","SPON2","CD8 T","ITGA4",0.00183485891747772,155.5,48,0.444762432932424,47,0.776675148482705,496,0.720319478247744,30,0.604524862592911,49
"38","NK","SPON2","CD8 T","ITGB1",0.00194798119104691,179,46.5,0.460344598973609,43,0.735025756089475,589,0.707286318447568,34,0.598262277917941,50
"39","B","HLA-DRB1","NK","CD53",0.00194798119104691,71,43.5,0.266734558995679,166,0.921143190073384,50,0.717012899700896,31,0.69390033612837,37
"40","NK","B2M","NK","KLRD1",0.00195015665416876,69.5,51,0.27731598993798,148,0.930473203492175,31,0.519776010559173,71,0.779499734766389,28
"41","CD8 T","HLA-A","CD8 T","CD3D",0.00206559568605472,82.5,51,0.245757156680507,206,0.935294894635943,22,0.610458932152861,51,0.595508416749113,51
"42","B","MS4A1","CD8 T","CD53",0.00216968651319008,100,104,0.274159012660085,152,0.897879006977425,115,0.675669727953571,40,0.491290909392785,93
"43","CD8 T","B2M","CD8 T","CD3D",0.00218778478472916,83.5,52,0.242166959851424,219,0.94621676212283,11,0.602140301562107,52,0.595361563328581,52
"44","B","CD74","CD8 T","CXCR4",0.00231463057664382,84.5,38.5,0.227397125840195,243,0.938134498981914,18,0.601621996637715,53,0.804745029638111,24
"45","CD8 T","B2M","B","CD1C",0.00240724908915341,115.25,105.5,0.319859456671074,106,0.904693232888489,94,0.3580890110198,156,0.460777414590207,105
"46","B","CD82","B","CD37",0.00253309212904342,77.25,58,0.374172812404817,67,0.880797998918356,158,0.631370526771825,49,0.710631350861477,35
"47","CD8 T","HLA-A","NK","KLRD1",0.00253309212904342,94.25,79,0.271219235291866,158,0.915213394406944,61,0.498088690274966,86,0.534804205825613,72
"48","B","CD82","NK","ITGB2",0.00258261913521582,84.25,48,0.4091082902564,55,0.865706830969765,203,0.673515014924016,41,0.6928815737495,38
"49","NK","KLRD1","CD8 T","HLA-E",0.00266380584948253,112.5,97.5,0.270253725867086,160,0.90429670911678,99,0.488127013141539,95,0.476999109544106,96
"50","NK","ITGB2","B","CD82",0.00272392461774804,84.25,48,0.4091082902564,55,0.865706830969765,203,0.673515014924016,41,0.6928815737495,38
"51","CD8 T","HLA-E","NK","KLRD1",0.00273102793065311,112.5,97.5,0.270253725867086,160,0.90429670911678,99,0.488127013141539,95,0.476999109544106,96
"52","NK","HLA-B","CD8 T","CD8A",0.00279951433595807,93.5,89,0.269572170282103,162,0.908709435349544,84,0.489307520092719,94,0.712058474980968,34
"53","NK","HLA-C","CD8 T","CD8A",0.0029403432347811,88,78,0.268138267153883,164,0.915754561276631,59,0.486856402754496,97,0.74980151270894,32
"54","CD8 T","B2M","NK","KLRD1",0.00301271753008287,90.5,82,0.2672570701542,165,0.929268567984557,33,0.489770059684211,91,0.534657352405081,73
"55","B","FCER2","NK","ITGB2",0.00317805602783545,127,54.5,0.418929913710205,50,0.826741678359189,352,0.573994994686391,59,0.617871629107814,47
"56","NK","HLA-E","CD8 T","CD8A",0.00339483228080186,115.25,105.5,0.263036580592249,170,0.901338120079909,106,0.467842189614533,105,0.506010736075425,80
"57","CD8 T","LGALS3","CD8 T","LAG3",0.00350679204146854,182.5,57.5,0.611671055876341,21,0.731807810281419,594,0.593292320505453,54,0.569809457168014,61
"58","NK","SPON2","B","ITGA4",0.00350679204146854,171,60.5,0.394996981370568,61,0.766215489946019,530,0.710886815734559,33,0.57317719746603,60
"59","NK","S100A8","NK","ITGB2",0.00367919381537141,138.75,60.5,0.398958661067118,59,0.818238786394632,380,0.557524687020356,62,0.585195960225436,54
