"","source","target","ligand.complex","ligand","receptor.complex","receptor","ligand.expr","receptor.expr","global_mean","LRscore"
"1","B","B","ADAM10","ADAM10","CD44","CD44",0.119796825410415,0.655390474380009,0.199056328661466,0.58465838057968
"2","B","B","ITGB1BP1","ITGB1BP1","ITGB2","ITGB2",0.322445076849195,0.760072642284877,0.199056328661466,0.713222252731507
"3","B","B","ITGB1BP1","ITGB1BP1","ITGB1","ITGB1",0.322445076849195,0.155683292441036,0.199056328661466,0.529538177192903
"4","B","B","ITGB1BP1","ITGB1BP1","ITGB7","ITGB7",0.322445076849195,0.362472398941886,0.199056328661466,0.632010762323103
"5","B","B","HLA-B","HLA-B","CD3D","CD3D",2.91367368215144,0.498510384940848,0.199056328661466,0.858247430175829
"6","B","B","HLA-B","HLA-B","CD3G","CD3G",2.91367368215144,0.218130867710745,0.199056328661466,0.800199987530136
"7","B","B","HLA-B","HLA-B","SIGLEC10","SIGLEC10",2.91367368215144,0.190869862035322,0.199056328661466,0.789313623804121
"8","B","B","HLA-DRA","HLA-DRA","CD63","CD63",3.92508399703639,0.48357702176794,0.199056328661466,0.873756480395607
"9","B","B","HLA-DRA","HLA-DRA","CD37","CD37",3.92508399703639,2.89902653133643,0.199056328661466,0.944278170482874
"10","B","B","HLA-DRA","HLA-DRA","CD19","CD19",3.92508399703639,0.452934986657646,0.199056328661466,0.870101666787681
"11","B","B","HLA-DRA","HLA-DRA","CD53","CD53",3.92508399703639,1.54868748876476,0.199056328661466,0.925294974117977
"12","B","B","HLA-DRA","HLA-DRA","CD82","CD82",3.92508399703639,0.74625170437508,0.199056328661466,0.895810276717724
"13","B","B","HLA-DRA","HLA-DRA","CD81","CD81",3.92508399703639,0.274033491965373,0.199056328661466,0.838973319663232
"14","B","B","HLA-DRB1","HLA-DRB1","CD37","CD37",2.77326809792569,2.89902653133643,0.199056328661466,0.934402405376141
"15","B","B","HLA-DRB1","HLA-DRB1","CD19","CD19",2.77326809792569,0.452934986657646,0.199056328661466,0.84917913059893
"16","B","B","HLA-DRB1","HLA-DRB1","CD53","CD53",2.77326809792569,1.54868748876476,0.199056328661466,0.912366989667712
"17","B","B","HLA-DRB1","HLA-DRB1","CD82","CD82",2.77326809792569,0.74625170437508,0.199056328661466,0.878450128369376
"18","B","B","HLA-DRB1","HLA-DRB1","CD81","CD81",2.77326809792569,0.274033491965373,0.199056328661466,0.814108152658016
"19","B","B","ANXA1","ANXA1","FPR1","FPR1",0.393885390523984,0.106251394941705,0.199056328661466,0.506836102749722
"20","B","B","CD74","CD74","CXCR4","CXCR4",4.53114927048177,1.32766130682417,0.199056328661466,0.924934699349095
"21","B","B","CD3D","CD3D","CD3E","CD3E",0.498510384940848,0.431321781381956,0.199056328661466,0.699654165133012
"22","B","B","HLA-A","HLA-A","CD3D","CD3D",3.2691842147084,0.498510384940848,0.199056328661466,0.865107107239319
"23","B","B","HLA-A","HLA-A","CD3G","CD3G",3.2691842147084,0.218130867710745,0.199056328661466,0.809244351632573
"24","B","B","HLA-A","HLA-A","APLP2","APLP2",3.2691842147084,0.248975775464901,0.199056328661466,0.819244581855394
"25","B","B","ITGB2","ITGB2","ICAM2","ICAM2",0.760072642284877,0.534134895138124,0.199056328661466,0.761957830326967
"26","B","B","ITGB2","ITGB2","CD82","CD82",0.760072642284877,0.74625170437508,0.199056328661466,0.790948237306413
"27","B","B","ITGB2","ITGB2","ICAM3","ICAM3",0.760072642284877,0.954335724036847,0.199056328661466,0.810555993431426
"28","B","B","ITGB1","ITGB1","CD81","CD81",0.155683292441036,0.274033491965373,0.199056328661466,0.509236250814346
"29","B","B","CD2","CD2","CD48","CD48",0.163910940299779,1.54599795581421,0.199056328661466,0.716625943167185
"30","B","B","CD2","CD2","CD53","CD53",0.163910940299779,1.54868748876476,0.199056328661466,0.716802397082012
"31","B","B","PTPRC","PTPRC","CD22","CD22",0.761533411345825,0.554265365533974,0.199056328661466,0.765469004186124
"32","B","B","PTPRC","PTPRC","CD247","CD247",0.761533411345825,0.269537489139202,0.199056328661466,0.694752538099227
"33","B","B","CD48","CD48","CD2","CD2",1.54599795581421,0.163910940299779,0.199056328661466,0.716625943167185
"34","B","B","HLA-C","HLA-C","CD3D","CD3D",3.48661807632961,0.498510384940848,0.199056328661466,0.868820294116382
"35","B","B","HLA-C","HLA-C","CD3G","CD3G",3.48661807632961,0.218130867710745,0.199056328661466,0.814164946264649
"36","B","B","HLA-C","HLA-C","CD53","CD53",3.48661807632961,1.54868748876476,0.199056328661466,0.921096371116365
"37","B","B","HLA-C","HLA-C","CD81","CD81",3.48661807632961,0.274033491965373,0.199056328661466,0.83081032253514
"38","B","B","CD28","CD28","CD247","CD247",0.116665254727136,0.269537489139202,0.199056328661466,0.47113719405192
"39","B","B","MS4A1","MS4A1","CD53","CD53",2.06105128717675,1.54868748876476,0.199056328661466,0.899752664783637
"40","B","B","MS4A1","MS4A1","CD82","CD82",2.06105128717675,0.74625170437508,0.199056328661466,0.861693733765854
"41","B","B","ICAM2","ICAM2","ITGB2","ITGB2",0.534134895138124,0.760072642284877,0.199056328661466,0.761957830326967
"42","B","B","ICAM2","ICAM2","ITGAM","ITGAM",0.534134895138124,0.139321883774479,0.199056328661466,0.57813690289177
"43","B","B","ITGA4","ITGA4","CD82","CD82",0.263518666424227,0.74625170437508,0.199056328661466,0.690189576253765
"44","B","B","ITGA4","ITGA4","CD81","CD81",0.263518666424227,0.274033491965373,0.199056328661466,0.574466822097132
"45","B","B","ITGA4","ITGA4","ADAM28","ADAM28",0.263518666424227,0.186510841753175,0.199056328661466,0.526903726706976
"46","B","B","SELL","SELL","SELPLG","SELPLG",1.30654727375117,0.177682740845203,0.199056328661466,0.707647038830326
"47","B","B","CD99","CD99","CD81","CD81",0.963961662169009,0.274033491965373,0.199056328661466,0.720826111026391
"48","B","B","CD19","CD19","CD81","CD81",0.452934986657646,0.274033491965373,0.199056328661466,0.638973500512232
"49","B","B","ST6GAL1","ST6GAL1","CD22","CD22",0.11892305380661,0.554265365533974,0.199056328661466,0.563276973821917
