"","source","target","ligand.complex","ligand","receptor.complex","receptor","ligand.scaled","receptor.scaled","weight_sc"
"1","B","B","CCL5","CCL5","CXCR3","CXCR3",-0.945434583746106,-0.206366198725265,-0.575900391235685
"2","B","B","EBI3","EBI3","IL27RA","IL27RA",0.426733017876244,0.0138831786255862,0.220308098250915
"3","B","B","ANXA1","ANXA1","FPR1","FPR1",-0.891677356590525,0.222620338762458,-0.334528508914034
"4","B","B","SEMA4D","SEMA4D","CD72","CD72",0.0199159093596023,0.485221202294718,0.25256855582716
"5","B","B","TIMP1","TIMP1","CD63","CD63",-0.262591355573702,-0.514310355793901,-0.388450855683802
"6","B","B","TGFB1","TGFB1","CXCR4","CXCR4",-0.163998073903803,-0.131208762765105,-0.147603418334454
"7","B","B","GNAI2","GNAI2","FPR1","FPR1",-0.0171793206010794,0.222620338762458,0.102720509080689
"8","B","B","GNAI2","GNAI2","CXCR3","CXCR3",-0.0171793206010794,-0.206366198725265,-0.111772759663172
"9","B","B","PKM","PKM","CD44","CD44",-0.0877324358612182,-0.051623018421187,-0.0696777271412026
"10","B","B","GNAI2","GNAI2","S1PR4","S1PR4",-0.0171793206010794,0.010028523213643,-0.00357539869371822
"11","B","B","LRPAP1","LRPAP1","SORL1","SORL1",-0.101414032999025,-0.19098414076676,-0.146199086882893
"12","B","B","B2M","B2M","CD247","CD247",-0.96808152102379,-0.764050310775759,-0.866065915899774
"13","B","B","LTB","LTB","CD40","CD40",0.621584412066401,0.771196688085814,0.696390550076107
"14","B","B","ICAM2","ICAM2","ITGB2","ITGB2",0.0887135674169522,-0.528850645187414,-0.220068538885231
"15","B","B","VIM","VIM","CD44","CD44",0.202378642478704,-0.051623018421187,0.0753778120287583
"16","B","B","B2M","B2M","CD3G","CD3G",-0.96808152102379,-0.0729012737529996,-0.520491397388395
"17","B","B","LY86","LY86","CD180","CD180",0.8919894643532,0.444326318284771,0.668157891318985
"18","B","B","PTDSS1","PTDSS1","JMJD6","JMJD6",0.0789395494195753,0.0715079785816555,0.0752237640006154
"19","B","NK","TGFB1","TGFB1","TGFBR3","TGFBR3",-0.163998073903803,0.318253593035569,0.0771277595658827
"20","B","NK","TGFB1","TGFB1","TGFBR1","TGFBR1",-0.163998073903803,0.353414029386622,0.0947079777414095
"21","B","NK","CCL5","CCL5","CXCR3","CXCR3",-0.945434583746106,0.0379110844817353,-0.453761749632185
"22","B","NK","GNAS","GNAS","PTGDR","PTGDR",0.136094600973003,0.614581627266401,0.375338114119702
"23","B","NK","MFNG","MFNG","NOTCH1","NOTCH1",-0.018655698477997,0.168692371645531,0.0750183365837668
"24","B","NK","TIMP1","TIMP1","CD63","CD63",-0.262591355573702,0.902008340804233,0.319708492615265
"25","B","NK","TGFB1","TGFB1","CXCR4","CXCR4",-0.163998073903803,-0.361900193841443,-0.262949133872623
"26","B","NK","GNAI2","GNAI2","S1PR5","S1PR5",-0.0171793206010794,0.462310667845941,0.222565673622431
"27","B","NK","GNAI2","GNAI2","CXCR3","CXCR3",-0.0171793206010794,0.0379110844817353,0.0103658819403279
"28","B","NK","GNAI2","GNAI2","ADCY7","ADCY7",-0.0171793206010794,0.339740675733056,0.161280677565988
"29","B","NK","PKM","PKM","CD44","CD44",-0.0877324358612182,-0.311693946272449,-0.199713191066833
"30","B","NK","GNAS","GNAS","ADCY7","ADCY7",0.136094600973003,0.339740675733056,0.237917638353029
"31","B","NK","LTB","LTB","TNFRSF1A","TNFRSF1A",0.621584412066401,0.340206550369779,0.48089548121809
