"","source","target","ligand.complex","ligand","receptor.complex","receptor","ligand.log2FC","receptor.log2FC","logfc_comb"
"1","B","B","CCL5","CCL5","CXCR3","CXCR3",-1.47955716369222,-0.259604318272662,-0.869580740982441
"2","B","B","EBI3","EBI3","IL27RA","IL27RA",0.210658346405412,-0.0464780229922063,0.0820901617066031
"3","B","B","ANXA1","ANXA1","FPR1","FPR1",-1.11553869543286,0.115431895339263,-0.500053400046799
"4","B","B","SEMA4D","SEMA4D","CD72","CD72",0.0206018771478508,0.422831375623195,0.221716626385523
"5","B","B","TIMP1","TIMP1","CD63","CD63",-0.298728236229617,-0.647984315185356,-0.473356275707487
"6","B","B","TGFB1","TGFB1","CXCR4","CXCR4",-0.158310170423168,-0.167575684472057,-0.162942927447613
"7","B","B","GNAI2","GNAI2","FPR1","FPR1",-0.00476788146156415,0.115431895339263,0.0553320069388496
"8","B","B","GNAI2","GNAI2","CXCR3","CXCR3",-0.00476788146156415,-0.259604318272662,-0.132186099867113
"9","B","B","PKM","PKM","CD44","CD44",-0.103559782456162,-0.0784038445948606,-0.0909818135255114
"10","B","B","GNAI2","GNAI2","S1PR4","S1PR4",-0.00476788146156415,0.0111519485765679,0.00319203355750186
"11","B","B","LRPAP1","LRPAP1","SORL1","SORL1",-0.132872443194584,-0.220192480740438,-0.176532461967511
"12","B","B","B2M","B2M","CD247","CD247",-0.145085825335327,-0.973737848736095,-0.559411837035711
"13","B","B","LTB","LTB","CD40","CD40",0.565088690931825,0.693033780350533,0.629061235641179
"14","B","B","ICAM2","ICAM2","ITGB2","ITGB2",0.0948636753152425,-0.585750817434144,-0.245443571059451
"15","B","B","VIM","VIM","CD44","CD44",0.133535694061873,-0.0784038445948606,0.0275659247335062
"16","B","B","B2M","B2M","CD3G","CD3G",-0.145085825335327,-0.071738812037081,-0.108412318686204
"17","B","B","LY86","LY86","CD180","CD180",0.95306275372357,0.348082405950419,0.650572579836994
"18","B","B","PTDSS1","PTDSS1","JMJD6","JMJD6",0.104882800000742,0.077442003645213,0.0911624018229777
"19","B","NK","TGFB1","TGFB1","TGFBR3","TGFBR3",-0.158310170423168,0.205944081131273,0.0238169553540524
"20","B","NK","TGFB1","TGFB1","TGFBR1","TGFBR1",-0.158310170423168,0.256900487803683,0.0492951586902574
"21","B","NK","CCL5","CCL5","CXCR3","CXCR3",-1.47955716369222,0.0190051109089384,-0.730276026391641
"22","B","NK","GNAS","GNAS","PTGDR","PTGDR",0.135724759172047,0.75051669237151,0.443120725771778
"23","B","NK","MFNG","MFNG","NOTCH1","NOTCH1",-0.0250441706558416,0.0976409690563838,0.0362983992002711
"24","B","NK","TIMP1","TIMP1","CD63","CD63",-0.298728236229617,1.00996938175633,0.355620572763358
"25","B","NK","TGFB1","TGFB1","CXCR4","CXCR4",-0.158310170423168,-0.333122783097058,-0.245716476760113
"26","B","NK","GNAI2","GNAI2","S1PR5","S1PR5",-0.00476788146156415,0.499414413725557,0.247323266131997
"27","B","NK","GNAI2","GNAI2","CXCR3","CXCR3",-0.00476788146156415,0.0190051109089384,0.00711861472368713
"28","B","NK","GNAI2","GNAI2","ADCY7","ADCY7",-0.00476788146156415,0.295246695297549,0.145239406917993
"29","B","NK","PKM","PKM","CD44","CD44",-0.103559782456162,-0.374999550599519,-0.239279666527841
"30","B","NK","GNAS","GNAS","ADCY7","ADCY7",0.135724759172047,0.295246695297549,0.215485727234798
"31","B","NK","LTB","LTB","TNFRSF1A","TNFRSF1A",0.565088690931825,0.267299640676138,0.416194165803981
"32","B","NK","GNAI2","GNAI2","S1PR4","S1PR4",-0.00476788146156415,-0.0274939786358677,-0.0161309300487159
"33","B","NK","LRPAP1","LRPAP1","SORL1","SORL1",-0.132872443194584,0.047312859594052,-0.0427797918002661
"34","B","NK","ICAM2","ICAM2","ITGAL","ITGAL",0.0948636753152425,0.124649619378656,0.10975664734695
"35","B","NK","B2M","B2M","CD247","CD247",-0.145085825335327,0.825928308791067,0.34042124172787
