"","source","ligand","target","receptor","aggregate_rank","mean_rank","median_rank","natmi.edge_specificity","natmi.rank","sca.LRscore","sca.rank","logfc.logfc_comb","logfc.rank","connectome.weight_sc","connectome.rank"
"1","NK","SPON2","NK","ITGB2",4.26488962932111e-05,4,2.5,0.514403236506091,4,0.904614214405542,10,1.03989391205007,1,0.900084724857877,1
"2","B","LTB","B","CD40",0.000215910037484382,7.5,6,0.422737522510463,8,0.877475432343291,15,0.629061235641179,3,0.696390550076107,4
"3","B","LY86","B","CD180",0.00036518117451062,23.25,3.5,0.819015844263507,1,0.73049658509828,85,0.650572579836994,2,0.668157891318985,5
"4","CD8 T","LTB","B","CD40",0.00141498802165764,18.75,18.5,0.316839491597607,14,0.861112309754645,24,0.373629607883663,23,0.442797191728267,14
"5","NK","B2M","NK","KLRD1",0.00141498802165764,9.5,6,0.27731598993798,24,0.930473203492175,4,0.521690619166852,8,0.779499734766389,2
"6","CD8 T","B2M","NK","KLRD1",0.00166597251145356,11.75,8.5,0.2672570701542,25,0.929268567984557,5,0.491650604737454,10,0.534657352405081,7
"7","NK","TGFB1","CD8 T","CXCR4",0.00226653720949604,16.25,14.5,0.261609485023169,27,0.873049626345488,18,0.476830261535064,11,0.501634017507399,9
"8","NK","SPON2","CD8 T","ITGB2",0.00262144,18.5,19.5,0.257377033753474,28,0.870269792434066,20,0.539648086975749,7,0.411584029054341,19
"9","CD8 T","CCL5","CD8 T","CXCR3",0.00447206090795502,19.5,21,0.255185626971099,30,0.845122616256563,32,0.597814943600969,4,0.472833959707924,12
"10","NK","B2M","NK","CD247",0.00489350024156601,14.5,7.5,0.208315269994248,42,0.943998143027872,1,0.461278395804047,12,0.756782929317015,3
"11","CD8 T","B2M","NK","CD247",0.00770047999999999,17.5,11,0.200759172738272,46,0.943013491571967,2,0.431238381374649,14,0.511940546955707,8
"12","CD8 T","PKM","CD8 T","CD44",0.00986657052894628,35.5,35.5,0.216653597225175,39,0.836548881071894,37,0.323700481810977,32,0.318360435081136,34
"13","CD8 T","VIM","CD8 T","CD44",0.0109181174510621,21.75,18,0.212781351763645,40,0.886154361059951,11,0.39702553095803,19,0.417077731926311,17
"14","B","LTB","NK","TNFRSF1A",0.0113897801249479,20.75,14.5,0.324997200055308,13,0.831916761515171,43,0.416194165803981,16,0.48089548121809,11
"15","CD8 T","TIMP1","NK","CD63",0.0135987583840067,18.5,11.5,0.299923637305471,17,0.826002920276668,46,0.587904255959845,5,0.540538752471835,6
"16","B","ICAM2","NK","ITGB2",0.0145808089296127,26.75,24.5,0.20675953268113,43,0.845052684616485,33,0.430555014662226,15,0.420819792907098,16
"17","CD8 T","CCL5","NK","CXCR3",0.0226398083465223,30.25,32,0.198496835024107,48,0.827960159623293,44,0.492129832007691,9,0.407561944827027,20
"18","NK","TGFB1","NK","TGFBR1",0.02515968,34.5,18,0.488097893071809,5,0.701381217092248,97,0.390225840542863,21,0.431786553897436,15
"19","NK","TIMP1","NK","CD63",0.026655560183257,23.75,19.5,0.255828541320684,29,0.814277799451835,50,0.569393773356804,6,0.49276526611925,10
"20","NK","PRSS23","CD8 T","TMEM222",0.0287915533860892,42.5,21.5,0.433230479102069,7,0.647418134755169,120,0.387533287204303,22,0.386915156995862,21
"21","CD8 T","LTB","NK","TNFRSF1A",0.0311832352519783,45.5,49,0.243583647424203,32,0.810781318841324,51,0.160762538046465,52,0.227302122870249,47
"22","B","VIM","CD8 T","CD44",0.0311832352519783,35.75,38.5,0.183833301889224,52,0.878567031971259,14,0.258632483565291,38,0.28284780358617,39
"23","B","GNAS","NK","PTGDR",0.0327431655476885,26,18,0.331553029515524,11,0.796374226129483,57,0.443120725771778,13,0.375338114119702,23
"24","NK","TGFB1","NK","TGFBR3",0.0370255199000416,39.5,21,0.446660614743688,6,0.678493252383585,110,0.364747637206658,24,0.414206335721909,18
"25","NK","ICAM2","NK","ITGB2",0.0390264056643066,34.5,31.5,0.177886366427953,55,0.834947889988324,38,0.390644317161683,20,0.371698839514495,25
"26","NK","CCL5","CD8 T","CXCR3",0.0450201791920034,51.5,52.5,0.177281438117998,56,0.819759899296032,49,0.209043833337861,44,0.168338446408658,57
"27","NK","SPON2","B","ITGB2",0.0450201791920034,38.25,35.5,0.17719779192001,57,0.84770439176794,30,0.363895326328392,25,0.259196393065549,41
"28","NK","TGFB1","B","CXCR4",0.0516792072636402,48,52,0.172728510903183,59,0.848209997494305,29,0.177987754404993,49,0.189475157821572,55
