"","source","target","ligand.complex","ligand","receptor.complex","receptor","ligand.expr","receptor.expr","global_mean","LRscore"
"1","B","B","CCL5","CCL5","CXCR3","CXCR3",0.491671035879648,0.118578093468527,0.199056328661466,0.548126287927035
"2","B","B","EBI3","EBI3","IL27RA","IL27RA",0.162130281769887,0.191378512765407,0.199056328661466,0.469472734670637
"3","B","B","ANXA1","ANXA1","FPR1","FPR1",0.393885390523984,0.106251394941705,0.199056328661466,0.506836102749722
"4","B","B","SEMA4D","SEMA4D","CD72","CD72",0.223094502642178,0.377493402303649,0.199056328661466,0.593146061972944
"5","B","B","TIMP1","TIMP1","CD63","CD63",0.137708812926166,0.48357702176794,0.199056328661466,0.564535049803432
"6","B","B","TGFB1","TGFB1","CXCR4","CXCR4",0.415304167091577,1.32766130682417,0.199056328661466,0.78859962152013
"7","B","B","GNAI2","GNAI2","FPR1","FPR1",0.426597193353934,0.106251394941705,0.199056328661466,0.516802730070647
"8","B","B","GNAI2","GNAI2","CXCR3","CXCR3",0.426597193353934,0.118578093468527,0.199056328661466,0.530491653874364
"9","B","B","PKM","PKM","CD44","CD44",0.677131888410867,0.655390474380009,0.199056328661466,0.76993793569101
"10","B","B","GNAI2","GNAI2","S1PR4","S1PR4",0.426597193353934,0.617799111087582,0.199056328661466,0.720594803400323
"11","B","B","LRPAP1","LRPAP1","SORL1","SORL1",0.307755640823789,0.12750279780292,0.199056328661466,0.498783591837894
"12","B","B","B2M","B2M","CD247","CD247",5.08030092207413,0.269537489139202,0.199056328661466,0.854622840990334
"13","B","B","LTB","LTB","CD40","CD40",2.96262657253701,0.685959760600616,0.199056328661466,0.877475432343291
"14","B","B","ICAM2","ICAM2","ITGB2","ITGB2",0.534134895138124,0.760072642284877,0.199056328661466,0.761957830326967
"15","B","B","VIM","VIM","CD44","CD44",2.02913858438351,0.655390474380009,0.199056328661466,0.852797267183817
"16","B","B","B2M","B2M","CD3G","CD3G",5.08030092207413,0.218130867710745,0.199056328661466,0.840977959641924
"17","B","B","LY86","LY86","CD180","CD180",0.949692744779679,0.306532618014217,0.199056328661466,0.73049658509828
"18","B","B","PTDSS1","PTDSS1","JMJD6","JMJD6",0.27507301748237,0.223981345070093,0.199056328661466,0.5549550498887
"19","B","NK","TGFB1","TGFB1","TGFBR3","TGFBR3",0.415304167091577,0.189355420774789,0.199056328661466,0.584853675201545
"20","B","NK","TGFB1","TGFB1","TGFBR1","TGFBR1",0.415304167091577,0.234552940157019,0.199056328661466,0.610581791986968
"21","B","NK","CCL5","CCL5","CXCR3","CXCR3",0.491671035879648,0.254680211646446,0.199056328661466,0.639990159145765
"22","B","NK","GNAS","GNAS","PTGDR","PTGDR",0.734176766623014,0.825506009432042,0.199056328661466,0.796374226129483
"23","B","NK","MFNG","MFNG","NOTCH1","NOTCH1",0.442947348968493,0.136564891325529,0.199056328661466,0.552688062145979
"24","B","NK","TIMP1","TIMP1","CD63","CD63",0.137708812926166,2.07762185697321,0.199056328661466,0.728786096926508
"25","B","NK","TGFB1","TGFB1","CXCR4","CXCR4",0.415304167091577,1.07522147794157,0.199056328661466,0.77048622403464
"26","B","NK","GNAI2","GNAI2","S1PR5","S1PR5",0.426597193353934,0.646330301209225,0.199056328661466,0.725117027760787
"27","B","NK","GNAI2","GNAI2","CXCR3","CXCR3",0.426597193353934,0.254680211646446,0.199056328661466,0.62347790889845
"28","B","NK","GNAI2","GNAI2","ADCY7","ADCY7",0.426597193353934,0.313315850176681,0.199056328661466,0.647470326083761
"29","B","NK","PKM","PKM","CD44","CD44",0.677131888410867,0.425514216912607,0.199056328661466,0.729481667750752
"30","B","NK","GNAS","GNAS","ADCY7","ADCY7",0.734176766623014,0.313315850176681,0.199056328661466,0.706696412453363
"31","B","NK","LTB","LTB","TNFRSF1A","TNFRSF1A",2.96262657253701,0.327631764490504,0.199056328661466,0.831916761515171
"32","B","NK","GNAI2","GNAI2","S1PR4","S1PR4",0.426597193353934,0.598346267100003,0.199056328661466,0.717362692728448
