"","source","target","ligand.complex","ligand","receptor.complex","receptor","ligand.log2FC","receptor.log2FC","logfc_comb"
"1","B","B","ALOX5AP","ALOX5AP","ALOX5","ALOX5",-0.228209865473556,0.456982358302471,0.114386246414457
"2","B","B","CCL5","CCL5","CXCR3","CXCR3",-1.50694290366649,-0.23657820745252,-0.871760555559503
"3","B","B","EBI3","EBI3","IL27RA","IL27RA",0.197496196377037,-0.00955768496995718,0.09396925570354
"4","B","NK","TGFB1","TGFB1","TGFBR3","TGFBR3",-0.104475298839003,0.226092995443234,0.0608088483021157
"5","B","NK","TGFB1","TGFB1","TGFBR1","TGFBR1",-0.104475298839003,0.256856748121986,0.0761907246414915
"6","B","NK","CCL5","CCL5","CXCR3","CXCR3",-1.50694290366649,0.0470770998814333,-0.729932901892527
"7","B","CD8 T","TGFB1","TGFB1","TGFBR2","TGFBR2",-0.104475298839003,0.203230910342289,0.0493778057516431
"8","B","CD8 T","CCL5","CCL5","CXCR3","CXCR3",-1.50694290366649,0.199579519028415,-0.653681692319036
"9","B","CD8 T","EBI3","EBI3","IL27RA","IL27RA",0.197496196377037,0.181331403343226,0.189413799860131
"10","NK","B","IFNG","IFNG","IFNGR1","IFNGR1",0.476158004635717,-0.155630903836567,0.160263550399575
"11","NK","B","FASLG","FASLG","FAS","FAS",0.272029941108112,0.0518317651643621,0.161930853136237
"12","NK","B","IFNG","IFNG","IFNGR2","IFNGR2",0.476158004635717,0.16616608237397,0.321162043504843
"13","NK","B","ALOX5AP","ALOX5AP","ALOX5","ALOX5",0.275575616698887,0.456982358302471,0.366278987500679
"14","NK","B","CCL5","CCL5","CXCR3","CXCR3",0.253399335428986,-0.23657820745252,0.00841056398823337
"15","NK","NK","IFNG","IFNG","IFNGR1","IFNGR1",0.476158004635717,0.0105427677087441,0.24335038617223
"16","NK","NK","TGFB1","TGFB1","TGFBR3","TGFBR3",0.486378701570301,0.226092995443234,0.356235848506767
"17","NK","NK","TGFB1","TGFB1","TGFBR1","TGFBR1",0.486378701570301,0.256856748121986,0.371617724846143
"18","NK","NK","IFNG","IFNG","IFNGR2","IFNGR2",0.476158004635717,0.0238695602326252,0.250013782434171
"19","NK","NK","CCL5","CCL5","CXCR3","CXCR3",0.253399335428986,0.0470770998814333,0.15023821765521
"20","NK","CD8 T","IFNG","IFNG","IFNGR1","IFNGR1",0.476158004635717,0.146693272846776,0.311425638741247
"21","NK","CD8 T","FASLG","FASLG","FAS","FAS",0.272029941108112,0.0704294509357357,0.171229696021924
"22","NK","CD8 T","TGFB1","TGFB1","TGFBR2","TGFBR2",0.486378701570301,0.203230910342289,0.344804805956295
"23","NK","CD8 T","CCL5","CCL5","CXCR3","CXCR3",0.253399335428986,0.199579519028415,0.2264894272287
"24","CD8 T","B","IFNG","IFNG","IFNGR1","IFNGR1",-0.0295656430676928,-0.155630903836567,-0.0925982734521301
"25","CD8 T","B","IFNG","IFNG","IFNGR2","IFNGR2",-0.0295656430676928,0.16616608237397,0.0683002196531386
"26","CD8 T","B","ALOX5AP","ALOX5AP","ALOX5","ALOX5",-0.0556092659446207,0.456982358302471,0.200686546178925
"27","CD8 T","B","CCL5","CCL5","CXCR3","CXCR3",1.04258149352872,-0.23657820745252,0.403001643038098
"28","CD8 T","NK","IFNG","IFNG","IFNGR1","IFNGR1",-0.0295656430676928,0.0105427677087441,-0.00951143767947434
"29","CD8 T","NK","TGFB1","TGFB1","TGFBR3","TGFBR3",-0.424984828279346,0.226092995443234,-0.0994459164180559
"30","CD8 T","NK","TGFB1","TGFB1","TGFBR1","TGFBR1",-0.424984828279346,0.256856748121986,-0.0840640400786801
"31","CD8 T","NK","IFNG","IFNG","IFNGR2","IFNGR2",-0.0295656430676928,0.0238695602326252,-0.00284804141753382
"32","CD8 T","NK","IL23A","IL23A","IL12RB1","IL12RB1",0.288385766282893,0.420550071828649,0.354467919055771
"33","CD8 T","NK","CCL5","CCL5","CXCR3","CXCR3",1.04258149352872,0.0470770998814333,0.544829296705074
"34","CD8 T","CD8 T","IFNG","IFNG","IFNGR1","IFNGR1",-0.0295656430676928,0.146693272846776,0.0585638148895418
"35","CD8 T","CD8 T","TGFB1","TGFB1","TGFBR2","TGFBR2",-0.424984828279346,0.203230910342289,-0.110876958968528
"36","CD8 T","CD8 T","IL23A","IL23A","IL12RB1","IL12RB1",0.288385766282893,-0.0797634056974567,0.104311180292718
"37","CD8 T","CD8 T","CCL5","CCL5","CXCR3","CXCR3",1.04258149352872,0.199579519028415,0.621080506278565
