"","source","target","ligand.complex","ligand","receptor.complex","receptor","ligand.expr","receptor.expr","ligand.sum","receptor.sum","edge_specificity"
"1","B","B","ALOX5AP","ALOX5AP","ALOX5","ALOX5",0.518253846943279,0.393793090881736,2.33342811341037,0.441163223297599,0.198251690606645
"2","B","B","CCL5","CCL5","CXCR3","CXCR3",0.491671035879648,0.118578093468527,6.59848126244347,0.700672742117141,0.012610139117639
"3","B","B","EBI3","EBI3","IL27RA","IL27RA",0.162130281769887,0.191378512765407,0.162130281769887,0.553902131221905,0.345509616190188
"4","B","NK","TGFB1","TGFB1","TGFBR3","TGFBR3",0.415304167091577,0.189355420774789,1.6229445508379,0.24343415955529,0.199048463342506
"5","B","NK","TGFB1","TGFB1","TGFBR1","TGFBR1",0.415304167091577,0.234552940157019,1.6229445508379,0.275940460753103,0.217514444680576
"6","B","NK","CCL5","CCL5","CXCR3","CXCR3",0.491671035879648,0.254680211646446,6.59848126244347,0.700672742117141,0.0270838635150079
"7","B","CD8 T","TGFB1","TGFB1","TGFBR2","TGFBR2",0.415304167091577,0.21085677859872,1.6229445508379,0.340865791012027,0.158294839158179
"8","B","CD8 T","CCL5","CCL5","CXCR3","CXCR3",0.491671035879648,0.327414437002168,6.59848126244347,0.700672742117141,0.0348187551254283
"9","B","CD8 T","EBI3","EBI3","IL27RA","IL27RA",0.162130281769887,0.308531709927766,0.162130281769887,0.553902131221905,0.557014845288908
"10","NK","B","IFNG","IFNG","IFNGR1","IFNGR1",0.470846318282549,0.125198274575497,0.649301528450821,0.632302059624825,0.143584149774917
"11","NK","B","FASLG","FASLG","FAS","FAS",0.27283150035115,0.117997956108831,0.310252968003089,0.268086888751053,0.387059273087177
"12","NK","B","IFNG","IFNG","IFNGR2","IFNGR2",0.470846318282549,0.22253843403016,0.649301528450821,0.433472873820884,0.372285272724069
"13","NK","B","ALOX5AP","ALOX5AP","ALOX5","ALOX5",1.05879560922601,0.393793090881736,2.33342811341037,0.441163223297599,0.405029351492538
"14","NK","B","CCL5","CCL5","CXCR3","CXCR3",2.50336773982058,0.118578093468527,6.59848126244347,0.700672742117141,0.0642051558015187
"15","NK","NK","IFNG","IFNG","IFNGR1","IFNGR1",0.470846318282549,0.194453137051598,0.649301528450821,0.632302059624825,0.223009370131396
"16","NK","NK","TGFB1","TGFB1","TGFBR3","TGFBR3",0.931933919326705,0.189355420774789,1.6229445508379,0.24343415955529,0.446660614743688
