"","source","ligand","target","receptor","aggregate_rank","mean_rank","median_rank","natmi.edge_specificity","natmi.rank","sca.LRscore","sca.rank","logfc.logfc_comb","logfc.rank","connectome.weight_sc","connectome.rank"
"1","CD8 T","CCL5","CD8 T","CXCR3",0.000309471811653321,4.25,1,0.255185626971099,14,0.845122616256563,1,0.621080506278565,1,0.472833959707924,1
"2","NK","ALOX5AP","B","ALOX5",0.00276603770967382,4.75,5.5,0.405029351492538,6,0.764366297326901,6,0.366278987500679,5,0.436856869365708,2
"3","NK","TGFB1","NK","TGFBR1",0.0140030659052237,5,4,0.488097893071809,4,0.701381217092248,9,0.371617724846143,4,0.431786553897436,3
"4","NK","TGFB1","CD8 T","TGFBR2",0.0312481158235605,8.75,9,0.355210329091986,10,0.69010980041239,11,0.344804805956295,8,0.376096864063747,6
"5","CD8 T","CCL5","NK","CXCR3",0.0354825439223205,7,3.5,0.198496835024107,19,0.827960159623293,2,0.544829296705074,2,0.407561944827027,5
"6","NK","TGFB1","NK","TGFBR3",0.0442566033547812,6.75,5.5,0.446660614743688,5,0.678493252383585,12,0.356235848506767,6,0.414206335721909,4
"7","NK","IFNG","CD8 T","IFNGR1",0.081990821492924,10.5,9.5,0.358564665699609,9,0.658411033723416,14,0.311425638741247,10,0.311771823552276,9
"8","CD8 T","ALOX5AP","B","ALOX5",0.081990821492924,11.5,12.5,0.289343433572699,12,0.732745299679581,7,0.200686546178925,14,0.272429634514813,13
"9","CD8 T","IL23A","NK","IL12RB1",0.0929717350857264,8,7,0.53006718486953,2,0.626005115340359,16,0.354467919055771,7,0.366897809917373,7
"10","NK","IFNG","B","IFNGR2",0.178257897800669,11,9.5,0.372285272724069,8,0.61921743087233,17,0.321162043504843,9,0.304167623648806,10
"11","NK","IFNG","NK","IFNGR1",0.278142592872224,15.75,16,0.223009370131396,15,0.603189753024778,19,0.24335038617223,12,0.199716328154568,17
"12","B","ALOX5AP","B","ALOX5",0.341486136996768,17.25,19.5,0.198251690606645,20,0.694142413139068,10,0.114386246414457,20,0.142958704232398,19
"13","CD8 T","CCL5","B","CXCR3",0.363309235439218,12.75,8.5,0.0924193368009704,31,0.76656583454019,5,0.403001643038098,3,0.285423303223527,12
"14","NK","CCL5","CD8 T","CXCR3",0.415078533807928,13.75,15.5,0.177281438117998,21,0.819759899296032,3,0.2264894272287,13,0.168338446408658,18
"15","B","EBI3","CD8 T","IL27RA",0.415215128262727,13.25,11.5,0.557014845288908,1,0.529098227789654,29,0.189413799860131,15,0.340885326553808,8
"16","NK","IFNG","NK","IFNGR2",0.499969853176968,15.25,14,0.268570580793514,13,0.580044143706327,22,0.250013782434171,11,0.233482736160042,15
"17","B","TGFB1","NK","TGFBR1",0.597261387895704,20.25,20.5,0.217514444680576,17,0.610581791986968,18,0.0761907246414915,23,0.0947079777414095,23
