"","source","target","ligand.complex","ligand","receptor.complex","receptor","ligand.scaled","receptor.scaled","weight_sc"
"1","B","B","ANXA1","ANXA1","FPR1","FPR1",-0.891677356590525,0.222620338762458,-0.334528508914034
"2","B","B","FPR1","FPR1","ANXA1","ANXA1",0.222620338762458,-0.891677356590525,-0.334528508914034
"3","B","B","PTDSS1","PTDSS1","JMJD6","JMJD6",0.0789395494195753,0.0715079785816555,0.0752237640006154
"4","B","B","JMJD6","JMJD6","PTDSS1","PTDSS1",0.0715079785816555,0.0789395494195753,0.0752237640006154
"5","B","B","IL10RB","IL10RB","IL10RA","IL10RA",0.00167059985728805,-0.357706798287674,-0.178018099215193
"6","B","NK","TGFB1","TGFB1","TGFBR1","TGFBR1",-0.163998073903803,0.353414029386622,0.0947079777414095
"7","B","NK","FPR1","FPR1","ANXA1","ANXA1",0.222620338762458,0.525113064168404,0.373866701465431
"8","B","NK","PTDSS1","PTDSS1","JMJD6","JMJD6",0.0789395494195753,0.205510887770244,0.14222521859491
"9","B","NK","JMJD6","JMJD6","PTDSS1","PTDSS1",0.0715079785816555,0.0628903006377732,0.0671991396097144
"10","B","NK","IL10RB","IL10RB","IL10RA","IL10RA",0.00167059985728805,0.0387183304372295,0.0201944651472588
"11","B","CD8 T","TGFB1","TGFB1","TGFBR2","TGFBR2",-0.163998073903803,0.242034649719245,0.0390182879077208
"12","B","CD8 T","FPR1","FPR1","ANXA1","ANXA1",0.222620338762458,0.366564292422121,0.29459231559229
"13","B","CD8 T","JMJD6","JMJD6","PTDSS1","PTDSS1",0.0715079785816555,-0.141829850057349,-0.0351609357378465
"14","B","CD8 T","IL10RB","IL10RB","IL10RA","IL10RA",0.00167059985728805,0.318988467850444,0.160329533853866
"15","NK","B","IFNG","IFNG","IFNGR1","IFNGR1",0.430365584741019,-0.162245133931649,0.134060225404685
"16","NK","B","FASLG","FASLG","FAS","FAS",0.412572643217306,0.0836555942073676,0.248114118712337
"17","NK","B","TGFBR1","TGFBR1","TGFB1","TGFB1",0.353414029386622,-0.163998073903803,0.0947079777414095
"18","NK","B","IFNG","IFNG","IFNGR2","IFNGR2",0.430365584741019,0.177969662556593,0.304167623648806
"19","NK","B","ANXA1","ANXA1","FPR1","FPR1",0.525113064168404,0.222620338762458,0.373866701465431
"20","NK","B","PTDSS1","PTDSS1","JMJD6","JMJD6",0.0628903006377732,0.0715079785816555,0.0671991396097144
"21","NK","B","JMJD6","JMJD6","PTDSS1","PTDSS1",0.205510887770244,0.0789395494195753,0.14222521859491
"22","NK","B","IL10RB","IL10RB","IL10RA","IL10RA",0.279169175034099,-0.357706798287674,-0.0392688116267876
"23","NK","NK","IFNG","IFNG","IFNGR1","IFNGR1",0.430365584741019,-0.0309329284318834,0.199716328154568
"24","NK","NK","TGFB1","TGFB1","TGFBR1","TGFBR1",0.51015907840825,0.353414029386622,0.431786553897436
"25","NK","NK","TGFBR1","TGFBR1","TGFB1","TGFB1",0.353414029386622,0.51015907840825,0.431786553897436
"26","NK","NK","IFNG","IFNG","IFNGR2","IFNGR2",0.430365584741019,0.0365998875790657,0.233482736160042
"27","NK","NK","PTDSS1","PTDSS1","JMJD6","JMJD6",0.0628903006377732,0.205510887770244,0.134200594204009
"28","NK","NK","JMJD6","JMJD6","PTDSS1","PTDSS1",0.205510887770244,0.0628903006377732,0.134200594204009
"29","NK","NK","IL10RB","IL10RB","IL10RA","IL10RA",0.279169175034099,0.0387183304372295,0.158943752735664
"30","NK","CD8 T","IFNG","IFNG","IFNGR1","IFNGR1",0.430365584741019,0.193178062363533,0.311771823552276
"31","NK","CD8 T","FASLG","FASLG","FAS","FAS",0.412572643217306,0.177405475434589,0.294989059325947
"32","NK","CD8 T","TGFB1","TGFB1","TGFBR2","TGFBR2",0.51015907840825,0.242034649719245,0.376096864063747
"33","NK","CD8 T","TGFBR1","TGFBR1","TGFB1","TGFB1",0.353414029386622,-0.346161004504446,0.00362651244108805
"34","NK","CD8 T","JMJD6","JMJD6","PTDSS1","PTDSS1",0.205510887770244,-0.141829850057349,0.0318405188564477
"35","NK","CD8 T","IL10RB","IL10RB","IL10RA","IL10RA",0.279169175034099,0.318988467850444,0.299078821442271
"36","CD8 T","B","IFNG","IFNG","IFNGR1","IFNGR1",-0.0642448701369524,-0.162245133931649,-0.113245002034301
"37","CD8 T","B","TGFBR2","TGFBR2","TGFB1","TGFB1",0.242034649719245,-0.163998073903803,0.0390182879077208
"38","CD8 T","B","IFNG","IFNG","IFNGR2","IFNGR2",-0.0642448701369524,0.177969662556593,0.0568623962098205
