"","source","target","ligand.complex","ligand","receptor.complex","receptor","ligand.log2FC","receptor.log2FC","logfc_comb"
"1","B","B","ANXA1","ANXA1","FPR1","FPR1",-1.16749562397512,0.105481113252443,-0.531007255361337
"2","B","B","FPR1","FPR1","ANXA1","ANXA1",0.105481113252443,-1.16749562397512,-0.531007255361337
"3","B","B","PTDSS1","PTDSS1","JMJD6","JMJD6",0.194290666712818,0.0554577861958164,0.124874226454317
"4","B","B","JMJD6","JMJD6","PTDSS1","PTDSS1",0.0554577861958164,0.194290666712818,0.124874226454317
"5","B","B","IL10RB","IL10RB","IL10RA","IL10RA",0.0287022546750619,-0.484401968045681,-0.227849856685309
"6","B","NK","TGFB1","TGFB1","TGFBR1","TGFBR1",-0.147198884377786,0.243752860007927,0.0482769878150707
"7","B","NK","FPR1","FPR1","ANXA1","ANXA1",0.105481113252443,0.604811210084753,0.355146161668598
"8","B","NK","PTDSS1","PTDSS1","JMJD6","JMJD6",0.194290666712818,0.158898489956738,0.176594578334778
"9","B","NK","JMJD6","JMJD6","PTDSS1","PTDSS1",0.0554577861958164,-0.0219937560350856,0.0167320150803654
"10","B","NK","IL10RB","IL10RB","IL10RA","IL10RA",0.0287022546750619,0.124006487488077,0.0763543710815694
"11","B","CD8 T","TGFB1","TGFB1","TGFBR2","TGFBR2",-0.147198884377786,0.172786092312029,0.0127936039671214
"12","B","CD8 T","FPR1","FPR1","ANXA1","ANXA1",0.105481113252443,0.497938780301995,0.301709946777219
"13","B","CD8 T","JMJD6","JMJD6","PTDSS1","PTDSS1",0.0554577861958164,-0.239905962416751,-0.0922240881104675
"14","B","CD8 T","IL10RB","IL10RB","IL10RA","IL10RA",0.0287022546750619,0.374129194332575,0.201415724503818
"15","NK","B","IFNG","IFNG","IFNGR1","IFNGR1",0.515174585148159,-0.120254152873072,0.197460216137543
"16","NK","B","FASLG","FASLG","FAS","FAS",0.285205508790316,0.0518224133958934,0.168513961093104
"17","NK","B","TGFBR1","TGFBR1","TGFB1","TGFB1",0.243752860007927,-0.147198884377786,0.0482769878150707
