"","source","ligand","target","receptor","aggregate_rank","mean_rank","median_rank","natmi.edge_specificity","natmi.rank","sca.LRscore","sca.rank","logfc.logfc_comb","logfc.rank","connectome.weight_sc","connectome.rank"
"1","NK","TGFB1","NK","TGFBR1",0.000151362834600184,2.25,2,0.488097893071809,4,0.701381217092248,3,0.371642445334824,1,0.431786553897436,1
"2","NK","TGFBR1","NK","TGFB1",0.000369538170410606,2.25,2,0.488097893071809,4,0.701381217092248,3,0.371642445334824,1,0.431786553897436,1
"3","NK","IFNG","CD8 T","IFNGR1",0.00387926389770238,8.75,9,0.358564665699609,8,0.658411033723416,9,0.326019270190173,9,0.311771823552276,9
"4","NK","TGFB1","CD8 T","TGFBR2",0.00387926389770238,6.25,6.5,0.355210329091986,9,0.69010980041239,7,0.336159061486874,6,0.376096864063747,3
"5","CD8 T","TGFBR2","NK","TGFB1",0.00591261072656969,6.25,6.5,0.355210329091986,9,0.69010980041239,7,0.336159061486874,6,0.376096864063747,3
"6","CD8 T","IL23A","NK","IL12RB1",0.00865665336477068,7,7.5,0.53006718486953,2,0.626005115340359,11,0.330116424387623,8,0.366897809917373,7
"7","NK","IFNG","B","IFNGR2",0.0122603896026149,8.5,8.5,0.372285272724069,7,0.61921743087233,12,0.337505378564847,5,0.304167623648806,10
"8","B","FPR1","NK","ANXA1",0.0122603896026149,5.25,4,0.327684229464865,12,0.704130234247882,1,0.355146161668598,3,0.373866701465431,5
"9","NK","IL10RB","CD8 T","IL10RA",0.0168870074961557,11.25,11,0.348549845297733,11,0.63911393876036,10,0.258620312094017,13,0.299078821442271,11
"10","NK","ANXA1","B","FPR1",0.0168870074961557,5.25,4,0.327684229464865,12,0.704130234247882,1,0.355146161668598,3,0.373866701465431,5
"11","B","FPR1","CD8 T","ANXA1",0.0227138853671901,10.5,11.5,0.297852563997266,14,0.694091560885899,5,0.301709946777219,10,0.29459231559229,13
"12","CD8 T","ANXA1","B","FPR1",0.0299325918032591,10.5,11.5,0.297852563997266,14,0.694091560885899,5,0.301709946777219,10,0.29459231559229,13
"13","NK","IFNG","NK","IFNGR1",0.062068222363238,16,16,0.223009370131396,18,0.603189753024778,15,0.245725659684829,14,0.199716328154568,17
"14","NK","IL10RB","NK","IL10RA",0.138506453836331,19,18.5,0.236974946617471,17,0.593537095536427,18,0.133558958671768,22,0.158943752735664,19
"15","B","PTDSS1","NK","JMJD6",0.138506453836331,20,19.5,0.203206508668907,22,0.586628084249706,19,0.176594578334778,19,0.14222521859491,20
"16","NK","IFNG","NK","IFNGR2",0.165459089833399,16.75,16,0.268570580793514,16,0.580044143706327,23,0.259418352927743,12,0.233482736160042,16
"17","NK","JMJD6","B","PTDSS1",0.165459089833399,20,19.5,0.203206508668907,22,0.586628084249706,19,0.176594578334778,19,0.14222521859491,20
"18","B","IL10RB","CD8 T","IL10RA",0.270192119938491,21.25,22,0.175834595905579,26,0.557100238390389,26,0.201415724503818,15,0.160329533853866,18
"19","CD8 T","PCSK1N","CD8 T","GPR171",0.304618295893943,18.75,12.5,0.820322463311853,1,0.444995660288177,49,0.183752418243906,17,0.33818005273867,8
"20","NK","PTDSS1","NK","JMJD6",0.314220375713892,23.75,23.5,0.196621845810029,24,0.582628514317647,21,0.0684523669608261,27,0.134200594204009,23
"21","NK","JMJD6","NK","PTDSS1",0.363422165875042,23.75,23.5,0.196621845810029,24,0.582628514317647,21,0.0684523669608261,27,0.134200594204009,23
"22","B","PTDSS1","B","JMJD6",0.418187722729894,26.75,27.5,0.156892328495968,29,0.5549550498887,27,0.124874226454317,23,0.0752237640006154,28
"23","B","TGFB1","NK","TGFBR1",0.478921468852145,22.25,23,0.217514444680576,20,0.610581791986968,13,0.0482769878150707,30,0.0947079777414095,26
"24","B","JMJD6","B","PTDSS1",0.478921468852145,26.75,27.5,0.156892328495968,29,0.5549550498887,27,0.124874226454317,23,0.0752237640006154,28
"25","NK","FASLG","CD8 T","FAS",0.517235186360317,18.5,15,0.492324740890841,3,0.504113245451463,41,0.17918310053663,18,0.294989059325947,12
"26","NK","TGFBR1","B","TGFB1",0.546042017081237,22.25,23,0.217514444680576,20,0.610581791986968,13,0.0482769878150707,30,0.0947079777414095,26
"27","B","JMJD6","NK","PTDSS1",0.701188922546426,30.75,30.5,0.151808421021461,31,0.550883644494435,29,0.0167320150803654,33,0.0671991396097144,30
"28","NK","FASLG","B","FAS",0.772069299936543,22,18,0.387059273087177,6,0.474066543608995,46,0.168513961093104,21,0.248114118712337,15
"29","NK","PTDSS1","B","JMJD6",0.790123456790123,30.75,30.5,0.151808421021461,31,0.550883644494435,29,0.0167320150803654,33,0.0671991396097144,30
"30","CD8 T","IL23A","CD8 T","IL12RB1",0.887261147155864,25.25,23.5,0.222733063660336,19,0.520389076493774,35,0.0870056488350617,25,0.136867404246898,22
"31","B","TGFB1","CD8 T","TGFBR2",0.887261147155864,28,30.5,0.158294839158179,27,0.597848216106669,16,0.0127936039671214,35,0.0390182879077208,34
"32","NK","IFNG","B","IFNGR1",0.887261147155864,26.75,28,0.143584149774917,35,0.549494225860438,31,0.197460216137543,16,0.134060225404685,25
"33","CD8 T","TGFBR2","B","TGFB1",0.993091557811808,28,30.5,0.158294839158179,27,0.597848216106669,16,0.0127936039671214,35,0.0390182879077208,34
"34","NK","TGFBR1","CD8 T","TGFB1",1,34.25,36,0.14440052196696,33,0.560926042739246,24,-0.0703618610286027,41,0.00362651244108805,39
"35","CD8 T","TGFB1","NK","TGFBR1",1,34.25,36,0.14440052196696,33,0.560926042739246,24,-0.0703618610286027,41,0.00362651244108805,39
"36","CD8 T","IFNG","B","IFNGR2",1,35,34.5,0.14109964123508,36,0.500282722928199,42,0.0561341267555893,29,0.0568623962098205,33
"37","CD8 T","IFNG","CD8 T","IFNGR1",1,33.75,33,0.135899401337023,37,0.542676954909513,34,0.0446480183809155,32,0.0644665961132903,32
"38","B","IL10RB","NK","IL10RA",1,35,38,0.119547876839927,38,0.509121063231543,38,0.0763543710815694,26,0.0201944651472588,38
"39","NK","JMJD6","CD8 T","PTDSS1",1,37.5,37.5,0.112629554888942,39,0.513742544820474,36,-0.0405037362300068,39,0.0318405188564477,36
"40","CD8 T","PTDSS1","NK","JMJD6",1,37.5,37.5,0.112629554888942,39,0.513742544820474,36,-0.0405037362300068,39,0.0318405188564477,36
"41","CD8 T","TGFB1","CD8 T","TGFBR2",1,41.25,43.5,0.105086618190733,41,0.547771365595473,32,-0.105845244876552,46,-0.0520631773926006,46
"42","CD8 T","TGFBR2","CD8 T","TGFB1",1,41.25,43.5,0.105086618190733,41,0.547771365595473,32,-0.105845244876552,46,-0.0520631773926006,46
"43","CD8 T","IFNG","NK","IFNGR2",1,42,42,0.101790791558787,43,0.459552963401339,47,-0.0219528988815145,37,-0.0138224912789433,41
"44","B","JMJD6","CD8 T","PTDSS1",1,43.5,44,0.0869593855026669,44,0.481421691100555,44,-0.0922240881104675,44,-0.0351609357378465,42
"45","CD8 T","PTDSS1","B","JMJD6",1,43.5,44,0.0869593855026669,44,0.481421691100555,44,-0.0922240881104675,44,-0.0351609357378465,42
"46","CD8 T","IFNG","NK","IFNGR1",1,43,44,0.0845226615798031,46,0.483425219459622,43,-0.0356455921244288,38,-0.0475888992844179,45
"47","NK","IL10RB","B","IL10RA",1,46.75,47.5,0.0791590123904898,47,0.457691203955602,48,-0.170645269095111,48,-0.0392688116267876,44
"48","B","ANXA1","B","FPR1",1,46.75,49,0.0611087309336431,48,0.506836102749722,39,-0.531007255361337,50,-0.334528508914034,50
"49","B","FPR1","B","ANXA1",1,46.75,49,0.0611087309336431,48,0.506836102749722,39,-0.531007255361337,50,-0.334528508914034,50
"50","CD8 T","IFNG","B","IFNGR1",1,47.75,49,0.0544197514772521,50,0.42886836631811,50,-0.0839110356717143,43,-0.113245002034301,48
