"","source","target","ligand.complex","ligand","receptor.complex","receptor","ligand.expr","receptor.expr","global_mean","LRscore"
"1","B","B","ANXA1","ANXA1","FPR1","FPR1",0.393885390523984,0.106251394941705,0.199056328661466,0.506836102749722
"2","B","B","FPR1","FPR1","ANXA1","ANXA1",0.106251394941705,0.393885390523984,0.199056328661466,0.506836102749722
"3","B","B","PTDSS1","PTDSS1","JMJD6","JMJD6",0.27507301748237,0.223981345070093,0.199056328661466,0.5549550498887
"4","B","B","JMJD6","JMJD6","PTDSS1","PTDSS1",0.223981345070093,0.27507301748237,0.199056328661466,0.5549550498887
"5","B","B","IL10RB","IL10RB","IL10RA","IL10RA",0.10230704854623,0.139167457213665,0.199056328661466,0.37478112734599
"6","B","NK","TGFB1","TGFB1","TGFBR1","TGFBR1",0.415304167091577,0.234552940157019,0.199056328661466,0.610581791986968
"7","B","NK","FPR1","FPR1","ANXA1","ANXA1",0.106251394941705,2.1121373119575,0.199056328661466,0.704130234247882
"8","B","NK","PTDSS1","PTDSS1","JMJD6","JMJD6",0.27507301748237,0.290100016839441,0.199056328661466,0.586628084249706
"9","B","NK","JMJD6","JMJD6","PTDSS1","PTDSS1",0.223981345070093,0.266159606718314,0.199056328661466,0.550883644494435
"10","B","NK","IL10RB","IL10RB","IL10RA","IL10RA",0.10230704854623,0.416619658939298,0.199056328661466,0.509121063231543
"11","B","CD8 T","TGFB1","TGFB1","TGFBR2","TGFBR2",0.415304167091577,0.21085677859872,0.199056328661466,0.597848216106669
"12","B","CD8 T","FPR1","FPR1","ANXA1","ANXA1",0.106251394941705,1.91985288675081,0.199056328661466,0.694091560885899
"13","B","CD8 T","JMJD6","JMJD6","PTDSS1","PTDSS1",0.223981345070093,0.152462397606942,0.199056328661466,0.481421691100555
"14","B","CD8 T","IL10RB","IL10RB","IL10RA","IL10RA",0.10230704854623,0.612776665820675,0.199056328661466,0.557100238390389
"15","NK","B","IFNG","IFNG","IFNGR1","IFNGR1",0.470846318282549,0.125198274575497,0.199056328661466,0.549494225860438
"16","NK","B","FASLG","FASLG","FAS","FAS",0.27283150035115,0.117997956108831,0.199056328661466,0.474066543608995
"17","NK","B","TGFBR1","TGFBR1","TGFB1","TGFB1",0.234552940157019,0.415304167091577,0.199056328661466,0.610581791986968
"18","NK","B","IFNG","IFNG","IFNGR2","IFNGR2",0.470846318282549,0.22253843403016,0.199056328661466,0.61921743087233
"19","NK","B","ANXA1","ANXA1","FPR1","FPR1",2.1121373119575,0.106251394941705,0.199056328661466,0.704130234247882
"20","NK","B","PTDSS1","PTDSS1","JMJD6","JMJD6",0.266159606718314,0.223981345070093,0.199056328661466,0.550883644494435
"21","NK","B","JMJD6","JMJD6","PTDSS1","PTDSS1",0.290100016839441,0.27507301748237,0.199056328661466,0.586628084249706
"22","NK","B","IL10RB","IL10RB","IL10RA","IL10RA",0.202799146322744,0.139167457213665,0.199056328661466,0.457691203955602
"23","NK","NK","IFNG","IFNG","IFNGR1","IFNGR1",0.470846318282549,0.194453137051598,0.199056328661466,0.603189753024778
"24","NK","NK","TGFB1","TGFB1","TGFBR1","TGFBR1",0.931933919326705,0.234552940157019,0.199056328661466,0.701381217092248
"25","NK","NK","TGFBR1","TGFBR1","TGFB1","TGFB1",0.234552940157019,0.931933919326705,0.199056328661466,0.701381217092248
"26","NK","NK","IFNG","IFNG","IFNGR2","IFNGR2",0.470846318282549,0.160541608425798,0.199056328661466,0.580044143706327
"27","NK","NK","PTDSS1","PTDSS1","JMJD6","JMJD6",0.266159606718314,0.290100016839441,0.199056328661466,0.582628514317647
"28","NK","NK","JMJD6","JMJD6","PTDSS1","PTDSS1",0.290100016839441,0.266159606718314,0.199056328661466,0.582628514317647
"29","NK","NK","IL10RB","IL10RB","IL10RA","IL10RA",0.202799146322744,0.416619658939298,0.199056328661466,0.593537095536427
"30","NK","CD8 T","IFNG","IFNG","IFNGR1","IFNGR1",0.470846318282549,0.31265064799773,0.199056328661466,0.658411033723416
"31","NK","CD8 T","FASLG","FASLG","FAS","FAS",0.27283150035115,0.150088932642222,0.199056328661466,0.504113245451463
"32","NK","CD8 T","TGFB1","TGFB1","TGFBR2","TGFBR2",0.931933919326705,0.21085677859872,0.199056328661466,0.69010980041239
"33","NK","CD8 T","TGFBR1","TGFBR1","TGFB1","TGFB1",0.234552940157019,0.275706464419614,0.199056328661466,0.560926042739246
"34","NK","CD8 T","JMJD6","JMJD6","PTDSS1","PTDSS1",0.290100016839441,0.152462397606942,0.199056328661466,0.513742544820474
