"","source","target","ligand.complex","ligand","receptor.complex","receptor","ligand.scaled","receptor.scaled","weight_sc"
"1","B","B","MIF","MIF","CXCR4","CXCR4",-0.190686152483387,-0.131208762765105,-0.160947457624246
"2","B","B","MIF","MIF","CD74","CD74",-0.190686152483387,1.11638110266967,0.462847475093143
"3","B","B","CD48","CD48","CD2","CD2",0.0488128787647804,-0.57975818134744,-0.26547265129133
"4","B","B","LGALS1","LGALS1","CD69","CD69",-0.460596838299222,0.143528083727423,-0.1585343772859
"5","B","B","SEMA4D","SEMA4D","CD72","CD72",0.0199159093596023,0.485221202294718,0.25256855582716
"6","B","NK","MIF","MIF","CXCR4","CXCR4",-0.190686152483387,-0.361900193841443,-0.276293173162415
"7","B","NK","MIF","MIF","CD74","CD74",-0.190686152483387,-0.620946418132034,-0.405816285307711
"8","B","NK","CD48","CD48","CD2","CD2",0.0488128787647804,-0.0513060240422604,-0.00124657263874
"9","B","NK","CD48","CD48","CD244","CD244",0.0488128787647804,0.528735496206176,0.288774187485478
"10","B","NK","HLA-A","HLA-A","KIR3DL2","KIR3DL2",-0.749821290724325,0.348584888095529,-0.200618201314398
"11","B","NK","HLA-C","HLA-C","KIR2DL3","KIR2DL3",-0.862434970519042,0.423212651268706,-0.219611159625168
"12","B","NK","HLA-E","HLA-E","KLRC1_KLRD1","KLRC1",-0.456533997813046,0.494168965949764,0.0188174840683591
"13","B","NK","HMGB1","HMGB1","HAVCR2","HAVCR2",-0.254962488690361,0.445374184625011,0.095205847967325
"14","B","NK","LGALS1","LGALS1","CD69","CD69",-0.460596838299222,0.143509481453203,-0.158543678423009
"15","B","NK","LGALS9","LGALS9","HAVCR2","HAVCR2",0.37783616839183,0.445374184625011,0.41160517650842
"16","B","CD8 T","MIF","MIF","CXCR4","CXCR4",-0.190686152483387,0.493108956606549,0.151211402061581
"17","B","CD8 T","MIF","MIF","CD74","CD74",-0.190686152483387,-0.495434684537642,-0.343060418510515
"18","B","CD8 T","CD48","CD48","CD2","CD2",0.0488128787647804,0.631064205389701,0.339938542077241
"19","B","CD8 T","HLA-DPA1","HLA-DPA1","LAG3","LAG3",1.03757612123552,0.822328273891339,0.92995219756343
"20","B","CD8 T","HLA-DPB1","HLA-DPB1","LAG3","LAG3",1.01393099545465,0.822328273891339,0.918129634672993
"21","B","CD8 T","HLA-DQA1","HLA-DQA1","LAG3","LAG3",1.18854044562764,0.822328273891339,1.00543435975949
"22","B","CD8 T","HLA-DQA2","HLA-DQA2","LAG3","LAG3",0.986965967788649,0.822328273891339,0.904647120839994
"23","B","CD8 T","HLA-DQB1","HLA-DQB1","LAG3","LAG3",0.982871949049529,0.822328273891339,0.902600111470434
"24","B","CD8 T","HLA-DQB2","HLA-DQB2","LAG3","LAG3",0.26462282394324,0.822328273891339,0.54347554891729
"25","B","CD8 T","HLA-DRA","HLA-DRA","LAG3","LAG3",1.19722885473265,0.822328273891339,1.009778564312
"26","B","CD8 T","HLA-DRB1","HLA-DRB1","LAG3","LAG3",1.04330190941088,0.822328273891339,0.93281509165111
"27","B","CD8 T","HLA-DRB5","HLA-DRB5","LAG3","LAG3",0.951164131388368,0.822328273891339,0.886746202639854
"28","B","CD8 T","HLA-E","HLA-E","KLRC1_KLRD1","KLRC1",-0.456533997813046,-0.0669805388544327,-0.261757268333739
"29","B","CD8 T","LGALS1","LGALS1","CD69","CD69",-0.460596838299222,-0.287037565180626,-0.373817201739924
"30","B","CD8 T","CD47","CD47","SIRPG","SIRPG",-0.0455568984592878,0.391189671715396,0.172816386628054
"31","NK","B","FASLG","FASLG","FAS","FAS",0.412572643217306,0.0836555942073676,0.248114118712337
"32","NK","B","CD86","CD86","CD28","CD28",0.216944144860765,-0.00746375265448363,0.104740196103141
"33","NK","B","IFNG","IFNG","IFNGR1_IFNGR2","IFNGR1",0.430365584741019,-0.162245133931649,0.134060225404685
"34","NK","B","MIF","MIF","CXCR4","CXCR4",0.256376367151388,-0.131208762765105,0.0625838021931415
"35","NK","B","MIF","MIF","CD74","CD74",0.256376367151388,1.11638110266967,0.686378734910531
"36","NK","B","CD48","CD48","CD2","CD2",-0.293419803188776,-0.57975818134744,-0.436588992268108
"37","NK","B","CD58","CD58","CD2","CD2",0.306783862128591,-0.57975818134744,-0.136487159609424
"38","NK","B","ITGAL_ITGB2","ITGAL","ICAM2","ICAM2",0.144412410890431,0.0887135674169522,0.116562989153691
"39","NK","B","ITGAL_ITGB2","ITGAL","ICAM3","ICAM3",0.144412410890431,0.0850170768506756,0.114714743870553
"40","NK","B","LGALS1","LGALS1","CD69","CD69",0.707555925172064,0.143528083727423,0.425542004449743
"41","NK","B","SEMA4D","SEMA4D","CD72","CD72",-0.0218935989341459,0.485221202294718,0.231663801680286
"42","NK","B","CD160","CD160","TNFRSF14","TNFRSF14",0.208791480246729,-0.00427714246203242,0.102257168892348
"43","NK","NK","IFNG","IFNG","IFNGR1_IFNGR2","IFNGR1",0.430365584741019,-0.0309329284318834,0.199716328154568
"44","NK","NK","MIF","MIF","CXCR4","CXCR4",0.256376367151388,-0.361900193841443,-0.0527619133450275
"45","NK","NK","MIF","MIF","CD74","CD74",0.256376367151388,-0.620946418132034,-0.182285025490323
"46","NK","NK","CD48","CD48","CD2","CD2",-0.293419803188776,-0.0513060240422604,-0.172362913615518
"47","NK","NK","CD48","CD48","CD244","CD244",-0.293419803188776,0.528735496206176,0.1176578465087
"48","NK","NK","CD58","CD58","CD2","CD2",0.306783862128591,-0.0513060240422604,0.127738919043165
"49","NK","NK","HLA-A","HLA-A","KIR3DL2","KIR3DL2",0.510329205732673,0.348584888095529,0.429457046914101
"50","NK","NK","HLA-C","HLA-C","KIR2DL3","KIR2DL3",0.820233658651436,0.423212651268706,0.621723154960071
"51","NK","NK","HLA-E","HLA-E","KLRC1_KLRD1","KLRC1",0.332652105384407,0.494168965949764,0.413410535667085
"52","NK","NK","HMGB1","HMGB1","HAVCR2","HAVCR2",0.263714805649413,0.445374184625011,0.354544495137212
"53","NK","NK","ITGAL_ITGB2","ITGAL","ICAM2","ICAM2",0.144412410890431,-0.00952833936825393,0.0674420357610884
"54","NK","NK","ITGAL_ITGB2","ITGAL","ICAM3","ICAM3",0.144412410890431,-0.0459212925088382,0.0492455591907963
"55","NK","NK","LGALS1","LGALS1","CD69","CD69",0.707555925172064,0.143509481453203,0.425532703312634
"56","NK","NK","CD160","CD160","TNFRSF14","TNFRSF14",0.208791480246729,0.25447356877558,0.231632524511154
"57","NK","CD8 T","FASLG","FASLG","FAS","FAS",0.412572643217306,0.177405475434589,0.294989059325947
"58","NK","CD8 T","CD86","CD86","CD28","CD28",0.216944144860765,0.223545075003835,0.2202446099323
"59","NK","CD8 T","IFNG","IFNG","IFNGR1_IFNGR2","IFNGR1",0.430365584741019,0.193178062363533,0.311771823552276
"60","NK","CD8 T","MIF","MIF","CXCR4","CXCR4",0.256376367151388,0.493108956606549,0.374742661878968
"61","NK","CD8 T","MIF","MIF","CD74","CD74",0.256376367151388,-0.495434684537642,-0.119529158693127
"62","NK","CD8 T","CD48","CD48","CD2","CD2",-0.293419803188776,0.631064205389701,0.168822201100462
"63","NK","CD8 T","CD58","CD58","CD2","CD2",0.306783862128591,0.631064205389701,0.468924033759146
"64","NK","CD8 T","HLA-DPA1","HLA-DPA1","LAG3","LAG3",-0.508509257838365,0.822328273891339,0.156909508026487
"65","NK","CD8 T","HLA-DPB1","HLA-DPB1","LAG3","LAG3",-0.531390561315754,0.822328273891339,0.145468856287792
"66","NK","CD8 T","HLA-DQB1","HLA-DQB1","LAG3","LAG3",-0.559091221361676,0.822328273891339,0.131618526264831
"67","NK","CD8 T","HLA-DRA","HLA-DRA","LAG3","LAG3",-0.625291361088173,0.822328273891339,0.098518456401583
"68","NK","CD8 T","HLA-DRB1","HLA-DRB1","LAG3","LAG3",-0.702712767845731,0.822328273891339,0.059807753022804
