"","source","target","ligand.complex","ligand","receptor.complex","receptor","ligand.log2FC","receptor.log2FC","logfc_comb"
"1","B","B","MIF","MIF","CXCR4","CXCR4",-0.176612533994782,-0.175535087045765,-0.176073810520274
"2","B","B","MIF","MIF","CD74","CD74",-0.176612533994782,0.759961684209605,0.291674575107411
"3","B","B","CD48","CD48","CD2","CD2",0.0194269369127014,-0.851693270588201,-0.41613316683775
"4","B","B","EBI3_IL27","EBI3","IL27RA_IL6ST","IL27RA",0.208457030481577,0,0.104228515240789
"5","B","B","ITGAL_ITGB2","ITGB2","ICAM2","ICAM2",-0.580774089985607,0.116611022281041,-0.232081533852283
"6","B","B","ITGAL_ITGB2","ITGB2","ICAM3","ICAM3",-0.580774089985607,0.113701832585239,-0.233536128700184
"7","B","B","LGALS1","LGALS1","CD69","CD69",-0.584995197683087,0.188925367949632,-0.198034914866728
"8","B","B","SEMA4D","SEMA4D","CD72","CD72",0.0363601748798843,0.409110813928033,0.222735494403959
"9","B","NK","MIF","MIF","CXCR4","CXCR4",-0.176612533994782,-0.371483860019066,-0.274048197006924
"10","B","NK","MIF","MIF","CD74","CD74",-0.176612533994782,-0.4647978392115,-0.320705186603141
"11","B","NK","CD48","CD48","CD2","CD2",0.0194269369127014,-0.0624187382941706,-0.0214959006907346
"12","B","NK","CD48","CD48","CD244","CD244",0.0194269369127014,0.455762275321647,0.237594606117174
"13","B","NK","HLA-A","HLA-A","KIR3DL2","KIR3DL2",-0.184469973538225,0.201832256332134,0.00868114139695476
"14","B","NK","HLA-C","HLA-C","KIR2DL3","KIR2DL3",-0.19891199325898,0.317739100486593,0.0594135536138067
"15","B","NK","HLA-E","HLA-E","KLRC1_KLRD1","KLRC1",-0.177822052664838,0.558005633907807,0.190091790621485
"16","B","NK","HMGB1","HMGB1","HAVCR2","HAVCR2",-0.18186782572473,0.353159843189972,0.0856460087326208
"17","B","NK","ITGAL_ITGB2","ITGB2","ICAM2","ICAM2",-0.580774089985607,-0.0134132620834821,-0.297093676034545
"18","B","NK","ITGAL_ITGB2","ITGB2","ICAM3","ICAM3",-0.580774089985607,-0.0577114181375831,-0.319242754061595
"19","B","NK","LGALS1","LGALS1","CD69","CD69",-0.584995197683087,0.190570763926201,-0.197212216878443
"20","B","NK","LGALS9","LGALS9","HAVCR2","HAVCR2",0.336648546898658,0.353159843189972,0.344904195044315
"21","B","NK","TGFB1","TGFB1","TGFBR1_TGFBR2","TGFBR1",-0.173313903689157,0.263783309505042,0.0452347029079422
"22","B","CD8 T","MIF","MIF","CXCR4","CXCR4",-0.176612533994782,0.481604713071677,0.152496089538447
"23","B","CD8 T","MIF","MIF","CD74","CD74",-0.176612533994782,-0.394773029425745,-0.285692781710264
"24","B","CD8 T","CD48","CD48","CD2","CD2",0.0194269369127014,0.745867517091638,0.38264722700217
"25","B","CD8 T","HLA-DPA1","HLA-DPA1","LAG3","LAG3",1.13842210228539,0.890299917980656,1.01436101013302
"26","B","CD8 T","HLA-DPB1","HLA-DPB1","LAG3","LAG3",1.1287448966548,0.890299917980656,1.00952240731773
"27","B","CD8 T","HLA-DQA1","HLA-DQA1","LAG3","LAG3",1.4995732487878,0.890299917980656,1.19493658338423
"28","B","CD8 T","HLA-DQA2","HLA-DQA2","LAG3","LAG3",1.11457667228786,0.890299917980656,1.00243829513426
"29","B","CD8 T","HLA-DQB1","HLA-DQB1","LAG3","LAG3",1.18838989839235,0.890299917980656,1.0393449081865
"30","B","CD8 T","HLA-DQB2","HLA-DQB2","LAG3","LAG3",0.145854799014336,0.890299917980656,0.518077358497496
"31","B","CD8 T","HLA-DRA","HLA-DRA","LAG3","LAG3",1.58461064469494,0.890299917980656,1.2374552813378
"32","B","CD8 T","HLA-DRB1","HLA-DRB1","LAG3","LAG3",1.22189143134727,0.890299917980656,1.05609567466396
"33","B","CD8 T","HLA-DRB5","HLA-DRB5","LAG3","LAG3",1.09255165141891,0.890299917980656,0.991425784699785
"34","B","CD8 T","HLA-E","HLA-E","KLRC1_KLRD1","KLRC1",-0.177822052664838,-0.0786340946713661,-0.128228073668102
"35","B","CD8 T","EBI3_IL27","EBI3","IL27RA_IL6ST","IL27RA",0.208457030481577,0,0.104228515240789
"36","B","CD8 T","ITGAL_ITGB2","ITGB2","ICAM2","ICAM2",-0.580774089985607,-0.104408049834994,-0.342591069910301
"37","B","CD8 T","ITGAL_ITGB2","ITGB2","ICAM3","ICAM3",-0.580774089985607,-0.0594268141464078,-0.320100452066007
"38","B","CD8 T","LGALS1","LGALS1","CD69","CD69",-0.584995197683087,-0.393522675364215,-0.489258936523651
"39","B","CD8 T","TGFB1","TGFB1","TGFBR1_TGFBR2","TGFBR2",-0.173313903689157,0.180670334136607,0.00367821522372494
"40","B","CD8 T","CD47","CD47","SIRPG","SIRPG",-0.0169627946074863,0.348747856088563,0.165892530740539
"41","NK","B","FASLG","FASLG","FAS","FAS",0.294663851828787,0.0470672302387282,0.170865541033758
