"","source","target","ligand.complex","ligand","receptor.complex","receptor","ligand.expr","receptor.expr","ligand.sum","receptor.sum","edge_specificity"
"1","B","B","MIF","MIF","CXCR4","CXCR4",0.910488685785623,1.32766130682417,3.25077398115297,4.41371926420569,0.0842500894180465
"2","B","B","MIF","MIF","CD74","CD74",0.910488685785623,4.53114927048177,3.25077398115297,9.07811013663448,0.139797917005679
"3","B","B","CD48","CD48","CD2","CD2",1.54599795581421,0.163910940299779,4.50213612228954,2.35468256057391,0.0239037406377987
"4","B","B","EBI3_IL27","EBI3","IL27RA_IL6ST","IL27RA",0.162130281769887,0,0.162130281769887,0,0
"5","B","B","ITGAL_ITGB2","ITGB2","ICAM2","ICAM2",0.760072642284877,0.534134895138124,4.0705488221705,1.40033817734311,0.0712229823792638
"6","B","B","ITGAL_ITGB2","ITGB2","ICAM3","ICAM3",0.760072642284877,0.954335724036847,4.0705488221705,2.63739104504272,0.06756608994076
"7","B","B","LGALS1","LGALS1","CD69","CD69",0.611329574820841,1.0644346189095,3.58829065224662,2.77880948852945,0.0652601414004914
"8","B","B","SEMA4D","SEMA4D","CD72","CD72",0.223094502642178,0.377493402303649,0.637662063556706,0.424863534719512,0.310855242580462
"9","B","NK","MIF","MIF","CXCR4","CXCR4",0.910488685785623,1.07522147794157,3.25077398115297,4.41371926420569,0.0682308847860236
"10","B","NK","MIF","MIF","CD74","CD74",0.910488685785623,2.18887254872958,3.25077398115297,9.07811013663448,0.0675324966442282
"11","B","NK","CD48","CD48","CD2","CD2",1.54599795581421,0.729939927646468,4.50213612228954,2.35468256057391,0.106449848190263
"12","B","NK","CD48","CD48","CD244","CD244",1.54599795581421,0.387601899198962,4.50213612228954,0.426923892372515,0.311763831069842
"13","B","NK","HLA-A","HLA-A","KIR3DL2","KIR3DL2",3.2691842147084,0.182113235170343,10.9694958864466,0.221435228343895,0.245102374586971
"14","B","NK","HLA-C","HLA-C","KIR2DL3","KIR2DL3",3.48661807632961,0.258151009290912,11.7154620395393,0.258151009290912,0.29760824323978
"15","B","NK","HLA-E","HLA-E","KLRC1_KLRD1","KLRC1",2.49940506611986,0.642471081440022,8.43554965618277,0.893647392878193,0.213015227857588
"16","B","NK","HMGB1","HMGB1","HAVCR2","HAVCR2",1.38480218778058,0.320318092325787,4.86012530898669,0.377182608105251,0.241974769187274
"17","B","NK","ITGAL_ITGB2","ITGB2","ICAM2","ICAM2",0.760072642284877,0.459545030143938,4.0705488221705,1.40033817734311,0.0612769693243055
"18","B","NK","ITGAL_ITGB2","ITGB2","ICAM3","ICAM3",0.760072642284877,0.838508767564103,4.0705488221705,2.63739104504272,0.0593656481449756
"19","B","NK","LGALS1","LGALS1","CD69","CD69",0.611329574820841,1.06441671175688,3.58829065224662,2.77880948852945,0.06525904351877
"20","B","NK","LGALS9","LGALS9","HAVCR2","HAVCR2",0.374319606450614,0.320318092325787,0.534913018137517,0.377182608105251,0.594277405031093
"21","B","NK","TGFB1","TGFB1","TGFBR1_TGFBR2","TGFBR1",0.415304167091577,0.234552940157019,1.6229445508379,0.275940460753103,0.217514444680576
"22","B","CD8 T","MIF","MIF","CXCR4","CXCR4",0.910488685785623,2.01083647943994,3.25077398115297,4.41371926420569,0.127602689275572
"23","B","CD8 T","MIF","MIF","CD74","CD74",0.910488685785623,2.35808831742312,3.25077398115297,9.07811013663448,0.0727532498297344
"24","B","CD8 T","CD48","CD48","CD2","CD2",1.54599795581421,1.46083169262766,4.50213612228954,2.35468256057391,0.213038506350971
"25","B","CD8 T","HLA-DPA1","HLA-DPA1","LAG3","LAG3",2.82226516207321,0.792108112481271,4.34605710820988,0.792108112481271,0.64938519945857
"26","B","CD8 T","HLA-DPB1","HLA-DPB1","LAG3","LAG3",3.22773530291667,0.792108112481271,5.17604022190928,0.792108112481271,0.623591619179122
"27","B","CD8 T","HLA-DQA1","HLA-DQA1","LAG3","LAG3",2.21652322870323,0.792108112481271,2.47781434745095,0.792108112481271,0.894547741635075
"28","B","CD8 T","HLA-DQA2","HLA-DQA2","LAG3","LAG3",1.26938854556186,0.792108112481271,1.31334893477344,0.792108112481271,0.96652802005039
"29","B","CD8 T","HLA-DQB1","HLA-DQB1","LAG3","LAG3",1.77304458323363,0.792108112481271,2.19225393075134,0.792108112481271,0.808777011806274
"30","B","CD8 T","HLA-DQB2","HLA-DQB2","LAG3","LAG3",0.127461984229145,0.792108112481271,0.17098595250185,0.792108112481271,0.74545295893688
"31","B","CD8 T","HLA-DRA","HLA-DRA","LAG3","LAG3",3.92508399703639,0.792108112481271,5.32278968220101,0.792108112481271,0.737411062879595
"32","B","CD8 T","HLA-DRB1","HLA-DRB1","LAG3","LAG3",2.77326809792569,0.792108112481271,4.06662679828199,0.792108112481271,0.681957857332102
"33","B","CD8 T","HLA-DRB5","HLA-DRB5","LAG3","LAG3",1.88372109915287,0.792108112481271,2.60370128361968,0.792108112481271,0.723478192757237
"34","B","CD8 T","HLA-E","HLA-E","KLRC1_KLRD1","KLRC1",2.49940506611986,0.251176311438171,8.43554965618277,0.893647392878193,0.0832790467292425
"35","B","CD8 T","EBI3_IL27","EBI3","IL27RA_IL6ST","IL27RA",0.162130281769887,0,0.162130281769887,0,0
"36","B","CD8 T","ITGAL_ITGB2","ITGB2","ICAM2","ICAM2",0.760072642284877,0.406658252061046,4.0705488221705,1.40033817734311,0.0542249042040894
"37","B","CD8 T","ITGAL_ITGB2","ITGB2","ICAM3","ICAM3",0.760072642284877,0.84454655344177,4.0705488221705,2.63739104504272,0.0597931178219231
"38","B","CD8 T","LGALS1","LGALS1","CD69","CD69",0.611329574820841,0.649958157863072,3.58829065224662,2.77880948852945,0.0398487239451138
"39","B","CD8 T","TGFB1","TGFB1","TGFBR1_TGFBR2","TGFBR2",0.415304167091577,0.21085677859872,1.6229445508379,0.340865791012027,0.158294839158179
"40","B","CD8 T","CD47","CD47","SIRPG","SIRPG",0.660883773505572,0.326672902590348,2.09700906244065,0.370848506990522,0.277613996391558
"41","NK","B","FASLG","FASLG","FAS","FAS",0.27283150035115,0.117997956108831,0.310252968003089,0.268086888751053,0.387059273087177
"42","NK","B","CD86","CD86","CD28","CD28",0.152487467483942,0.116665254727136,0.239627474793214,0.358743595965501,0.206944990089361
"43","NK","B","MIF","MIF","CXCR4","CXCR4",1.31632677078381,1.32766130682417,3.25077398115297,4.41371926420569,0.121803433555259
"44","NK","B","MIF","MIF","CD74","CD74",1.31632677078381,4.53114927048177,3.25077398115297,9.07811013663448,0.202110958134098
"45","NK","B","CD48","CD48","CD2","CD2",1.2284932202849,0.163910940299779,4.50213612228954,2.35468256057391,0.018994580945302
"46","NK","B","CD58","CD58","CD2","CD2",0.207224324885753,0.163910940299779,0.286243023484105,2.35468256057391,0.0503942977061442
"47","NK","B","ITGAL_ITGB2","ITGAL","ICAM2","ICAM2",0.251222995315255,0.534134895138124,0.540790813749418,1.40033817734311,0.177193630288325
"48","NK","B","ITGAL_ITGB2","ITGAL","ICAM3","ICAM3",0.251222995315255,0.954335724036847,0.540790813749418,2.63739104504272,0.16809575169484
"49","NK","B","LGALS1","LGALS1","CD69","CD69",2.09439999888998,1.0644346189095,3.58829065224662,2.77880948852945,0.223579629885901
"50","NK","B","SEMA4D","SEMA4D","CD72","CD72",0.200966848869355,0.377493402303649,0.637662063556706,0.424863534719512,0.280023029774574
"51","NK","B","CD160","CD160","TNFRSF14","TNFRSF14",0.392220447314644,0.471659436820677,0.745843228973611,1.42424198872633,0.174151581247213
"52","NK","NK","IFNG","IFNG","IFNGR1_IFNGR2","IFNGR2",0.470846318282549,0.160541608425798,0.649301528450821,0.433472873820884,0.268570580793514
"53","NK","NK","MIF","MIF","CXCR4","CXCR4",1.31632677078381,1.07522147794157,3.25077398115297,4.41371926420569,0.0986438839276859
"54","NK","NK","MIF","MIF","CD74","CD74",1.31632677078381,2.18887254872958,3.25077398115297,9.07811013663448,0.0976341986654797
"55","NK","NK","CD48","CD48","CD2","CD2",1.2284932202849,0.729939927646468,4.50213612228954,2.35468256057391,0.0845880269830131
"56","NK","NK","CD48","CD48","CD244","CD244",1.2284932202849,0.387601899198962,4.50213612228954,0.426923892372515,0.247736260813902
"57","NK","NK","CD58","CD58","CD2","CD2",0.207224324885753,0.729939927646468,0.286243023484105,2.35468256057391,0.22441949240326
