"","source","ligand","target","receptor","aggregate_rank","mean_rank","median_rank","natmi.edge_specificity","natmi.rank","sca.LRscore","sca.rank","logfc.logfc_comb","logfc.rank","connectome.weight_sc","connectome.rank"
"1","B","HLA-DRA","CD8 T","LAG3",7.30776167071755e-06,2.75,2.5,0.737411062879595,5,0.898560603847684,4,1.2374552813378,1,1.009778564312,1
"2","B","HLA-DQA1","CD8 T","LAG3",5.03241699692292e-05,7.5,2,0.894547741635075,2,0.869393705705554,24,1.19493658338423,2,1.00543435975949,2
"3","B","HLA-DPB1","CD8 T","LAG3",7.67139589145245e-05,7,7,0.623591619179122,9,0.889291958415953,8,1.00952240731773,6,0.918129634672993,5
"4","B","HLA-DPA1","CD8 T","LAG3",0.000333947169723782,7.5,6.5,0.64938519945857,8,0.882509144527843,13,1.01436101013302,5,0.92995219756343,4
"5","B","HLA-DRB1","CD8 T","LAG3",0.000766274350163432,7.25,5,0.681957857332102,7,0.881598146810026,16,1.05609567466396,3,0.93281509165111,3
"6","B","HLA-DQA2","CD8 T","LAG3",0.00209749129335736,13,6.5,0.96652802005039,1,0.834368042900532,38,1.00243829513426,7,0.904647120839994,6
"7","B","HLA-DQB1","CD8 T","LAG3",0.00209749129335736,10.75,5.5,0.808777011806274,3,0.856188583556257,29,1.0393449081865,4,0.902600111470434,7
"8","B","HLA-DRB5","CD8 T","LAG3",0.00311298954753894,12.25,8,0.723478192757237,6,0.859876344201412,27,0.991425784699785,8,0.886746202639854,8
"9","CD8 T","LGALS3","CD8 T","LAG3",0.0079524933287736,26.75,10.5,0.611671055876341,10,0.731807810281419,77,0.595099561864251,9,0.569809457168014,11
"10","B","HLA-DQB2","CD8 T","LAG3",0.0102638857293375,34.25,11,0.74545295893688,4,0.61483217107663,111,0.518077358497496,10,0.54347554891729,12
"11","NK","MIF","B","CD74",0.0129725631315777,18.75,11,0.202110958134098,52,0.92463651255082,1,0.487060108036773,13,0.686378734910531,9
"12","NK","HLA-E","NK","KLRC1",0.015625,24.25,21.5,0.259046569971877,34,0.875315643702142,20,0.341401571494236,23,0.413410535667085,20
"13","NK","CD58","CD8 T","CD2",0.0161061664132374,29.5,14,0.449131626493074,14,0.734328074122931,76,0.478949591904913,14,0.468924033759146,14
"14","NK","HLA-C","NK","KIR2DL3",0.0175459357713928,24,25.5,0.367310296646233,17,0.841141063949268,35,0.235904837965546,34,0.621723154960071,10
"15","CD8 T","HLA-E","NK","KLRC1",0.0219134750728859,28.5,28,0.246869501651864,37,0.872664425435823,21,0.301143609128238,27,0.309025429189201,29
"16","CD8 T","CD48","CD8 T","CD2",0.0237545048550664,20.25,15.5,0.238069460219546,41,0.888652466272176,9,0.47816034614288,15,0.437835564906849,16
"17","NK","LGALS1","B","CD69",0.0334131909938818,21.75,16,0.223579629885901,43,0.882365383335376,14,0.50543869184347,12,0.425542004449743,18
"18","NK","LGALS1","NK","CD69",0.0390565719437327,22.25,17,0.223575868570286,44,0.882364510230926,15,0.506261389831755,11,0.425532703312634,19
"19","CD8 T","MIF","B","CD74",0.0452730451024293,25.25,16.5,0.157220261022213,66,0.915405141291405,2,0.357571256735106,20,0.525345444000836,13
"20","CD8 T","HLA-C","NK","KIR2DL3",0.0523522901425989,35.75,37.5,0.335081460113987,22,0.834909028445157,37,0.176216491299998,46,0.23270698156816,38
"21","B","LGALS9","NK","HAVCR2",0.0595114177871434,39,21.5,0.594277405031093,11,0.634976075689551,102,0.344904195044315,22,0.41160517650842,21
"22","B","CD48","CD8 T","CD2",0.062068222363238,25.75,22,0.213038506350971,48,0.883036561648679,11,0.38264722700217,17,0.339938542077241,27
"23","NK","MIF","CD8 T","CXCR4",0.0675742875481915,26.5,22,0.184479871677385,55,0.890987261389226,7,0.347881622467809,21,0.374742661878968,23
"24","CD8 T","HLA-DRB1","CD8 T","LAG3",0.0730776167071755,43.75,44,0.219523777071381,45,0.808593720675947,50,0.191877779045988,43,0.240869566163095,37
"25","NK","HLA-A","NK","KIR3DL2",0.0791015625,36.25,38.5,0.293904241066393,28,0.809330126596413,49,0.153203286019249,51,0.429457046914101,17
"26","CD8 T","CD48","NK","CD244",0.0854904754492882,30,23.5,0.348394514447537,21,0.804342387242528,52,0.333107725257884,25,0.386671210315087,22
"27","NK","CD47","CD8 T","SIRPG",0.0957657729792507,34.75,25,0.404952941044915,15,0.738164537073488,74,0.340122890381763,24,0.353960745611597,26
"28","NK","IFNG","CD8 T","IFNGR1",0.118069108367955,42.75,27,0.358564665699609,19,0.658411033723416,98,0.311795101764236,26,0.311771823552276,28
"29","CD8 T","HLA-A","NK","KIR3DL2",0.12342518320617,42,41,0.283415527979157,29,0.806510463773468,51,0.135830947786091,57,0.29403848654359,31
"30","B","MIF","B","CD74",0.13032104435187,31,22,0.139797917005679,77,0.910745230281221,3,0.291674575107411,29,0.462847475093143,15
"31","NK","HLA-DPA1","CD8 T","LAG3",0.132317209145005,55.5,56.5,0.178438384815823,58,0.797463716879408,58,0.145255544165699,55,0.156909508026487,51
"32","B","CD48","NK","CD244",0.141681258025676,37,32.5,0.311763831069842,24,0.795453002337013,59,0.237594606117174,33,0.288774187485478,32
"33","NK","HMGB1","NK","HAVCR2",0.143325668095449,34.5,27.5,0.32559544808163,23,0.795131111551444,60,0.268313379730202,30,0.354544495137212,25
"34","CD8 T","HLA-DPB1","CD8 T","LAG3",0.184190215353773,52.5,51.5,0.19519635962179,54,0.817989374099454,44,0.110509394670765,63,0.169893919876223,49
"35","NK","CD48","CD8 T","CD2",0.184190215353773,42,41,0.169286356251329,63,0.870632705910604,23,0.245172397804386,32,0.168822201100462,50
"36","NK","HLA-DPB1","CD8 T","LAG3",0.196166233641839,55.25,55.5,0.181212021199088,56,0.812389992566972,46,0.110269255804843,64,0.145468856287792,55
"37","CD8 T","HMGB1","NK","HAVCR2",0.208716981077364,46,44.5,0.281668547834506,30,0.783074607911644,65,0.171859548814309,47,0.218310933832979,42
"38","NK","LGALS3","CD8 T","LAG3",0.237847367727877,45.25,30,0.24736226782677,36,0.634400901793497,103,0.380637185824258,18,0.362162847819157,24
"39","NK","CD48","NK","CD244",0.25,58,64.5,0.247736260813902,35,0.776115904490138,67,0.10011977691939,68,0.1176578465087,62
"40","B","SEMA4D","B","CD72",0.25644688396107,52.5,35.5,0.310855242580462,25,0.593146061972944,114,0.222735494403959,37,0.25256855582716,34
"41","CD8 T","HLA-DRB5","CD8 T","LAG3",0.265033468846907,47,43,0.210580650644735,50,0.76801961661515,69,0.230616406452434,36,0.261530038245125,33
"42","B","HMGB1","NK","HAVCR2",0.280734972342285,61.75,68.5,0.241974769187274,40,0.769896293852821,68,0.0856460087326208,69,0.095205847967325,70
"43","NK","TGFB1","NK","TGFBR1",0.282372098035225,61.5,50.5,0.488097893071809,13,0.701381217092248,85,0.400198477376335,16,NA,132
"44","CD8 T","HLA-DPA1","CD8 T","LAG3",0.314220375713892,62.25,61.5,0.172176415725607,61,0.794563418444173,62,0.0706654338622865,72,0.146630705247091,54
"45","NK","CD160","NK","TNFRSF14",0.317285473114546,48.25,39.5,0.243126141265205,39,0.718549891247097,79,0.233775016865179,35,0.231632524511154,40
"46","NK","SEMA4D","B","CD72",0.339264191883628,56.75,40,0.280023029774574,31,0.580483540124322,116,0.203852249477157,41,0.231663801680286,39
"47","NK","FASLG","CD8 T","FAS",0.362099988326289,51.5,36,0.492324740890841,12,0.504113245451463,122,0.196563892252739,42,0.294989059325947,30
