"","source","target","ligand.complex","ligand","receptor.complex","receptor","ligand.expr","receptor.expr","global_mean","LRscore"
"1","B","B","MIF","MIF","CXCR4","CXCR4",0.910488685785623,1.32766130682417,0.199056328661466,0.846705239533711
"2","B","B","MIF","MIF","CD74","CD74",0.910488685785623,4.53114927048177,0.199056328661466,0.910745230281221
"3","B","B","CD48","CD48","CD2","CD2",1.54599795581421,0.163910940299779,0.199056328661466,0.716625943167185
"4","B","B","EBI3_IL27","EBI3","IL27RA_IL6ST","IL27RA",0.162130281769887,0,0.199056328661466,0
"5","B","B","ITGAL_ITGB2","ITGB2","ICAM2","ICAM2",0.760072642284877,0.534134895138124,0.199056328661466,0.761957830326967
"6","B","B","ITGAL_ITGB2","ITGB2","ICAM3","ICAM3",0.760072642284877,0.954335724036847,0.199056328661466,0.810555993431426
"7","B","B","LGALS1","LGALS1","CD69","CD69",0.611329574820841,1.0644346189095,0.199056328661466,0.802077515801774
"8","B","B","SEMA4D","SEMA4D","CD72","CD72",0.223094502642178,0.377493402303649,0.199056328661466,0.593146061972944
"9","B","NK","MIF","MIF","CXCR4","CXCR4",0.910488685785623,1.07522147794157,0.199056328661466,0.832513106628476
"10","B","NK","MIF","MIF","CD74","CD74",0.910488685785623,2.18887254872958,0.199056328661466,0.87642185430584
"11","B","NK","CD48","CD48","CD2","CD2",1.54599795581421,0.729939927646468,0.199056328661466,0.842188918923412
"12","B","NK","CD48","CD48","CD244","CD244",1.54599795581421,0.387601899198962,0.199056328661466,0.795453002337013
"13","B","NK","HLA-A","HLA-A","KIR3DL2","KIR3DL2",3.2691842147084,0.182113235170343,0.199056328661466,0.794925385221463
"14","B","NK","HLA-C","HLA-C","KIR2DL3","KIR2DL3",3.48661807632961,0.258151009290912,0.199056328661466,0.82657254093445
"15","B","NK","HLA-E","HLA-E","KLRC1_KLRD1","KLRC1",2.49940506611986,0.642471081440022,0.199056328661466,0.864241780730991
"16","B","NK","HMGB1","HMGB1","HAVCR2","HAVCR2",1.38480218778058,0.320318092325787,0.199056328661466,0.769896293852821
"17","B","NK","ITGAL_ITGB2","ITGB2","ICAM2","ICAM2",0.760072642284877,0.459545030143938,0.199056328661466,0.748049710525832
"18","B","NK","ITGAL_ITGB2","ITGB2","ICAM3","ICAM3",0.760072642284877,0.838508767564103,0.199056328661466,0.800421637305175
"19","B","NK","LGALS1","LGALS1","CD69","CD69",0.611329574820841,1.06441671175688,0.199056328661466,0.802076180455864
"20","B","NK","LGALS9","LGALS9","HAVCR2","HAVCR2",0.374319606450614,0.320318092325787,0.199056328661466,0.634976075689551
"21","B","NK","TGFB1","TGFB1","TGFBR1_TGFBR2","TGFBR1",0.415304167091577,0.234552940157019,0.199056328661466,0.610581791986968
"22","B","CD8 T","MIF","MIF","CXCR4","CXCR4",0.910488685785623,2.01083647943994,0.199056328661466,0.871753882639508
"23","B","CD8 T","MIF","MIF","CD74","CD74",0.910488685785623,2.35808831742312,0.199056328661466,0.880398173351262
"24","B","CD8 T","CD48","CD48","CD2","CD2",1.54599795581421,1.46083169262766,0.199056328661466,0.883036561648679
"25","B","CD8 T","HLA-DPA1","HLA-DPA1","LAG3","LAG3",2.82226516207321,0.792108112481271,0.199056328661466,0.882509144527843
"26","B","CD8 T","HLA-DPB1","HLA-DPB1","LAG3","LAG3",3.22773530291667,0.792108112481271,0.199056328661466,0.889291958415953
"27","B","CD8 T","HLA-DQA1","HLA-DQA1","LAG3","LAG3",2.21652322870323,0.792108112481271,0.199056328661466,0.869393705705554
"28","B","CD8 T","HLA-DQA2","HLA-DQA2","LAG3","LAG3",1.26938854556186,0.792108112481271,0.199056328661466,0.834368042900532
"29","B","CD8 T","HLA-DQB1","HLA-DQB1","LAG3","LAG3",1.77304458323363,0.792108112481271,0.199056328661466,0.856188583556257
"30","B","CD8 T","HLA-DQB2","HLA-DQB2","LAG3","LAG3",0.127461984229145,0.792108112481271,0.199056328661466,0.61483217107663
"31","B","CD8 T","HLA-DRA","HLA-DRA","LAG3","LAG3",3.92508399703639,0.792108112481271,0.199056328661466,0.898560603847684
"32","B","CD8 T","HLA-DRB1","HLA-DRB1","LAG3","LAG3",2.77326809792569,0.792108112481271,0.199056328661466,0.881598146810026
"33","B","CD8 T","HLA-DRB5","HLA-DRB5","LAG3","LAG3",1.88372109915287,0.792108112481271,0.199056328661466,0.859876344201412
"34","B","CD8 T","HLA-E","HLA-E","KLRC1_KLRD1","KLRC1",2.49940506611986,0.251176311438171,0.199056328661466,0.799214745397518
"35","B","CD8 T","EBI3_IL27","EBI3","IL27RA_IL6ST","IL27RA",0.162130281769887,0,0.199056328661466,0
"36","B","CD8 T","ITGAL_ITGB2","ITGB2","ICAM2","ICAM2",0.760072642284877,0.406658252061046,0.199056328661466,0.736354398666199
"37","B","CD8 T","ITGAL_ITGB2","ITGB2","ICAM3","ICAM3",0.760072642284877,0.84454655344177,0.199056328661466,0.800994097358458
"38","B","CD8 T","LGALS1","LGALS1","CD69","CD69",0.611329574820841,0.649958157863072,0.199056328661466,0.76000086621214
"39","B","CD8 T","TGFB1","TGFB1","TGFBR1_TGFBR2","TGFBR2",0.415304167091577,0.21085677859872,0.199056328661466,0.597848216106669
"40","B","CD8 T","CD47","CD47","SIRPG","SIRPG",0.660883773505572,0.326672902590348,0.199056328661466,0.700080419126572
"41","NK","B","FASLG","FASLG","FAS","FAS",0.27283150035115,0.117997956108831,0.199056328661466,0.474066543608995
"42","NK","B","CD86","CD86","CD28","CD28",0.152487467483942,0.116665254727136,0.199056328661466,0.401218099949677
"43","NK","B","IFNG","IFNG","IFNGR1_IFNGR2","IFNGR1",0.470846318282549,0.125198274575497,0.199056328661466,0.549494225860438
"44","NK","B","MIF","MIF","CXCR4","CXCR4",1.31632677078381,1.32766130682417,0.199056328661466,0.869131277531388
"45","NK","B","MIF","MIF","CD74","CD74",1.31632677078381,4.53114927048177,0.199056328661466,0.92463651255082
"46","NK","B","CD48","CD48","CD2","CD2",1.2284932202849,0.163910940299779,0.199056328661466,0.692715554834196
"47","NK","B","CD58","CD58","CD2","CD2",0.207224324885753,0.163910940299779,0.199056328661466,0.480753195880698
"48","NK","B","ITGAL_ITGB2","ITGAL","ICAM2","ICAM2",0.251222995315255,0.534134895138124,0.199056328661466,0.647919553629352
"49","NK","B","ITGAL_ITGB2","ITGAL","ICAM3","ICAM3",0.251222995315255,0.954335724036847,0.199056328661466,0.710968080243627
"50","NK","B","LGALS1","LGALS1","CD69","CD69",2.09439999888998,1.0644346189095,0.199056328661466,0.882365383335376
"51","NK","B","SEMA4D","SEMA4D","CD72","CD72",0.200966848869355,0.377493402303649,0.199056328661466,0.580483540124322
