"","source","target","ligand.complex","ligand","receptor.complex","receptor","ligand.scaled","receptor.scaled","weight_sc"
"1","B","B","MIF","MIF","CD74","CD74",-0.190686152483387,1.11638110266967,0.462847475093143
"2","B","B","ANP32B","ANP32B","TNFRSF17","TNFRSF17",0.181747093725074,0.500586807392115,0.341166950558595
"3","B","NK","TGFB1","TGFB1","TGFBR1","TGFBR1",-0.163998073903803,0.353414029386622,0.0947079777414095
"4","B","NK","MIF","MIF","CD74","CD74",-0.190686152483387,-0.620946418132034,-0.405816285307711
"5","B","CD8 T","MIF","MIF","CD74","CD74",-0.190686152483387,-0.495434684537642,-0.343060418510515
"6","NK","B","FASLG","FASLG","FAS","FAS",0.412572643217306,0.0836555942073676,0.248114118712337
"7","NK","B","MIF","MIF","CD74","CD74",0.256376367151388,1.11638110266967,0.686378734910531
"8","NK","B","ANP32B","ANP32B","TNFRSF17","TNFRSF17",-0.169712026159085,0.500586807392115,0.165437390616515
"9","NK","NK","TGFB1","TGFB1","TGFBR1","TGFBR1",0.51015907840825,0.353414029386622,0.431786553897436
"10","NK","NK","MIF","MIF","CD74","CD74",0.256376367151388,-0.620946418132034,-0.182285025490323
"11","NK","CD8 T","FASLG","FASLG","FAS","FAS",0.412572643217306,0.177405475434589,0.294989059325947
"12","NK","CD8 T","MIF","MIF","CD74","CD74",0.256376367151388,-0.495434684537642,-0.119529158693127
"13","CD8 T","B","MIF","MIF","CD74","CD74",-0.0656902146680009,1.11638110266967,0.525345444000836
"14","CD8 T","B","ANP32B","ANP32B","TNFRSF17","TNFRSF17",-0.01203506756599,0.500586807392115,0.244275869913063
"15","CD8 T","NK","TGFB1","TGFB1","TGFBR1","TGFBR1",-0.346161004504446,0.353414029386622,0.00362651244108805
"16","CD8 T","NK","MIF","MIF","CD74","CD74",-0.0656902146680009,-0.620946418132034,-0.343318316400017
"17","CD8 T","CD8 T","MIF","MIF","CD74","CD74",-0.0656902146680009,-0.495434684537642,-0.280562449602821
