"","source","target","ligand.complex","ligand","receptor.complex","receptor","ligand.log2FC","receptor.log2FC","logfc_comb"
"1","B","B","MIF","MIF","CD74","CD74",-0.189679681932015,0.782893538873362,0.296606928470673
"2","B","B","ANP32B","ANP32B","TNFRSF17","TNFRSF17",0.182559575924956,0.479054819427764,0.33080719767636
"3","B","NK","TGFB1","TGFB1","TGFBR1","TGFBR1",-0.157716099279078,0.225015934696007,0.0336499177084644
"4","B","NK","MIF","MIF","CD74","CD74",-0.189679681932015,-0.543397007281551,-0.366538344606783
"5","B","CD8 T","MIF","MIF","CD74","CD74",-0.189679681932015,-0.501341336026886,-0.34551050897945
"6","NK","B","FASLG","FASLG","FAS","FAS",0.258277714647057,0.0361058708411026,0.14719179274408
"7","NK","B","MIF","MIF","CD74","CD74",0.285969608183781,0.782893538873362,0.534431573528571
"8","NK","B","ANP32B","ANP32B","TNFRSF17","TNFRSF17",-0.158548553789524,0.479054819427764,0.16025313281912
"9","NK","NK","TGFB1","TGFB1","TGFBR1","TGFBR1",0.524601210353149,0.225015934696007,0.374808572524578
"10","NK","NK","MIF","MIF","CD74","CD74",0.285969608183781,-0.543397007281551,-0.128713699548885
"11","NK","CD8 T","FASLG","FASLG","FAS","FAS",0.258277714647057,0.105351492013348,0.181814603330202
"12","NK","CD8 T","MIF","MIF","CD74","CD74",0.285969608183781,-0.501341336026886,-0.107685863921552
"13","CD8 T","B","MIF","MIF","CD74","CD74",-0.107240252263196,0.782893538873362,0.337826643305083
"14","CD8 T","B","ANP32B","ANP32B","TNFRSF17","TNFRSF17",-0.0866726603194672,0.479054819427764,0.196191079554148
"15","CD8 T","NK","TGFB1","TGFB1","TGFBR1","TGFBR1",-0.398400966419865,0.225015934696007,-0.086692515861929
"16","CD8 T","NK","MIF","MIF","CD74","CD74",-0.107240252263196,-0.543397007281551,-0.325318629772373
"17","CD8 T","CD8 T","MIF","MIF","CD74","CD74",-0.107240252263196,-0.501341336026886,-0.304290794145041
