"","source","target","ligand.complex","ligand","receptor.complex","receptor","ligand.expr","receptor.expr","ligand.sum","receptor.sum","edge_specificity"
"1","B","B","MIF","MIF","CD74","CD74",0.910488685785623,4.53114927048177,3.25077398115297,9.07811013663448,0.139797917005679
"2","B","B","ANP32B","ANP32B","TNFRSF17","TNFRSF17",0.972449944693298,0.404739324486022,2.457436999162,0.404739324486022,0.395717141487212
"3","B","NK","TGFB1","TGFB1","TGFBR1","TGFBR1",0.415304167091577,0.234552940157019,1.6229445508379,0.275940460753103,0.217514444680576
"4","B","NK","MIF","MIF","CD74","CD74",0.910488685785623,2.18887254872958,3.25077398115297,9.07811013663448,0.0675324966442282
"5","B","CD8 T","MIF","MIF","CD74","CD74",0.910488685785623,2.35808831742312,3.25077398115297,9.07811013663448,0.0727532498297344
"6","NK","B","FASLG","FASLG","FAS","FAS",0.27283150035115,0.117997956108831,0.310252968003089,0.268086888751053,0.387059273087177
"7","NK","B","MIF","MIF","CD74","CD74",1.31632677078381,4.53114927048177,3.25077398115297,9.07811013663448,0.202110958134098
"8","NK","B","ANP32B","ANP32B","TNFRSF17","TNFRSF17",0.675993007619002,0.404739324486022,2.457436999162,0.404739324486022,0.275080503731945
"9","NK","NK","TGFB1","TGFB1","TGFBR1","TGFBR1",0.931933919326705,0.234552940157019,1.6229445508379,0.275940460753103,0.488097893071809
"10","NK","NK","MIF","MIF","CD74","CD74",1.31632677078381,2.18887254872958,3.25077398115297,9.07811013663448,0.0976341986654797
"11","NK","CD8 T","FASLG","FASLG","FAS","FAS",0.27283150035115,0.150088932642222,0.310252968003089,0.268086888751053,0.492324740890841
"12","NK","CD8 T","MIF","MIF","CD74","CD74",1.31632677078381,2.35808831742312,3.25077398115297,9.07811013663448,0.105182032360752
"13","CD8 T","B","MIF","MIF","CD74","CD74",1.02395852458354,4.53114927048177,3.25077398115297,9.07811013663448,0.157220261022213
"14","CD8 T","B","ANP32B","ANP32B","TNFRSF17","TNFRSF17",0.8089940468497,0.404739324486022,2.457436999162,0.404739324486022,0.329202354780843
"15","CD8 T","NK","TGFB1","TGFB1","TGFBR1","TGFBR1",0.275706464419614,0.234552940157019,1.6229445508379,0.275940460753103,0.14440052196696
"16","CD8 T","NK","MIF","MIF","CD74","CD74",1.02395852458354,2.18887254872958,3.25077398115297,9.07811013663448,0.0759487478590682
"17","CD8 T","CD8 T","MIF","MIF","CD74","CD74",1.02395852458354,2.35808831742312,3.25077398115297,9.07811013663448,0.0818201384787475
