"","source","ligand","target","receptor","aggregate_rank","mean_rank","median_rank","natmi.edge_specificity","natmi.rank","sca.LRscore","sca.rank","logfc.logfc_comb","logfc.rank","connectome.weight_sc","connectome.rank"
"1","NK","MIF","B","CD74",0.00311298954753894,2.75,1,0.202110958134098,8,0.92463651255082,1,0.534431573528571,1,0.686378734910531,1
"2","CD8 T","MIF","B","CD74",0.0762921899881467,4,2.5,0.157220261022213,9,0.915405141291405,2,0.337826643305083,3,0.525345444000836,2
"3","NK","TGFB1","NK","TGFBR1",0.171645454436609,5.25,3,0.488097893071809,2,0.701381217092248,13,0.374808572524578,2,0.431786553897436,4
"4","B","ANP32B","B","TNFRSF17",0.317285473114546,5.5,4.5,0.395717141487212,3,0.759135009165463,10,0.33080719767636,4,0.341166950558595,5
"5","B","MIF","B","CD74",0.317285473114546,5.5,4,0.139797917005679,11,0.910745230281221,3,0.296606928470673,5,0.462847475093143,3
"6","CD8 T","ANP32B","B","TNFRSF17",0.701188922546426,7.5,7,0.329202354780843,5,0.741911907807004,11,0.196191079554148,6,0.244275869913063,8
"7","NK","FASLG","CD8 T","FAS",0.772069299936543,7.5,6.5,0.492324740890841,1,0.504113245451463,16,0.181814603330202,7,0.294989059325947,6
"8","NK","ANP32B","B","TNFRSF17",0.993091557811808,8.75,8.5,0.275080503731945,6,0.724346480895672,12,0.16025313281912,8,0.165437390616515,9
"9","NK","MIF","CD8 T","CD74",0.993091557811808,10,12,0.105182032360752,12,0.898486110646152,4,-0.107685863921552,12,-0.119529158693127,12
"10","NK","FASLG","B","FAS",1,9.25,8,0.387059273087177,4,0.474066543608995,17,0.14719179274408,9,0.248114118712337,7
"11","B","TGFB1","NK","TGFBR1",1,10.25,10,0.217514444680576,7,0.610581791986968,14,0.0336499177084644,10,0.0947079777414095,10
"12","CD8 T","TGFB1","NK","TGFBR1",1,11.75,11,0.14440052196696,10,0.560926042739246,15,-0.086692515861929,11,0.00362651244108805,11
"13","NK","MIF","NK","CD74",1,11,13,0.0976341986654797,13,0.895039455280428,5,-0.128713699548885,13,-0.182285025490323,13
"14","CD8 T","MIF","CD8 T","CD74",1,12,14,0.0818201384787475,14,0.886444928937071,6,-0.304290794145041,14,-0.280562449602821,14
"15","CD8 T","MIF","NK","CD74",1,13.25,15,0.0759487478590682,15,0.882642844561539,7,-0.325318629772373,15,-0.343318316400017,16
"16","B","MIF","CD8 T","CD74",1,13.75,15.5,0.0727532498297344,16,0.880398173351262,8,-0.34551050897945,16,-0.343060418510515,15
"17","B","MIF","NK","CD74",1,15,17,0.0675324966442282,17,0.87642185430584,9,-0.366538344606783,17,-0.405816285307711,17
