"","source","target","ligand.complex","ligand","receptor.complex","receptor","ligand.expr","receptor.expr","global_mean","LRscore"
"1","B","B","MIF","MIF","CD74","CD74",0.910488685785623,4.53114927048177,0.199056328661466,0.910745230281221
"2","B","B","ANP32B","ANP32B","TNFRSF17","TNFRSF17",0.972449944693298,0.404739324486022,0.199056328661466,0.759135009165463
"3","B","NK","TGFB1","TGFB1","TGFBR1","TGFBR1",0.415304167091577,0.234552940157019,0.199056328661466,0.610581791986968
"4","B","NK","MIF","MIF","CD74","CD74",0.910488685785623,2.18887254872958,0.199056328661466,0.87642185430584
"5","B","CD8 T","MIF","MIF","CD74","CD74",0.910488685785623,2.35808831742312,0.199056328661466,0.880398173351262
"6","NK","B","FASLG","FASLG","FAS","FAS",0.27283150035115,0.117997956108831,0.199056328661466,0.474066543608995
"7","NK","B","MIF","MIF","CD74","CD74",1.31632677078381,4.53114927048177,0.199056328661466,0.92463651255082
"8","NK","B","ANP32B","ANP32B","TNFRSF17","TNFRSF17",0.675993007619002,0.404739324486022,0.199056328661466,0.724346480895672
"9","NK","NK","TGFB1","TGFB1","TGFBR1","TGFBR1",0.931933919326705,0.234552940157019,0.199056328661466,0.701381217092248
"10","NK","NK","MIF","MIF","CD74","CD74",1.31632677078381,2.18887254872958,0.199056328661466,0.895039455280428
"11","NK","CD8 T","FASLG","FASLG","FAS","FAS",0.27283150035115,0.150088932642222,0.199056328661466,0.504113245451463
"12","NK","CD8 T","MIF","MIF","CD74","CD74",1.31632677078381,2.35808831742312,0.199056328661466,0.898486110646152
"13","CD8 T","B","MIF","MIF","CD74","CD74",1.02395852458354,4.53114927048177,0.199056328661466,0.915405141291405
"14","CD8 T","B","ANP32B","ANP32B","TNFRSF17","TNFRSF17",0.8089940468497,0.404739324486022,0.199056328661466,0.741911907807004
"15","CD8 T","NK","TGFB1","TGFB1","TGFBR1","TGFBR1",0.275706464419614,0.234552940157019,0.199056328661466,0.560926042739246
"16","CD8 T","NK","MIF","MIF","CD74","CD74",1.02395852458354,2.18887254872958,0.199056328661466,0.882642844561539
"17","CD8 T","CD8 T","MIF","MIF","CD74","CD74",1.02395852458354,2.35808831742312,0.199056328661466,0.886444928937071
