"","source","target","ligand.complex","ligand","receptor.complex","receptor","ligand.log2FC","receptor.log2FC","logfc_comb"
"1","B","B","ALOX5AP","ALOX5AP","ALOX5","ALOX5",-0.30760216548831,0.470764850525116,0.081581342518403
"2","B","B","CCL5","CCL5","CXCR3","CXCR3",-1.47759320709941,-0.24491446678949,-0.861253836944451
"3","B","B","EBI3","EBI3","IL27RA","IL27RA",0.216883618224866,-0.0365999808602405,0.0901418186823128
"4","B","B","ANXA1","ANXA1","FPR1","FPR1",-1.12483936900426,0.106294195041007,-0.509272586981629
"5","B","B","ST6GAL1","ST6GAL1","CD22","CD22",-0.0114581604185499,0.56433451499203,0.27643817728674
"6","B","B","CD48","CD48","CD2","CD2",0.0425648744061289,-0.866337906498459,-0.411886516046165
"7","B","B","LGALS1","LGALS1","CD69","CD69",-0.604653890498939,0.15255899087262,-0.226047449813159
"8","B","B","SEMA4D","SEMA4D","CD72","CD72",0.0143487761876986,0.417652868554916,0.216000822371307
"9","B","B","ICAM3","ICAM3","ITGB2","ITGB2",0.0833026715507289,-0.595597836879266,-0.256147582664269
"10","B","B","LGALS1","LGALS1","ITGB1","ITGB1",-0.604653890498939,0.0432863704213086,-0.280683760038815
"11","B","B","LGALS1","LGALS1","PTPRC","PTPRC",-0.604653890498939,-0.405563991355253,-0.505108940927096
"12","B","B","TIMP1","TIMP1","CD63","CD63",-0.296323600579499,-0.643125013893469,-0.469724307236484
"13","B","B","TGFB1","TGFB1","ITGB1","ITGB1",-0.154985081600871,0.0432863704213086,-0.0558493555897812
"14","B","B","TGFB1","TGFB1","CXCR4","CXCR4",-0.154985081600871,-0.168438012732183,-0.161711547166527
"15","B","B","SELPLG","SELPLG","ITGAM","ITGAM",-0.189811184053438,0.0517097770071487,-0.0690507035231447
"16","B","B","SELPLG","SELPLG","SELL","SELL",-0.189811184053438,0.0672770008104298,-0.0612670916215042
"17","B","B","SELPLG","SELPLG","ITGB2","ITGB2",-0.189811184053438,-0.595597836879266,-0.392704510466352
"18","B","B","ADAM28","ADAM28","ITGA4","ITGA4",0.223385722534669,0.082377300980564,0.152881511757617
"19","B","B","HSP90B1","HSP90B1","TLR7","TLR7",-0.214160337170158,0.23373720496157,0.00978843389570597
"20","B","B","GNAI2","GNAI2","FPR1","FPR1",-0.00468071411239912,0.106294195041007,0.0508067404643038
"21","B","B","GNAI2","GNAI2","CXCR3","CXCR3",-0.00468071411239912,-0.24491446678949,-0.124797590450945
"22","B","B","PKM","PKM","CD44","CD44",-0.0902685629223177,-0.0844313511076289,-0.0873499570149733
"23","B","B","CALM1","CALM1","PTPRA","PTPRA",-0.333036890773107,-0.0789205844199169,-0.205978737596512
"24","B","B","SPTAN1","SPTAN1","PTPRA","PTPRA",-0.0490167530746019,-0.0789205844199169,-0.0639686687472594
"25","B","B","HLA-C","HLA-C","CD3G","CD3G",-0.188583245180214,-0.0759869878510099,-0.132285116515612
"26","B","B","HLA-A","HLA-A","CD3G","CD3G",-0.182683055816654,-0.0759869878510099,-0.129335021833832
"27","B","B","HLA-B","HLA-B","CD3G","CD3G",-0.17042703902711,-0.0759869878510099,-0.12320701343906
"28","B","B","ICAM2","ICAM2","ITGAM","ITGAM",0.0966094800074123,0.0517097770071487,0.0741596285072805
"29","B","B","CALM2","CALM2","SELL","SELL",0.136232486262427,0.0672770008104298,0.101754743536428
"30","B","B","CALM1","CALM1","SELL","SELL",-0.333036890773107,0.0672770008104298,-0.132879944981339
"31","B","B","CALM3","CALM3","SELL","SELL",-0.113697745391331,0.0672770008104298,-0.0232103722904507
"32","B","B","GNAI2","GNAI2","S1PR4","S1PR4",-0.00468071411239912,0.00131585950693702,-0.00168242730273105
"33","B","B","HLA-B","HLA-B","CANX","CANX",-0.17042703902711,-0.0323828567069288,-0.10140494786702
"34","B","B","GSTP1","GSTP1","TRAF2","TRAF2",-0.22411238585339,0.182836503499094,-0.0206379411771483
"35","B","B","CALR","CALR","HLA-F","HLA-F",-0.357109433733818,0.0323658059537378,-0.16237181389004
"36","B","B","B2M","B2M","HLA-F","HLA-F",-0.138267295896724,0.0323658059537378,-0.052950744971493
"37","B","B","LRPAP1","LRPAP1","SORL1","SORL1",-0.144285608578,-0.203173512092414,-0.173729560335207
"38","B","B","CALM1","CALM1","KCNN4","KCNN4",-0.333036890773107,0.16705956154767,-0.0829886646127185
"39","B","B","HLA-A","HLA-A","APLP2","APLP2",-0.182683055816654,0.0895229499622914,-0.0465800529271812
"40","B","B","B2M","B2M","CD3D","CD3D",-0.138267295896724,-0.66830933325692,-0.403288314576822
"41","B","B","HLA-A","HLA-A","CD3D","CD3D",-0.182683055816654,-0.66830933325692,-0.425496194536787
"42","B","B","HLA-C","HLA-C","CD3D","CD3D",-0.188583245180214,-0.66830933325692,-0.428446289218567
"43","B","B","HLA-B","HLA-B","CD3D","CD3D",-0.17042703902711,-0.66830933325692,-0.419368186142015
"44","B","B","CALM1","CALM1","FAS","FAS",-0.333036890773107,0.0415579532730192,-0.145739468750044
"45","B","B","B2M","B2M","CD247","CD247",-0.138267295896724,-0.965521292710108,-0.551894294303416
"46","B","B","CD59","CD59","CD2","CD2",-0.0766678440412057,-0.866337906498459,-0.471502875269833
"47","B","B","LTB","LTB","CD40","CD40",0.576747134115109,0.701465022786577,0.639106078450843
"48","B","B","IRAK4","IRAK4","TLR7","TLR7",0.0083048328541773,0.23373720496157,0.121021018907874
"49","B","B","ICAM2","ICAM2","ITGB2","ITGB2",0.0966094800074123,-0.595597836879266,-0.249494178435927
"50","B","B","VIM","VIM","CD44","CD44",0.152047613460124,-0.0844313511076289,0.0338081311762476
"51","B","B","B2M","B2M","CD3G","CD3G",-0.138267295896724,-0.0759869878510099,-0.107127141873867
"52","B","B","CD22","CD22","PTPRC","PTPRC",0.56433451499203,-0.405563991355253,0.0793852618183883
"53","B","B","CD52","CD52","SIGLEC10","SIGLEC10",0.26218369678939,0.180211567396826,0.221197632093108
"54","B","B","LY86","LY86","CD180","CD180",0.968975933510538,0.362543874886862,0.6657599041987
"55","B","B","PTDSS1","PTDSS1","JMJD6","JMJD6",0.112871790816374,0.0665105708175273,0.0896911808169507
"56","B","B","RPS27A","RPS27A","RIPK1","RIPK1",0.10112540119057,0.0349494202628504,0.0680374107267101
"57","B","B","UBA52","UBA52","RIPK1","RIPK1",0.152586993872965,0.0349494202628504,0.0937682070679078
