"","source","target","ligand.complex","ligand","receptor.complex","receptor","ligand.scaled","receptor.scaled","weight_sc"
"1","B","B","ADAM10","ADAM10","CD44","CD44",-0.00270690700277582,-0.051623018421187,-0.0271649627119814
"2","B","B","ITGB1BP1","ITGB1BP1","ITGB2","ITGB2",0.0766681530587189,-0.528850645187414,-0.226091246064348
"3","B","B","ITGB1BP1","ITGB1BP1","ITGB1","ITGB1",0.0766681530587189,0.0656404849081164,0.0711543189834176
"4","B","B","ITGB1BP1","ITGB1BP1","ITGB7","ITGB7",0.0766681530587189,-0.117227481820263,-0.0202796643807718
"5","B","B","HLA-B","HLA-B","CD3D","CD3D",-0.728616340036732,-0.428411266288325,-0.578513803162529
"6","B","B","HLA-B","HLA-B","CD3G","CD3G",-0.728616340036732,-0.0729012737529996,-0.400758806894866
"7","B","B","HLA-B","HLA-B","SIGLEC10","SIGLEC10",-0.728616340036732,0.350500109162648,-0.189058115437042
"8","B","B","HLA-DRA","HLA-DRA","CD63","CD63",1.19722885473265,-0.514310355793901,0.341459249469377
"9","B","B","HLA-DRA","HLA-DRA","CD37","CD37",1.19722885473265,0.788425572621197,0.992827213676925
"10","B","B","HLA-DRA","HLA-DRA","CD19","CD19",1.19722885473265,0.549691282230443,0.873460068481549
"11","B","B","HLA-DRA","HLA-DRA","CD53","CD53",1.19722885473265,-0.134870045099751,0.531179404816452
"12","B","B","HLA-DRA","HLA-DRA","CD82","CD82",1.19722885473265,0.632837129101758,0.915032991917206
"13","B","B","HLA-DRA","HLA-DRA","CD81","CD81",1.19722885473265,0.0782207897486724,0.637724822240663
"14","B","B","HLA-DRB1","HLA-DRB1","CD37","CD37",1.04330190941088,0.788425572621197,0.915863741016038
"15","B","B","HLA-DRB1","HLA-DRB1","CD19","CD19",1.04330190941088,0.549691282230443,0.796496595820662
"16","B","B","HLA-DRB1","HLA-DRB1","CD53","CD53",1.04330190941088,-0.134870045099751,0.454215932155565
"17","B","B","HLA-DRB1","HLA-DRB1","CD82","CD82",1.04330190941088,0.632837129101758,0.838069519256319
"18","B","B","HLA-DRB1","HLA-DRB1","CD81","CD81",1.04330190941088,0.0782207897486724,0.560761349579776
"19","B","B","ANXA1","ANXA1","FPR1","FPR1",-0.891677356590525,0.222620338762458,-0.334528508914034
"20","B","B","CD74","CD74","CXCR4","CXCR4",1.11638110266967,-0.131208762765105,0.492586169952284
"21","B","B","CD3D","CD3D","CD3E","CD3E",-0.428411266288325,-0.607840355935562,-0.518125811111943
"22","B","B","HLA-A","HLA-A","CD3D","CD3D",-0.749821290724325,-0.428411266288325,-0.589116278506325
"23","B","B","HLA-A","HLA-A","CD3G","CD3G",-0.749821290724325,-0.0729012737529996,-0.411361282238662
"24","B","B","HLA-A","HLA-A","APLP2","APLP2",-0.749821290724325,0.0799269211409029,-0.334947184791711
"25","B","B","ITGB2","ITGB2","ICAM2","ICAM2",-0.528850645187414,0.0887135674169522,-0.220068538885231
"26","B","B","ITGB2","ITGB2","CD82","CD82",-0.528850645187414,0.632837129101758,0.051993241957172
"27","B","B","ITGB2","ITGB2","ICAM3","ICAM3",-0.528850645187414,0.0850170768506756,-0.221916784168369
"28","B","B","ITGB1","ITGB1","CD81","CD81",0.0656404849081164,0.0782207897486724,0.0719306373283944
"29","B","B","CD2","CD2","CD48","CD48",-0.57975818134744,0.0488128787647804,-0.26547265129133
"30","B","B","CD2","CD2","CD53","CD53",-0.57975818134744,-0.134870045099751,-0.357314113223596
"31","B","B","PTPRC","PTPRC","CD22","CD22",-0.415537900453525,0.618197025849411,0.101329562697943
"32","B","B","PTPRC","PTPRC","CD247","CD247",-0.415537900453525,-0.764050310775759,-0.589794105614642
"33","B","B","CD48","CD48","CD2","CD2",0.0488128787647804,-0.57975818134744,-0.26547265129133
"34","B","B","HLA-C","HLA-C","CD3D","CD3D",-0.862434970519042,-0.428411266288325,-0.645423118403684
"35","B","B","HLA-C","HLA-C","CD3G","CD3G",-0.862434970519042,-0.0729012737529996,-0.467668122136021
"36","B","B","HLA-C","HLA-C","CD53","CD53",-0.862434970519042,-0.134870045099751,-0.498652507809396
"37","B","B","HLA-C","HLA-C","CD81","CD81",-0.862434970519042,0.0782207897486724,-0.392107090385185
"38","B","B","CD28","CD28","CD247","CD247",-0.00746375265448363,-0.764050310775759,-0.385757031715121
"39","B","B","MS4A1","MS4A1","CD53","CD53",1.19221053653168,-0.134870045099751,0.528670245715963
"40","B","B","MS4A1","MS4A1","CD82","CD82",1.19221053653168,0.632837129101758,0.912523832816717
"41","B","B","ICAM2","ICAM2","ITGB2","ITGB2",0.0887135674169522,-0.528850645187414,-0.220068538885231
"42","B","B","ICAM2","ICAM2","ITGAM","ITGAM",0.0887135674169522,0.00127482416992858,0.0449941957934404
"43","B","B","ITGA4","ITGA4","CD82","CD82",0.099110963613549,0.632837129101758,0.365974046357653
"44","B","B","ITGA4","ITGA4","CD81","CD81",0.099110963613549,0.0782207897486724,0.0886658766811107
"45","B","B","ITGA4","ITGA4","ADAM28","ADAM28",0.099110963613549,0.426905116446351,0.26300804002995
"46","B","B","SELL","SELL","SELPLG","SELPLG",0.0406173891867041,-0.178785944796187,-0.0690842778047416
"47","B","B","CD99","CD99","CD81","CD81",-0.605636213013785,0.0782207897486724,-0.263707711632556
"48","B","B","CD19","CD19","CD81","CD81",0.549691282230443,0.0782207897486724,0.313956035989558
"49","B","B","ST6GAL1","ST6GAL1","CD22","CD22",0.0261022518399216,0.618197025849411,0.322149638844666
"50","B","B","IFNAR1","IFNAR1","IFNGR1","IFNGR1",0.212855507921732,-0.162245133931649,0.0253051869950415
"51","B","B","CD53","CD53","CD37","CD37",-0.134870045099751,0.788425572621197,0.326777763760723
"52","B","B","CD22","CD22","PTPRC","PTPRC",0.618197025849411,-0.415537900453525,0.101329562697943
"53","B","B","TNFRSF1B","TNFRSF1B","TRAF2","TRAF2",-0.192736320050498,0.321488113677064,0.0643758968132829
"54","B","B","NT5E","NT5E","FCRL1","FCRL1",0.423306459364055,0.443626040470075,0.433466249917065
"55","B","B","IL4R","IL4R","IL2RG","IL2RG",0.291975618289276,-0.318034056479027,-0.0130292190948755
"56","B","B","CD40","CD40","TRAF2","TRAF2",0.771196688085814,0.321488113677064,0.546342400881439
"57","B","B","CD82","CD82","ITGB2","ITGB2",0.632837129101758,-0.528850645187414,0.051993241957172
"58","B","B","CD82","CD82","CD37","CD37",0.632837129101758,0.788425572621197,0.710631350861477
"59","B","B","CALR","CALR","HLA-F","HLA-F",-0.330657276432627,0.0380774623995144,-0.146289907016556
"60","B","B","ICAM3","ICAM3","ITGB2","ITGB2",0.0850170768506756,-0.528850645187414,-0.221916784168369
"61","B","B","FCGRT","FCGRT","IGFLR1","IGFLR1",0.21170829758803,0.08820305488705,0.14995567623754
"62","B","B","CD81","CD81","CD37","CD37",0.0782207897486724,0.788425572621197,0.433323181184934
"63","B","B","CXCR4","CXCR4","CCR7","CCR7",-0.131208762765105,0.152222040309697,0.010506638772296
"64","B","B","TNFRSF17","TNFRSF17","LY9","LY9",0.500586807392115,-0.100754005629118,0.199916400881499
"65","B","B","IL10RB","IL10RB","IFNAR1","IFNAR1",0.00167059985728805,0.212855507921732,0.10726305388951
"66","B","B","IL10RB","IL10RB","IL10RA","IL10RA",0.00167059985728805,-0.357706798287674,-0.178018099215193
"67","B","B","CD47","CD47","HLA-C","HLA-C",-0.0455568984592878,-0.862434970519042,-0.453995934489165
"68","B","B","TRAF2","TRAF2","TNFRSF1B","TNFRSF1B",0.321488113677064,-0.192736320050498,0.0643758968132829
"69","B","B","SELPLG","SELPLG","ITGB2","ITGB2",-0.178785944796187,-0.528850645187414,-0.353818294991801
"70","B","B","SELPLG","SELPLG","ITGAM","ITGAM",-0.178785944796187,0.00127482416992858,-0.0887555603131294
"71","B","B","SELPLG","SELPLG","SELL","SELL",-0.178785944796187,0.0406173891867041,-0.0690842778047416
"72","B","B","TNFRSF14","TNFRSF14","TRAF5","TRAF5",-0.00427714246203242,0.403623758114956,0.199673307826462
"73","B","B","TNFRSF14","TNFRSF14","TRAF2","TRAF2",-0.00427714246203242,0.321488113677064,0.158605485607516
"74","B","B","ADAM28","ADAM28","ITGA4","ITGA4",0.426905116446351,0.099110963613549,0.26300804002995
"75","B","B","LGALS9","LGALS9","PTPRC","PTPRC",0.37783616839183,-0.415537900453525,-0.0188508660308477
"76","B","B","LGALS9","LGALS9","CD44","CD44",0.37783616839183,-0.051623018421187,0.163106574985321
"77","B","B","LGALS9","LGALS9","CD47","CD47",0.37783616839183,-0.0455568984592878,0.166139634966271
"78","B","B","FCER2","FCER2","ITGB2","ITGB2",0.482817239818385,-0.528850645187414,-0.0230167026845146
"79","B","B","HLA-DMA","HLA-DMA","CD74","CD74",0.954774468558281,1.11638110266967,1.03557778561398
"80","B","B","HLA-DMB","HLA-DMB","CD74","CD74",0.809218408780104,1.11638110266967,0.962799755724888
"81","B","B","BAG6","BAG6","NCR3","NCR3",0.448736573116692,-0.428335531272876,0.0102005209219078
