"","source","target","ligand.complex","ligand","receptor.complex","receptor","ligand.log2FC","receptor.log2FC","logfc_comb"
"1","B","B","ADAM10","ADAM10","CD44","CD44",-0.0223185201641575,-0.106533999396204,-0.0644262597801805
"2","B","B","ITGB1BP1","ITGB1BP1","ITGB2","ITGB2",0.118053129373661,-0.591248553743323,-0.236597712184831
"3","B","B","ITGB1BP1","ITGB1BP1","ITGB1","ITGB1",0.118053129373661,0.0471020740184703,0.0825776016960657
"4","B","B","ITGB1BP1","ITGB1BP1","ITGB7","ITGB7",0.118053129373661,-0.089246100986775,0.0144035141934431
"5","B","B","HLA-B","HLA-B","CD3D","CD3D",-0.179707741254962,-0.677723267981689,-0.428715504618325
"6","B","B","HLA-B","HLA-B","CD3G","CD3G",-0.179707741254962,-0.0777228641860949,-0.128715302720528
"7","B","B","HLA-B","HLA-B","SIGLEC10","SIGLEC10",-0.179707741254962,0.178754756094679,-0.000476492580141305
"8","B","B","HLA-DRA","HLA-DRA","CD63","CD63",1.56796413170488,-0.638323018575431,0.464820556564725
"9","B","B","HLA-DRA","HLA-DRA","CD37","CD37",1.56796413170488,0.66705617862049,1.11751015516269
"10","B","B","HLA-DRA","HLA-DRA","CD19","CD19",1.56796413170488,0.507778160265359,1.03787114598512
"11","B","B","HLA-DRA","HLA-DRA","CD53","CD53",1.56796413170488,-0.0836501433840584,0.742156994160411
"12","B","B","HLA-DRA","HLA-DRA","CD82","CD82",1.56796413170488,0.59568487492316,1.08182450331402
"13","B","B","HLA-DRA","HLA-DRA","CD81","CD81",1.56796413170488,0.0655443849408498,0.816754258322866
"14","B","B","HLA-DRB1","HLA-DRB1","CD37","CD37",1.20782480514783,0.66705617862049,0.93744049188416
"15","B","B","HLA-DRB1","HLA-DRB1","CD19","CD19",1.20782480514783,0.507778160265359,0.857801482706594
"16","B","B","HLA-DRB1","HLA-DRB1","CD53","CD53",1.20782480514783,-0.0836501433840584,0.562087330881886
"17","B","B","HLA-DRB1","HLA-DRB1","CD82","CD82",1.20782480514783,0.59568487492316,0.901754840035495
"18","B","B","HLA-DRB1","HLA-DRB1","CD81","CD81",1.20782480514783,0.0655443849408498,0.63668459504434
"19","B","B","ANXA1","ANXA1","FPR1","FPR1",-1.12310354316166,0.106387825750231,-0.508357858705716
"20","B","B","CD74","CD74","CXCR4","CXCR4",0.75302082638972,-0.192559987122596,0.280230419633562
"21","B","B","CD3D","CD3D","CD3E","CD3E",-0.677723267981689,-0.848360519892807,-0.763041893937248
"22","B","B","HLA-A","HLA-A","CD3D","CD3D",-0.187291605207528,-0.677723267981689,-0.432507436594608
"23","B","B","HLA-A","HLA-A","CD3G","CD3G",-0.187291605207528,-0.0777228641860949,-0.132507234696811
"24","B","B","HLA-A","HLA-A","APLP2","APLP2",-0.187291605207528,0.0813326258145862,-0.0529794896964708
"25","B","B","ITGB2","ITGB2","ICAM2","ICAM2",-0.591248553743323,0.0971006361989291,-0.247073958772197
"26","B","B","ITGB2","ITGB2","CD82","CD82",-0.591248553743323,0.59568487492316,0.00221816058991886
"27","B","B","ITGB2","ITGB2","ICAM3","ICAM3",-0.591248553743323,0.0970697208936216,-0.24708941642485
"28","B","B","ITGB1","ITGB1","CD81","CD81",0.0471020740184703,0.0655443849408498,0.05632322947966
"29","B","B","CD2","CD2","CD48","CD48",-0.864494370532075,0.0244500846208568,-0.420022142955609
"30","B","B","CD2","CD2","CD53","CD53",-0.864494370532075,-0.0836501433840584,-0.474072256958067
"31","B","B","PTPRC","PTPRC","CD22","CD22",-0.408103887562997,0.571871257039852,0.0818836847384275
"32","B","B","PTPRC","PTPRC","CD247","CD247",-0.408103887562997,-0.975953851042584,-0.692028869302791
"33","B","B","CD48","CD48","CD2","CD2",0.0244500846208568,-0.864494370532075,-0.420022142955609
"34","B","B","HLA-C","HLA-C","CD3D","CD3D",-0.19599434627956,-0.677723267981689,-0.436858807130625
