"","source","target","ligand.complex","ligand","receptor.complex","receptor","ligand.scaled","receptor.scaled","weight_sc"
"1","B","B","CCL5","CCL5","CXCR3","CXCR3",-0.945434583746106,-0.206366198725265,-0.575900391235685
"2","B","B","EBI3","EBI3","IL27RA","IL27RA",0.426733017876244,0.0138831786255862,0.220308098250915
"3","B","B","ANXA1","ANXA1","FPR1","FPR1",-0.891677356590525,0.222620338762458,-0.334528508914034
"4","B","B","SEMA4D","SEMA4D","CD72","CD72",0.0199159093596023,0.485221202294718,0.25256855582716
"5","B","B","ICAM3","ICAM3","ITGB2","ITGB2",0.0850170768506756,-0.528850645187414,-0.221916784168369
"6","B","B","TIMP1","TIMP1","CD63","CD63",-0.262591355573702,-0.514310355793901,-0.388450855683802
"7","B","B","SELPLG","SELPLG","SELL","SELL",-0.178785944796187,0.0406173891867041,-0.0690842778047416
"8","B","B","ADAM28","ADAM28","ITGA4","ITGA4",0.426905116446351,0.099110963613549,0.26300804002995
"9","B","B","GNAI2","GNAI2","FPR1","FPR1",-0.0171793206010794,0.222620338762458,0.102720509080689
"10","B","B","ICAM2","ICAM2","ITGAM","ITGAM",0.0887135674169522,0.00127482416992858,0.0449941957934404
"11","B","B","HLA-B","HLA-B","CANX","CANX",-0.728616340036732,-0.00664882725819368,-0.367632583647463
"12","B","B","GSTP1","GSTP1","TRAF2","TRAF2",-0.209190251734672,0.321488113677064,0.056148930971196
"13","B","B","B2M","B2M","HLA-F","HLA-F",-0.96808152102379,0.0380774623995144,-0.465002029312138
"14","B","B","LRPAP1","LRPAP1","SORL1","SORL1",-0.101414032999025,-0.19098414076676,-0.146199086882893
"15","B","B","HLA-A","HLA-A","APLP2","APLP2",-0.749821290724325,0.0799269211409029,-0.334947184791711
"16","B","B","LTB","LTB","CD40","CD40",0.621584412066401,0.771196688085814,0.696390550076107
"17","B","B","ICAM2","ICAM2","ITGB2","ITGB2",0.0887135674169522,-0.528850645187414,-0.220068538885231
"18","B","B","VIM","VIM","CD44","CD44",0.202378642478704,-0.051623018421187,0.0753778120287583
"19","B","B","LY86","LY86","CD180","CD180",0.8919894643532,0.444326318284771,0.668157891318985
"20","B","B","PTDSS1","PTDSS1","JMJD6","JMJD6",0.0789395494195753,0.0715079785816555,0.0752237640006154
"21","B","NK","TGFB1","TGFB1","TGFBR3","TGFBR3",-0.163998073903803,0.318253593035569,0.0771277595658827
"22","B","NK","TGFB1","TGFB1","TGFBR1","TGFBR1",-0.163998073903803,0.353414029386622,0.0947079777414095
"23","B","NK","CCL5","CCL5","CXCR3","CXCR3",-0.945434583746106,0.0379110844817353,-0.453761749632185
"24","B","NK","GNAS","GNAS","PTGDR","PTGDR",0.136094600973003,0.614581627266401,0.375338114119702
"25","B","NK","MFNG","MFNG","NOTCH1","NOTCH1",-0.018655698477997,0.168692371645531,0.0750183365837668
"26","B","NK","HLA-A","HLA-A","KIR3DL2","KIR3DL2",-0.749821290724325,0.348584888095529,-0.200618201314398
"27","B","NK","HLA-C","HLA-C","KIR2DL3","KIR2DL3",-0.862434970519042,0.423212651268706,-0.219611159625168
"28","B","NK","ICAM3","ICAM3","ITGAL","ITGAL",0.0850170768506756,0.144412410890431,0.114714743870553
"29","B","NK","ICAM3","ICAM3","ITGB2","ITGB2",0.0850170768506756,0.752926018397243,0.418971547623959
"30","B","NK","TIMP1","TIMP1","CD63","CD63",-0.262591355573702,0.902008340804233,0.319708492615265
