"","source","target","ligand.complex","ligand","receptor.complex","receptor","ligand.log2FC","receptor.log2FC","logfc_comb"
"1","B","B","CCL5","CCL5","CXCR3","CXCR3",-1.4811784420196,-0.245854118472103,-0.863516280245852
"2","B","B","EBI3","EBI3","IL27RA","IL27RA",0.213408537097228,-0.0312646091355655,0.0910719639808311
"3","B","B","ANXA1","ANXA1","FPR1","FPR1",-1.12303489026524,0.11207424684641,-0.505480321709416
"4","B","B","SEMA4D","SEMA4D","CD72","CD72",0.0159337534687525,0.413311810012814,0.214622781740783
"5","B","B","ICAM3","ICAM3","ITGB2","ITGB2",0.0863389045063748,-0.581222651836024,-0.247441873664825
"6","B","B","TIMP1","TIMP1","CD63","CD63",-0.301735475285629,-0.640953181563711,-0.47134432842467
"7","B","B","SELPLG","SELPLG","SELL","SELL",-0.187954368614463,0.0811717101190996,-0.0533913292476819
"8","B","B","ADAM28","ADAM28","ITGA4","ITGA4",0.225638923245301,0.0847962409392098,0.155217582092255
"9","B","B","GNAI2","GNAI2","FPR1","FPR1",-0.00101524861702673,0.11207424684641,0.0555294991146915
"10","B","B","ICAM2","ICAM2","ITGAM","ITGAM",0.0942919959393538,0.0518063501739311,0.0730491730566424
"11","B","B","HLA-B","HLA-B","CANX","CANX",-0.178322778371527,-0.0278935481852967,-0.103108163278412
"12","B","B","GSTP1","GSTP1","TRAF2","TRAF2",-0.210468358477368,0.182608285788955,-0.0139300363442062
"13","B","B","B2M","B2M","HLA-F","HLA-F",-0.14742909262415,0.0370030094245177,-0.0552130415998161
"14","B","B","LRPAP1","LRPAP1","SORL1","SORL1",-0.139966961496985,-0.207417214440677,-0.173692087968831
"15","B","B","HLA-A","HLA-A","APLP2","APLP2",-0.191470041163885,0.073189551981788,-0.0591402445910487
"16","B","B","LTB","LTB","CD40","CD40",0.559166437951395,0.692265267456456,0.625715852703925
"17","B","B","ICAM2","ICAM2","ITGB2","ITGB2",0.0942919959393538,-0.581222651836024,-0.243465327948335
"18","B","B","VIM","VIM","CD44","CD44",0.138435248224561,-0.106895510821158,0.0157698687017014
"19","B","B","LY86","LY86","CD180","CD180",0.957786804598436,0.362435373573131,0.660111089085783
"20","B","B","PTDSS1","PTDSS1","JMJD6","JMJD6",0.106551079091179,0.0672630945135509,0.0869070868023651
"21","B","NK","TGFB1","TGFB1","TGFBR3","TGFBR3",-0.144235609884844,0.217929366692245,0.0368468784037002
"22","B","NK","TGFB1","TGFB1","TGFBR1","TGFBR1",-0.144235609884844,0.258429258512379,0.0570968243137671
"23","B","NK","CCL5","CCL5","CXCR3","CXCR3",-1.4811784420196,0.0282591152983793,-0.726459663360611
"24","B","NK","GNAS","GNAS","PTGDR","PTGDR",0.154121757179843,0.749107282165198,0.45161451967252
"25","B","NK","MFNG","MFNG","NOTCH1","NOTCH1",-0.037217303535113,0.0872189883932877,0.0250008424290874
"26","B","NK","HLA-A","HLA-A","KIR3DL2","KIR3DL2",-0.191470041163885,0.208327095509922,0.00842852717301834
"27","B","NK","HLA-C","HLA-C","KIR2DL3","KIR2DL3",-0.19563668788304,0.317007425812159,0.0606853689645593
"28","B","NK","ICAM3","ICAM3","ITGAL","ITGAL",0.0863389045063748,0.12214536962723,0.104242137066803
"29","B","NK","ICAM3","ICAM3","ITGB2","ITGB2",0.0863389045063748,0.756664495967707,0.421501700237041
"30","B","NK","TIMP1","TIMP1","CD63","CD63",-0.301735475285629,1.00245945068829,0.35036198770133
"31","B","NK","SELPLG","SELPLG","SELL","SELL",-0.187954368614463,0.472880089740827,0.142462860563182
"32","B","NK","TNFSF12","TNFSF12","TNFRSF25","TNFRSF25",-0.0985488134532996,0.12277605775227,0.0121136221494851
"33","B","NK","HLA-E","HLA-E","KLRD1","KLRD1",-0.178323482995041,0.939497345482225,0.380586931243592
"34","B","NK","HLA-E","HLA-E","KLRC1","KLRC1",-0.178323482995041,0.590075380820481,0.20587594891272
"35","B","NK","ICAM2","ICAM2","ITGAM","ITGAM",0.0942919959393538,0.160306975616942,0.127299485778148
"36","B","NK","LTB","LTB","TNFRSF1A","TNFRSF1A",0.559166437951395,0.279448847437181,0.419307642694288
"37","B","NK","HLA-B","HLA-B","CANX","CANX",-0.178322778371527,0.0784294061181388,-0.0499466861266941
"38","B","NK","B2M","B2M","HLA-F","HLA-F",-0.14742909262415,-0.0599589577098087,-0.103694025166979
