"","source","target","ligand.complex","ligand","receptor.complex","receptor","ligand.expr","receptor.expr","ligand.sum","receptor.sum","edge_specificity"
"1","B","B","CCL5","CCL5","CXCR3","CXCR3",0.491671035879648,0.118578093468527,6.59848126244347,0.700672742117141,0.012610139117639
"2","B","B","EBI3","EBI3","IL27RA","IL27RA",0.162130281769887,0.191378512765407,0.162130281769887,0.553902131221905,0.345509616190188
"3","B","B","ANXA1","ANXA1","FPR1","FPR1",0.393885390523984,0.106251394941705,4.42587558923229,0.154739805571736,0.0611087309336431
"4","B","B","SEMA4D","SEMA4D","CD72","CD72",0.223094502642178,0.377493402303649,0.637662063556706,0.424863534719512,0.310855242580462
"5","B","B","ICAM3","ICAM3","ITGB2","ITGB2",0.954335724036847,0.760072642284877,2.63739104504272,4.0705488221705,0.06756608994076
"6","B","B","TIMP1","TIMP1","CD63","CD63",0.137708812926166,0.48357702176794,0.934116054608886,3.18727616983789,0.0223669547328303
"7","B","B","SELPLG","SELPLG","SELL","SELL",0.177682740845203,1.30654727375117,0.864692837398174,3.79505412507465,0.070744150698841
"8","B","B","ADAM28","ADAM28","ITGA4","ITGA4",0.186510841753175,0.263518666424227,0.186510841753175,0.633102138005458,0.416234049144776
"9","B","B","GNAI2","GNAI2","FPR1","FPR1",0.426597193353934,0.106251394941705,1.31754657238961,0.154739805571736,0.222323111512493
"10","B","B","ICAM2","ICAM2","ITGAM","ITGAM",0.534134895138124,0.139321883774479,1.40033817734311,0.416354487632544,0.127636271824064
"11","B","B","HLA-B","HLA-B","CANX","CANX",2.91367368215144,0.359646316820364,9.77183363264043,1.09200351014197,0.09820111737725
"12","B","B","GSTP1","GSTP1","TRAF2","TRAF2",0.790769178332956,0.168244428119976,2.98555343053079,0.21528362903653,0.206992481108223
"13","B","B","B2M","B2M","HLA-F","HLA-F",5.08030092207413,0.789576504544845,16.4909361341051,2.2639228574605,0.107442652168767
"14","B","B","LRPAP1","LRPAP1","SORL1","SORL1",0.307755640823789,0.12750279780292,1.11623711513804,0.697683446781304,0.0503861132642778
"15","B","B","HLA-A","HLA-A","APLP2","APLP2",3.2691842147084,0.248975775464901,10.9694958864466,0.627486027700406,0.118251254718414
"16","B","B","LTB","LTB","CD40","CD40",2.96262657253701,0.685959760600616,6.15923181221312,0.780509523113104,0.422737522510463
"17","B","B","ICAM2","ICAM2","ITGB2","ITGB2",0.534134895138124,0.760072642284877,1.40033817734311,4.0705488221705,0.0712229823792638
"18","B","B","VIM","VIM","CD44","CD44",2.02913858438351,0.655390474380009,5.3647900371808,2.10305992165709,0.117871132830833
"19","B","B","LY86","LY86","CD180","CD180",0.949692744779679,0.306532618014217,0.996731945696233,0.356606400125491,0.819015844263507
"20","B","B","PTDSS1","PTDSS1","JMJD6","JMJD6",0.27507301748237,0.223981345070093,0.693695021807627,0.566095305655995,0.156892328495968
"21","B","NK","TGFB1","TGFB1","TGFBR3","TGFBR3",0.415304167091577,0.189355420774789,1.6229445508379,0.24343415955529,0.199048463342506
"22","B","NK","TGFB1","TGFB1","TGFBR1","TGFBR1",0.415304167091577,0.234552940157019,1.6229445508379,0.275940460753103,0.217514444680576
"23","B","NK","CCL5","CCL5","CXCR3","CXCR3",0.491671035879648,0.254680211646446,6.59848126244347,0.700672742117141,0.0270838635150079
"24","B","NK","GNAS","GNAS","PTGDR","PTGDR",0.734176766623014,0.825506009432042,1.86524208179663,0.980014881462446,0.331553029515524
"25","B","NK","MFNG","MFNG","NOTCH1","NOTCH1",0.442947348968493,0.136564891325529,1.36938796855623,0.239994573954884,0.184061619765235
"26","B","NK","HLA-A","HLA-A","KIR3DL2","KIR3DL2",3.2691842147084,0.182113235170343,10.9694958864466,0.221435228343895,0.245102374586971
"27","B","NK","HLA-C","HLA-C","KIR2DL3","KIR2DL3",3.48661807632961,0.258151009290912,11.7154620395393,0.258151009290912,0.29760824323978
"28","B","NK","ICAM3","ICAM3","ITGAL","ITGAL",0.954335724036847,0.251222995315255,2.63739104504272,0.540790813749418,0.16809575169484
"29","B","NK","ICAM3","ICAM3","ITGB2","ITGB2",0.954335724036847,2.20648250147255,2.63739104504272,4.0705488221705,0.196143614245927
"30","B","NK","TIMP1","TIMP1","CD63","CD63",0.137708812926166,2.07762185697321,0.934116054608886,3.18727616983789,0.0960965305112427
"31","B","NK","SELPLG","SELPLG","SELL","SELL",0.177682740845203,1.76184856458229,0.864692837398174,3.79505412507465,0.0953968393378501
