"","source","ligand","target","receptor","aggregate_rank","mean_rank","median_rank","natmi.edge_specificity","natmi.rank","sca.LRscore","sca.rank","logfc.logfc_comb","logfc.rank","connectome.weight_sc","connectome.rank"
"1","B","LY86","B","CD180",5.03241699692292e-05,27.25,2,0.819015844263507,1,0.73049658509828,104,0.660111089085783,1,0.668157891318985,3
"2","B","LTB","B","CD40",0.000300991149413004,8,5.5,0.422737522510463,9,0.877475432343291,19,0.625715852703925,2,0.696390550076107,2
"3","NK","HLA-B","NK","KLRD1",0.000398103470983345,10.5,5,0.290630374033827,31,0.91339216015765,4,0.558209966200732,6,0.787431954927532,1
"4","CD8 T","LTB","B","CD40",0.00122742334263239,21.25,23,0.316839491597607,22,0.861112309754645,27,0.368890446358301,24,0.442797191728267,12
"5","NK","HLA-E","NK","KLRD1",0.00240701689794583,13.75,9,0.283584242847116,32,0.906359991353046,11,0.535613748084328,7,0.58138421602199,5
"6","CD8 T","HLA-E","NK","KLRD1",0.00346586385607759,16.75,11.5,0.270253725867086,35,0.90429670911678,14,0.486072056861203,9,0.476999109544106,9
"7","CD8 T","HLA-B","NK","KLRD1",0.0043285876687182,19.5,16,0.261730854201732,37,0.909158828465633,9,0.464387677551909,10,0.406992541750406,22
"8","NK","HLA-E","NK","KLRC1",0.00481585839060805,25.75,22.5,0.259046569971877,38,0.875315643702142,20,0.360902765753456,25,0.413410535667085,20
"9","CD8 T","CCL5","CD8 T","CXCR3",0.00591261072656969,21.75,21.5,0.255185626971099,40,0.845122616256563,33,0.581990211419081,4,0.472833959707924,10
"10","CD8 T","HLA-E","NK","KLRC1",0.0071868152919625,35.5,39,0.246869501651864,41,0.872664425435823,22,0.31136107453033,37,0.309025429189201,42
"11","NK","HLA-C","NK","KIR2DL3",0.00789610916586219,24.5,25.5,0.367310296646233,14,0.841141063949268,37,0.244826740544331,43,0.621723154960071,4
"12","NK","TGFB1","NK","TGFBR1",0.00868055555555555,37,15,0.488097893071809,5,0.701381217092248,113,0.389873592363157,17,0.431786553897436,13
"13","B","ICAM3","NK","ITGB2",0.00868055555555555,27.25,16.5,0.196143614245927,63,0.87937208274816,17,0.421501700237041,13,0.418971547623959,16
"14","CD8 T","VIM","CD8 T","CD44",0.0102638857293375,26.5,18,0.212781351763645,54,0.886154361059951,16,0.388744206042904,18,0.417077731926311,18
"15","B","LTB","NK","TNFRSF1A",0.0122603896026149,22.75,17.5,0.324997200055308,21,0.831916761515171,48,0.419307642694288,14,0.48089548121809,8
"16","NK","GSTP1","B","TRAF2",0.0184445739306194,37.75,16.5,0.406220381847519,11,0.719650939670644,107,0.378736089456116,22,0.445591457090925,11
"17","CD8 T","TIMP1","NK","CD63",0.0199560589552328,23,15.5,0.299923637305471,25,0.826002920276668,58,0.588689812395325,3,0.540538752471835,6
"18","NK","TGFB1","NK","TGFBR3",0.0209914979798826,43,21,0.446660614743688,7,0.678493252383585,123,0.36962364645309,23,0.414206335721909,19
"19","NK","PRSS23","CD8 T","TMEM222",0.0209914979798826,44,19.5,0.433230479102069,8,0.647418134755169,129,0.393789682189398,16,0.386915156995862,23
"20","B","ICAM2","NK","ITGB2",0.0243802831024533,29.5,24.5,0.20675953268113,57,0.845052684616485,34,0.42547824595353,12,0.420819792907098,15
"21","NK","TIMP1","NK","CD63",0.0269821320719074,29.25,23,0.255828541320684,39,0.814277799451835,66,0.562431383404466,5,0.49276526611925,7
"22","CD8 T","HLA-C","NK","KIR2DL3",0.0279864213384052,43.75,49,0.335081460113987,18,0.834909028445157,42,0.163153301351839,56,0.23270698156816,59
"23","CD8 T","CCL5","NK","CXCR3",0.0299325918032591,35.75,37.5,0.198496835024107,60,0.827960159623293,54,0.49188900206084,8,0.407561944827027,21
"24","B","GNAS","NK","PTGDR",0.0299582007984685,34.5,22.5,0.331553029515524,19,0.796374226129483,82,0.45161451967252,11,0.375338114119702,26
"25","NK","TGFB1","CD8 T","TGFBR2",0.0452730451024293,47.75,27.5,0.355210329091986,16,0.69010980041239,120,0.34903469877025,30,0.376096864063747,25
"26","NK","SELPLG","NK","SELL",0.0465413024128921,45,40.5,0.226134270722469,46,0.812298223517382,67,0.341087737024346,32,0.35047570817369,35
"27","B","VIM","CD8 T","CD44",0.0465413024128921,44,45.5,0.183833301889224,67,0.878567031971259,18,0.264742262900339,40,0.28284780358617,51
