"","source","target","ligand.complex","ligand","receptor.complex","receptor","ligand.scaled","receptor.scaled","weight_sc"
"1","B","B","CCL5","CCL5","CXCR3","CXCR3",-0.945434583746106,-0.206366198725265,-0.575900391235685
"2","B","B","EBI3","EBI3","IL27RA","IL27RA",0.426733017876244,0.0138831786255862,0.220308098250915
"3","B","B","ANXA1","ANXA1","FPR1","FPR1",-0.891677356590525,0.222620338762458,-0.334528508914034
"4","B","B","MIF","MIF","CXCR4","CXCR4",-0.190686152483387,-0.131208762765105,-0.160947457624246
"5","B","B","ST6GAL1","ST6GAL1","CD22","CD22",0.0261022518399216,0.618197025849411,0.322149638844666
"6","B","B","MIF","MIF","CD74","CD74",-0.190686152483387,1.11638110266967,0.462847475093143
"7","B","B","CD2","CD2","CD48","CD48",-0.57975818134744,0.0488128787647804,-0.26547265129133
"8","B","B","CD48","CD48","CD2","CD2",0.0488128787647804,-0.57975818134744,-0.26547265129133
"9","B","B","LGALS1","LGALS1","CD69","CD69",-0.460596838299222,0.143528083727423,-0.1585343772859
"10","B","B","SEMA4D","SEMA4D","CD72","CD72",0.0199159093596023,0.485221202294718,0.25256855582716
"11","B","B","GRN","GRN","TNFRSF1B","TNFRSF1B",0.245336536936739,-0.192736320050498,0.0263001084431201
"12","B","B","ICAM3","ICAM3","ITGB2","ITGB2",0.0850170768506756,-0.528850645187414,-0.221916784168369
"13","B","B","LGALS1","LGALS1","ITGB1","ITGB1",-0.460596838299222,0.0656404849081164,-0.197478176695553
"14","B","B","LGALS1","LGALS1","PTPRC","PTPRC",-0.460596838299222,-0.415537900453525,-0.438067369376374
"15","B","B","TIMP1","TIMP1","CD63","CD63",-0.262591355573702,-0.514310355793901,-0.388450855683802
"16","B","B","SELPLG","SELPLG","SELL","SELL",-0.178785944796187,0.0406173891867041,-0.0690842778047416
"17","B","B","ADAM28","ADAM28","ITGA4","ITGA4",0.426905116446351,0.099110963613549,0.26300804002995
"18","B","B","GNAI2","GNAI2","FPR1","FPR1",-0.0171793206010794,0.222620338762458,0.102720509080689
"19","B","B","LGALS9","LGALS9","CD44","CD44",0.37783616839183,-0.051623018421187,0.163106574985321
"20","B","B","ICAM2","ICAM2","ITGAM","ITGAM",0.0887135674169522,0.00127482416992858,0.0449941957934404
"21","B","B","HLA-B","HLA-B","CANX","CANX",-0.728616340036732,-0.00664882725819368,-0.367632583647463
"22","B","B","B2M","B2M","HLA-F","HLA-F",-0.96808152102379,0.0380774623995144,-0.465002029312138
"23","B","B","LRPAP1","LRPAP1","SORL1","SORL1",-0.101414032999025,-0.19098414076676,-0.146199086882893
"24","B","B","HLA-A","HLA-A","APLP2","APLP2",-0.749821290724325,0.0799269211409029,-0.334947184791711
"25","B","B","CD59","CD59","CD2","CD2",-0.0531040771825034,-0.57975818134744,-0.316431129264972
"26","B","B","LTB","LTB","CD40","CD40",0.621584412066401,0.771196688085814,0.696390550076107
"27","B","B","ICAM2","ICAM2","ITGB2","ITGB2",0.0887135674169522,-0.528850645187414,-0.220068538885231
"28","B","B","VIM","VIM","CD44","CD44",0.202378642478704,-0.051623018421187,0.0753778120287583
"29","B","B","BAG6","BAG6","NCR3","NCR3",0.448736573116692,-0.428335531272876,0.0102005209219078
"30","B","B","PTPRC","PTPRC","CD22","CD22",-0.415537900453525,0.618197025849411,0.101329562697943
"31","B","B","CD22","CD22","PTPRC","PTPRC",0.618197025849411,-0.415537900453525,0.101329562697943
