"","source","target","ligand.complex","ligand","receptor.complex","receptor","ligand.log2FC","receptor.log2FC","logfc_comb"
"1","B","B","CCL5","CCL5","CXCR3","CXCR3",-1.48003777053467,-0.244760809528376,-0.862399290031521
"2","B","B","EBI3","EBI3","IL27RA","IL27RA",0.219533720063912,-0.0329178057927544,0.093307957135579
"3","B","B","ANXA1","ANXA1","FPR1","FPR1",-1.12693204728952,0.112517399123446,-0.507207324083035
"4","B","B","MIF","MIF","CXCR4","CXCR4",-0.176199088434093,-0.167394827391622,-0.171796957912858
"5","B","B","ST6GAL1","ST6GAL1","CD22","CD22",-0.00776800759599203,0.566198334830593,0.2792151636173
"6","B","B","MIF","MIF","CD74","CD74",-0.176199088434093,0.753111823473207,0.288456367519557
"7","B","B","CD2","CD2","CD48","CD48",-0.866228006383092,0.0299376363379014,-0.418145185022595
"8","B","B","CD48","CD48","CD2","CD2",0.0299376363379014,-0.866228006383092,-0.418145185022595
"9","B","B","LGALS1","LGALS1","CD69","CD69",-0.602921400398071,0.172152601982702,-0.215384399207684
"10","B","B","SEMA4D","SEMA4D","CD72","CD72",0.0116040762713191,0.417344126374573,0.214474101322946
"11","B","B","GRN","GRN","TNFRSF1B","TNFRSF1B",0.214739640348055,-0.203092993357983,0.00582332349503603
"12","B","B","ICAM3","ICAM3","ITGB2","ITGB2",0.0806847398653353,-0.592592235862742,-0.255953747998703
"13","B","B","LGALS1","LGALS1","ITGB1","ITGB1",-0.602921400398071,0.0495499969563491,-0.276685701720861
"14","B","B","LGALS1","LGALS1","PTPRC","PTPRC",-0.602921400398071,-0.410277487932746,-0.506599444165408
"15","B","B","TIMP1","TIMP1","CD63","CD63",-0.294065078388887,-0.647759272534718,-0.470912175461803
"16","B","B","SELPLG","SELPLG","SELL","SELL",-0.191124609851226,0.0670786397717318,-0.062022985039747
"17","B","B","ADAM28","ADAM28","ITGA4","ITGA4",0.228326680664601,0.0809027556318727,0.154614718148237
"18","B","B","GNAI2","GNAI2","FPR1","FPR1",-0.0114063994568419,0.112517399123446,0.0505554998333021
"19","B","B","LGALS9","LGALS9","CD44","CD44",0.33293862839816,-0.0943674069071277,0.119285610745516
"20","B","B","ICAM2","ICAM2","ITGAM","ITGAM",0.094572130166955,0.0382627501768288,0.0664174401718919
"21","B","B","HLA-B","HLA-B","CANX","CANX",-0.176403198264979,-0.0261830736762861,-0.101293135970632
