"","source","ligand","target","receptor","aggregate_rank","mean_rank","median_rank","natmi.edge_specificity","natmi.rank","sca.LRscore","sca.rank","logfc.logfc_comb","logfc.rank","connectome.weight_sc","connectome.rank"
"1","NK","SPON2","NK","ITGB2",1.27052461101949e-05,6.5,4.5,0.514403236506091,8,0.904614214405542,16,1.04184572762548,1,0.900084724857877,1
"2","NK","SPON2","NK","ITGA5",6.27290508023612e-05,54.25,4,0.713179695585103,2,0.7196282724764,207,0.754102774638278,2,0.658074807184322,6
"3","NK","SPON2","NK","ITGAM",9.94119205721479e-05,48.75,6.5,0.535205222597953,6,0.755728589916124,179,0.741014821686561,3,0.637597727244304,7
"4","B","LY86","B","CD180",0.000210438587233588,53.5,7,0.819015844263507,1,0.73049658509828,199,0.660213044149861,9,0.668157891318985,5
"5","B","LTB","B","CD40",0.000404238373614919,17.25,14,0.422737522510463,18,0.877475432343291,38,0.641795500936688,10,0.696390550076107,3
"6","CD8 T","LGALS3","CD8 T","LAG3",0.000784123991563056,56.5,13,0.611671055876341,3,0.731807810281419,197,0.584662525871834,12,0.569809457168014,14
"7","NK","SPON2","CD8 T","ITGB1",0.000784123991563056,55.75,12,0.460344598973609,14,0.735025756089475,194,0.704718316973834,5,0.598262277917941,10
"8","NK","HLA-B","NK","KLRD1",0.00116570633061038,22.5,11,0.290630374033827,66,0.91339216015765,6,0.55874222120976,16,0.787431954927532,2
"9","NK","SPON2","CD8 T","ITGA4",0.00139536408407902,47.25,13,0.444762432932424,17,0.776675148482705,159,0.719865727763084,4,0.604524862592911,9
"10","NK","HLA-E","NK","KLRD1",0.00139536408407902,28,15.5,0.283584242847116,69,0.906359991353046,14,0.539189783642348,17,0.58138421602199,12
"11","CD8 T","LTB","B","CD40",0.00190658099441112,46.75,51.5,0.316839491597607,50,0.861112309754645,53,0.359916578576181,56,0.442797191728267,28
"12","NK","MIF","B","CD74",0.00263586088038962,40.25,13.5,0.202110958134098,133,0.92463651255082,1,0.496168647004351,23,0.686378734910531,4
"13","NK","SPON2","B","ITGA4",0.00299322384403938,52.75,17.5,0.394996981370568,22,0.766215489946019,170,0.702258118078949,6,0.57317719746603,13
"14","NK","CD58","CD8 T","CD2",0.00386993855737717,64.5,24,0.449131626493074,15,0.734328074122931,195,0.488537343073929,24,0.468924033759146,24
"15","NK","SPON2","B","ITGB1",0.00436502925033351,65,20,0.37965250853588,25,0.715838823635983,213,0.686581738741188,7,0.556441958113314,15
"16","CD8 T","HLA-E","NK","KLRD1",0.00436502925033351,36,23.5,0.270253725867086,79,0.90429670911678,18,0.486887681789872,25,0.476999109544106,22
"17","NK","LGALS1","NK","PTPRC",0.00489984206085122,43.25,24,0.227447649770095,106,0.893389214211178,22,0.52363833942707,19,0.460244800139826,26
"18","NK","LGALS1","CD8 T","PTPRC",0.00547578446095729,44,25,0.22585220335087,108,0.893053521760135,23,0.527914246929848,18,0.455080075259001,27
"19","CD8 T","CD2","CD8 T","CD48",0.00675661812604104,45.25,27.5,0.238069460219546,101,0.888652466272176,25,0.476560929506109,26,0.437835564906849,29
"20","CD8 T","CD48","CD8 T","CD2",0.00746425454307135,45.25,27.5,0.238069460219546,101,0.888652466272176,25,0.476560929506109,26,0.437835564906849,29
"21","CD8 T","HLA-B","NK","KLRD1",0.00834532447115928,43.5,40.5,0.261730854201732,81,0.909158828465633,12,0.468336789543035,29,0.406992541750406,52
"22","NK","HLA-E","NK","KLRC1",0.00876513402187267,55.25,49.5,0.259046569971877,82,0.875315643702142,40,0.364647889515228,54,0.413410535667085,45
"23","NK","SPON2","CD8 T","ITGB2",0.00965206628420631,48.25,47,0.257377033753474,84,0.870269792434066,47,0.559157904244009,15,0.411584029054341,47
"24","NK","LGALS1","B","CD69",0.0107743061563835,49.25,33,0.223579629885901,111,0.882365383335376,32,0.511773057131655,20,0.425542004449743,34
"25","B","LTB","NK","TNFRSF1A",0.0111065752120857,46.25,38.5,0.324997200055308,43,0.831916761515171,87,0.426967477555773,34,0.48089548121809,21
"26","CD8 T","CCL5","CD8 T","CXCR3",0.0116260942687102,47.5,44.5,0.255185626971099,88,0.845122616256563,66,0.582676899820742,13,0.472833959707924,23
"27","NK","LGALS1","NK","CD69",0.0117282792581355,50.5,34,0.223575868570286,112,0.882364510230926,33,0.502945607144335,22,0.425532703312634,35
"28","NK","CLEC2B","NK","KLRF1",0.0127354210697066,79,36,0.482076550716259,11,0.694413559799148,233,0.413609846609847,36,0.420819893544858,36
"29","NK","KLRF1","NK","CLEC2B",0.0137969994791211,79,36,0.482076550716259,11,0.694413559799148,233,0.413609846609847,36,0.420819893544858,36
"30","NK","HLA-C","NK","KIR2DL3",0.0138884717840744,50.5,51,0.367310296646233,28,0.841141063949268,74,0.243218937485721,92,0.621723154960071,8
"31","NK","HLA-B","NK","KIR2DL3",0.0151361201279888,55.75,59,0.369274534682747,27,0.829021286146521,94,0.243963399734938,91,0.583980117232099,11
"32","CD8 T","HLA-E","NK","KLRC1",0.0151361201279888,76,84,0.246869501651864,94,0.872664425435823,42,0.312345787662752,79,0.309025429189201,89
"33","B","ICAM3","NK","ITGB2",0.0160884678515762,62.5,37,0.196143614245927,141,0.87937208274816,35,0.420381357295132,35,0.418971547623959,39
"34","NK","TGFB1","NK","TGFBR1",0.01861254831169,76.75,36,0.488097893071809,10,0.701381217092248,225,0.394297985815706,41,0.431786553897436,31
"35","CD8 T","TIMP1","NK","CD63",0.0209847518774259,46.75,37,0.299923637305471,57,0.826002920276668,102,0.589741910493098,11,0.540538752471835,17
"36","B","CD22","NK","PTPRC",0.0260031441826828,62.25,45.5,0.321186268387298,45,0.811708231942068,116,0.381040750702062,46,0.415565350478499,42
"37","NK","PTPRC","B","CD22",0.0276757515638092,62.25,45.5,0.321186268387298,45,0.811708231942068,116,0.381040750702062,46,0.415565350478499,42
"38","B","CD22","CD8 T","PTPRC",0.0312244530483624,64.25,48,0.318933286295284,47,0.811169706779846,118,0.385316658204841,43,0.410400625597674,49
"39","NK","SPON2","B","ITGAM",0.0312244530483624,74.5,34,0.31755010504462,49,0.704411628498931,222,0.680938115351427,8,0.52425912774422,19
"40","NK","TIMP1","NK","CD63",0.0316094489917418,58.5,53.5,0.255828541320684,87,0.814277799451835,113,0.561492318265177,14,0.49276526611925,20
"41","CD8 T","PTPRC","B","CD22",0.0331027339678311,64.25,48,0.318933286295284,47,0.811169706779846,118,0.385316658204841,43,0.410400625597674,49
"42","NK","SELPLG","NK","SELL",0.0339074018165879,92.5,92,0.226134270722469,107,0.812298223517382,115,0.330471069100122,71,0.35047570817369,77
"43","CD8 T","VIM","CD8 T","CD44",0.0350517362854553,61.5,46,0.212781351763645,126,0.886154361059951,28,0.370011846255083,51,0.417077731926311,41
"44","NK","TGFB1","NK","TGFBR3",0.0370725185132554,88.75,48,0.446660614743688,16,0.678493252383585,243,0.368134324948005,52,0.414206335721909,44
"45","B","CD48","CD8 T","CD2",0.0443734909857304,67.5,59,0.213038506350971,123,0.883036561648679,29,0.405937327343215,38,0.339938542077241,80
"46","CD8 T","CD2","B","CD48",0.0458342249723957,67.5,59,0.213038506350971,123,0.883036561648679,29,0.405937327343215,38,0.339938542077241,80
"47","NK","CD244","CD8 T","CD48",0.0504333753685501,72.75,65.5,0.348394514447537,33,0.804342387242528,127,0.313464753106087,77,0.386671210315087,54
"48","NK","TGFB1","CD8 T","TGFBR2",0.0507621079084511,96.25,57.5,0.355210329091986,32,0.69010980041239,238,0.356639021978153,57,0.376096864063747,58
"49","CD8 T","MIF","B","CD74",0.0507679440706962,67.5,41.5,0.157220261022213,185,0.915405141291405,2,0.343292179636699,65,0.525345444000836,18
"50","CD8 T","CD48","NK","CD244",0.0520406880673583,72.75,65.5,0.348394514447537,33,0.804342387242528,127,0.313464753106087,77,0.386671210315087,54
"51","NK","HLA-A","NK","KIR3DL2",0.0520406880673583,86.75,93.5,0.293904241066393,64,0.809330126596413,123,0.16569733271297,128,0.429457046914101,32
"52","B","GNAS","NK","PTGDR",0.0533138153384277,67.75,49.5,0.331553029515524,40,0.796374226129483,141,0.452239005206935,31,0.375338114119702,59
"53","CD8 T","HLA-C","NK","KIR2DL3",0.0536861168922305,90,96.5,0.335081460113987,38,0.834909028445157,80,0.161352165700206,129,0.23270698156816,113
"54","B","ICAM2","NK","ITGB2",0.0536861168922305,66.75,52.5,0.20675953268113,129,0.845052684616485,67,0.427325052445942,33,0.420819792907098,38
"55","NK","CD99","CD8 T","PILRB",0.055370259727978,98.75,97.5,0.222699147247906,115,0.803790702997901,130,0.298714896485969,80,0.357267006674297,70
