"","source","target","ligand.complex","ligand","receptor.complex","receptor","ligand.expr","receptor.expr","global_mean","LRscore"
"1","B","B","CCL5","CCL5","CXCR3","CXCR3",0.491671035879648,0.118578093468527,0.199056328661466,0.548126287927035
"2","B","B","EBI3","EBI3","IL27RA","IL27RA",0.162130281769887,0.191378512765407,0.199056328661466,0.469472734670637
"3","B","B","ANXA1","ANXA1","FPR1","FPR1",0.393885390523984,0.106251394941705,0.199056328661466,0.506836102749722
"4","B","B","MIF","MIF","CXCR4","CXCR4",0.910488685785623,1.32766130682417,0.199056328661466,0.846705239533711
"5","B","B","ST6GAL1","ST6GAL1","CD22","CD22",0.11892305380661,0.554265365533974,0.199056328661466,0.563276973821917
"6","B","B","MIF","MIF","CD74","CD74",0.910488685785623,4.53114927048177,0.199056328661466,0.910745230281221
"7","B","B","CD2","CD2","CD48","CD48",0.163910940299779,1.54599795581421,0.199056328661466,0.716625943167185
"8","B","B","CD48","CD48","CD2","CD2",1.54599795581421,0.163910940299779,0.199056328661466,0.716625943167185
"9","B","B","LGALS1","LGALS1","CD69","CD69",0.611329574820841,1.0644346189095,0.199056328661466,0.802077515801774
"10","B","B","SEMA4D","SEMA4D","CD72","CD72",0.223094502642178,0.377493402303649,0.199056328661466,0.593146061972944
"11","B","B","GRN","GRN","TNFRSF1B","TNFRSF1B",0.37397282069396,0.215719706431801,0.199056328661466,0.587949143322559
"12","B","B","ICAM3","ICAM3","ITGB2","ITGB2",0.954335724036847,0.760072642284877,0.199056328661466,0.810555993431426
"13","B","B","LGALS1","LGALS1","ITGB1","ITGB1",0.611329574820841,0.155683292441036,0.199056328661466,0.60781625293827
"14","B","B","LGALS1","LGALS1","PTPRC","PTPRC",0.611329574820841,0.761533411345825,0.199056328661466,0.77415047157222
"15","B","B","TIMP1","TIMP1","CD63","CD63",0.137708812926166,0.48357702176794,0.199056328661466,0.564535049803432
"16","B","B","SELPLG","SELPLG","SELL","SELL",0.177682740845203,1.30654727375117,0.199056328661466,0.707647038830326
"17","B","B","ADAM28","ADAM28","ITGA4","ITGA4",0.186510841753175,0.263518666424227,0.199056328661466,0.526903726706976
"18","B","B","GNAI2","GNAI2","FPR1","FPR1",0.426597193353934,0.106251394941705,0.199056328661466,0.516802730070647
"19","B","B","LGALS9","LGALS9","CD44","CD44",0.374319606450614,0.655390474380009,0.199056328661466,0.713323934237617
"20","B","B","ICAM2","ICAM2","ITGAM","ITGAM",0.534134895138124,0.139321883774479,0.199056328661466,0.57813690289177
"21","B","B","HLA-B","HLA-B","CANX","CANX",2.91367368215144,0.359646316820364,0.199056328661466,0.837202339673297
"22","B","B","B2M","B2M","HLA-F","HLA-F",5.08030092207413,0.789576504544845,0.199056328661466,0.90959693574739
"23","B","B","LRPAP1","LRPAP1","SORL1","SORL1",0.307755640823789,0.12750279780292,0.199056328661466,0.498783591837894
"24","B","B","HLA-A","HLA-A","APLP2","APLP2",3.2691842147084,0.248975775464901,0.199056328661466,0.819244581855394
"25","B","B","CD59","CD59","CD2","CD2",0.1898219513316,0.163910940299779,0.199056328661466,0.469816007001321
"26","B","B","LTB","LTB","CD40","CD40",2.96262657253701,0.685959760600616,0.199056328661466,0.877475432343291
"27","B","B","ICAM2","ICAM2","ITGB2","ITGB2",0.534134895138124,0.760072642284877,0.199056328661466,0.761957830326967
"28","B","B","VIM","VIM","CD44","CD44",2.02913858438351,0.655390474380009,0.199056328661466,0.852797267183817
"29","B","B","BAG6","BAG6","NCR3","NCR3",0.415882888083069,0.265567624522794,0.199056328661466,0.625403774110447
"30","B","B","PTPRC","PTPRC","CD22","CD22",0.761533411345825,0.554265365533974,0.199056328661466,0.765469004186124
"31","B","B","CD22","CD22","PTPRC","PTPRC",0.554265365533974,0.761533411345825,0.199056328661466,0.765469004186124
"32","B","B","CD52","CD52","SIGLEC10","SIGLEC10",2.92588119785861,0.190869862035322,0.199056328661466,0.789661057142393
"33","B","B","LY86","LY86","CD180","CD180",0.949692744779679,0.306532618014217,0.199056328661466,0.73049658509828
