"","source","target","ligand.complex","ligand","receptor.complex","receptor","ligand.scaled","receptor.scaled","weight_sc"
"1","B","B","ALOX5AP","ALOX5AP","ALOX5","ALOX5",-0.282246063610484,0.568163472075279,0.142958704232398
"2","B","B","CCL5","CCL5","CXCR3","CXCR3",-0.945434583746106,-0.206366198725265,-0.575900391235685
"3","B","B","EBI3","EBI3","IL27RA","IL27RA",0.426733017876244,0.0138831786255862,0.220308098250915
"4","B","B","ANXA1","ANXA1","FPR1","FPR1",-0.891677356590525,0.222620338762458,-0.334528508914034
"5","B","B","SEMA4D","SEMA4D","CD72","CD72",0.0199159093596023,0.485221202294718,0.25256855582716
"6","B","B","ICAM3","ICAM3","ITGB2","ITGB2",0.0850170768506756,-0.528850645187414,-0.221916784168369
"7","B","B","TIMP1","TIMP1","CD63","CD63",-0.262591355573702,-0.514310355793901,-0.388450855683802
"8","B","B","TGFB1","TGFB1","CXCR4","CXCR4",-0.163998073903803,-0.131208762765105,-0.147603418334454
"9","B","B","SELPLG","SELPLG","ITGAM","ITGAM",-0.178785944796187,0.00127482416992858,-0.0887555603131294
"10","B","B","SELPLG","SELPLG","SELL","SELL",-0.178785944796187,0.0406173891867041,-0.0690842778047416
"11","B","B","SELPLG","SELPLG","ITGB2","ITGB2",-0.178785944796187,-0.528850645187414,-0.353818294991801
"12","B","B","ADAM28","ADAM28","ITGA4","ITGA4",0.426905116446351,0.099110963613549,0.26300804002995
"13","B","B","HSP90B1","HSP90B1","TLR7","TLR7",-0.159275968721777,0.369265107098859,0.104994569188541
"14","B","B","GNAI2","GNAI2","FPR1","FPR1",-0.0171793206010794,0.222620338762458,0.102720509080689
"15","B","B","GNAI2","GNAI2","CXCR3","CXCR3",-0.0171793206010794,-0.206366198725265,-0.111772759663172
"16","B","B","PKM","PKM","CD44","CD44",-0.0877324358612182,-0.051623018421187,-0.0696777271412026
"17","B","B","CALM1","CALM1","PTPRA","PTPRA",-0.532072576245199,-0.079869577844486,-0.305971077044843
"18","B","B","HLA-C","HLA-C","CD3G","CD3G",-0.862434970519042,-0.0729012737529996,-0.467668122136021
"19","B","B","HLA-A","HLA-A","CD3G","CD3G",-0.749821290724325,-0.0729012737529996,-0.411361282238662
"20","B","B","HLA-B","HLA-B","CD3G","CD3G",-0.728616340036732,-0.0729012737529996,-0.400758806894866
"21","B","B","ICAM2","ICAM2","ITGAM","ITGAM",0.0887135674169522,0.00127482416992858,0.0449941957934404
"22","B","B","CALM2","CALM2","SELL","SELL",0.173735605714672,0.0406173891867041,0.107176497450688
"23","B","B","CALM1","CALM1","SELL","SELL",-0.532072576245199,0.0406173891867041,-0.245727593529248
"24","B","B","CALM3","CALM3","SELL","SELL",-0.0902805206606217,0.0406173891867041,-0.0248315657369588
"25","B","B","GNAI2","GNAI2","S1PR4","S1PR4",-0.0171793206010794,0.010028523213643,-0.00357539869371822
"26","B","B","HLA-B","HLA-B","CANX","CANX",-0.728616340036732,-0.00664882725819368,-0.367632583647463
"27","B","B","GSTP1","GSTP1","TRAF2","TRAF2",-0.209190251734672,0.321488113677064,0.056148930971196
"28","B","B","CALR","CALR","HLA-F","HLA-F",-0.330657276432627,0.0380774623995144,-0.146289907016556
"29","B","B","B2M","B2M","HLA-F","HLA-F",-0.96808152102379,0.0380774623995144,-0.465002029312138
"30","B","B","LRPAP1","LRPAP1","SORL1","SORL1",-0.101414032999025,-0.19098414076676,-0.146199086882893
"31","B","B","CALM1","CALM1","KCNN4","KCNN4",-0.532072576245199,0.366452497949396,-0.0828100391479015
"32","B","B","HLA-A","HLA-A","APLP2","APLP2",-0.749821290724325,0.0799269211409029,-0.334947184791711
"33","B","B","B2M","B2M","CD3D","CD3D",-0.96808152102379,-0.428411266288325,-0.698246393656057
"34","B","B","HLA-A","HLA-A","CD3D","CD3D",-0.749821290724325,-0.428411266288325,-0.589116278506325
"35","B","B","HLA-C","HLA-C","CD3D","CD3D",-0.862434970519042,-0.428411266288325,-0.645423118403684
"36","B","B","HLA-B","HLA-B","CD3D","CD3D",-0.728616340036732,-0.428411266288325,-0.578513803162529
"37","B","B","CALM1","CALM1","FAS","FAS",-0.532072576245199,0.0836555942073676,-0.224208491018916
"38","B","B","B2M","B2M","CD247","CD247",-0.96808152102379,-0.764050310775759,-0.866065915899774
"39","B","B","LTB","LTB","CD40","CD40",0.621584412066401,0.771196688085814,0.696390550076107
"40","B","B","ICAM2","ICAM2","ITGB2","ITGB2",0.0887135674169522,-0.528850645187414,-0.220068538885231
"41","B","B","VIM","VIM","CD44","CD44",0.202378642478704,-0.051623018421187,0.0753778120287583
"42","B","B","B2M","B2M","CD3G","CD3G",-0.96808152102379,-0.0729012737529996,-0.520491397388395
"43","B","B","LY86","LY86","CD180","CD180",0.8919894643532,0.444326318284771,0.668157891318985
