"","source","target","ligand.complex","ligand","receptor.complex","receptor","ligand.log2FC","receptor.log2FC","logfc_comb"
"1","B","B","ALOX5AP","ALOX5AP","ALOX5","ALOX5",-0.304626064789775,0.466712010748742,0.0810429729794835
"2","B","B","CCL5","CCL5","CXCR3","CXCR3",-1.48134291282672,-0.24522222563577,-0.863282569231243
"3","B","B","EBI3","EBI3","IL27RA","IL27RA",0.213560703972558,-0.0344354103593363,0.0895626468066109
"4","B","B","ANXA1","ANXA1","FPR1","FPR1",-1.12856710332552,0.109579140100356,-0.509493981612582
"5","B","B","SEMA4D","SEMA4D","CD72","CD72",0.0227688083287348,0.414111075930488,0.218439942129611
"6","B","B","ICAM3","ICAM3","ITGB2","ITGB2",0.0819873312624467,-0.589206214142363,-0.253609441439958
"7","B","B","TIMP1","TIMP1","CD63","CD63",-0.296948339719999,-0.64597674704634,-0.471462543383169
"8","B","B","TGFB1","TGFB1","CXCR4","CXCR4",-0.157185214836591,-0.173527039187667,-0.165356127012129
"9","B","B","SELPLG","SELPLG","ITGAM","ITGAM",-0.193972951221313,0.0555087357268823,-0.0692321077472152
"10","B","B","SELPLG","SELPLG","SELL","SELL",-0.193972951221313,0.0731100307657082,-0.0604314602278023
"11","B","B","SELPLG","SELPLG","ITGB2","ITGB2",-0.193972951221313,-0.589206214142363,-0.391589582681838
"12","B","B","ADAM28","ADAM28","ITGA4","ITGA4",0.22290046106398,0.0852004995072595,0.15405048028562
"13","B","B","HSP90B1","HSP90B1","TLR7","TLR7",-0.211856361052311,0.226654270464468,0.00739895470607842
"14","B","B","GNAI2","GNAI2","FPR1","FPR1",-0.00465931824222388,0.109579140100356,0.0524599109290661
"15","B","B","GNAI2","GNAI2","CXCR3","CXCR3",-0.00465931824222388,-0.24522222563577,-0.124940771938997
"16","B","B","PKM","PKM","CD44","CD44",-0.0878435373796037,-0.0866784740213485,-0.0872610057004761
"17","B","B","CALM1","CALM1","PTPRA","PTPRA",-0.329208965717,-0.075002716872969,-0.202105841294985
"18","B","B","HLA-C","HLA-C","CD3G","CD3G",-0.192946314675517,-0.0739705984348369,-0.133458456555177
"19","B","B","HLA-A","HLA-A","CD3G","CD3G",-0.187982559514478,-0.0739705984348369,-0.130976578974657
"20","B","B","HLA-B","HLA-B","CD3G","CD3G",-0.174574350380027,-0.0739705984348369,-0.124272474407432
"21","B","B","ICAM2","ICAM2","ITGAM","ITGAM",0.0995984423981527,0.0555087357268823,0.0775535890625175
"22","B","B","CALM2","CALM2","SELL","SELL",0.137992638680904,0.0731100307657082,0.105551334723306
"23","B","B","CALM1","CALM1","SELL","SELL",-0.329208965717,0.0731100307657082,-0.128049467475646
"24","B","B","CALM3","CALM3","SELL","SELL",-0.116625241991263,0.0731100307657082,-0.0217576056127774
"25","B","B","GNAI2","GNAI2","S1PR4","S1PR4",-0.00465931824222388,0.00990460123472259,0.00262264149624936
"26","B","B","HLA-B","HLA-B","CANX","CANX",-0.174574350380027,-0.0287648459537297,-0.101669598166878
"27","B","B","GSTP1","GSTP1","TRAF2","TRAF2",-0.221637197359492,0.183288627393982,-0.0191742849827547
"28","B","B","CALR","CALR","HLA-F","HLA-F",-0.353225957789065,0.0331483757716333,-0.160038791008716
"29","B","B","B2M","B2M","HLA-F","HLA-F",-0.142871738704209,0.0331483757716333,-0.0548616814662878
"30","B","B","LRPAP1","LRPAP1","SORL1","SORL1",-0.146062943900575,-0.209598716042698,-0.177830829971636
"31","B","B","CALM1","CALM1","KCNN4","KCNN4",-0.329208965717,0.164769863382796,-0.0822195511671022
"32","B","B","HLA-A","HLA-A","APLP2","APLP2",-0.187982559514478,0.0823478747776034,-0.0528173423684372
"33","B","B","B2M","B2M","CD3D","CD3D",-0.142871738704209,-0.67102473714291,-0.406948237923559
"34","B","B","HLA-A","HLA-A","CD3D","CD3D",-0.187982559514478,-0.67102473714291,-0.429503648328694
"35","B","B","HLA-C","HLA-C","CD3D","CD3D",-0.192946314675517,-0.67102473714291,-0.431985525909213
"36","B","B","HLA-B","HLA-B","CD3D","CD3D",-0.174574350380027,-0.67102473714291,-0.422799543761469
"37","B","B","CALM1","CALM1","FAS","FAS",-0.329208965717,0.0432631180559583,-0.142972923830521
"38","B","B","B2M","B2M","CD247","CD247",-0.142871738704209,-0.973499295211398,-0.558185516957803
"39","B","B","LTB","LTB","CD40","CD40",0.570322441830767,0.693208234574679,0.631765338202723
"40","B","B","ICAM2","ICAM2","ITGB2","ITGB2",0.0995984423981527,-0.589206214142363,-0.244803885872105
"41","B","B","VIM","VIM","CD44","CD44",0.14600377861127,-0.0866784740213485,0.0296626522949607
"42","B","B","B2M","B2M","CD3G","CD3G",-0.142871738704209,-0.0739705984348369,-0.108421168569523
"43","B","B","LY86","LY86","CD180","CD180",0.967706249627937,0.354684787757642,0.66119551869279
"44","B","B","PTDSS1","PTDSS1","JMJD6","JMJD6",0.113233164370336,0.0667172087075081,0.0899751865389221
"45","B","NK","TGFB1","TGFB1","TGFBR3","TGFBR3",-0.157185214836591,0.21599089000797,0.0294028375856895
"46","B","NK","TGFB1","TGFB1","TGFBR1","TGFBR1",-0.157185214836591,0.25671106886053,0.0497629270119694
"47","B","NK","CCL5","CCL5","CXCR3","CXCR3",-1.48134291282672,0.0341313362475043,-0.723605788289606
"48","B","NK","GNAS","GNAS","PTGDR","PTGDR",0.159518130580266,0.747050197563321,0.453284164071794
"49","B","NK","MFNG","MFNG","NOTCH1","NOTCH1",-0.031180429144427,0.0834866505640046,0.0261531107097888
"50","B","NK","HLA-A","HLA-A","KIR3DL2","KIR3DL2",-0.187982559514478,0.212853202773846,0.0124353216296841
"51","B","NK","HLA-C","HLA-C","KIR2DL3","KIR2DL3",-0.192946314675517,0.323653734191473,0.0653537097579783
"52","B","NK","LGALS9","LGALS9","HAVCR2","HAVCR2",0.338078754423014,0.346917168332565,0.34249796137779
"53","B","NK","ICAM3","ICAM3","ITGAL","ITGAL",0.0819873312624467,0.121137003844655,0.101562167553551
"54","B","NK","ICAM3","ICAM3","ITGB2","ITGB2",0.0819873312624467,0.76124503366279,0.421616182462618
"55","B","NK","TIMP1","TIMP1","CD63","CD63",-0.296948339719999,0.995057911143721,0.349054785711861
"56","B","NK","TGFB1","TGFB1","CXCR4","CXCR4",-0.157185214836591,-0.338663900649969,-0.24792455774328
"57","B","NK","SELPLG","SELPLG","ITGAM","ITGAM",-0.193972951221313,0.153601182942091,-0.0201858841396107
"58","B","NK","SELPLG","SELPLG","SELL","SELL",-0.193972951221313,0.474021474072875,0.140024261425781
"59","B","NK","SELPLG","SELPLG","ITGB2","ITGB2",-0.193972951221313,0.76124503366279,0.283636041220738
"60","B","NK","LYZ","LYZ","ITGAL","ITGAL",0.0895989396287165,0.121137003844655,0.105367971736685
"61","B","NK","TNFSF12","TNFSF12","TNFRSF25","TNFRSF25",-0.0994689425581931,0.116149068928965,0.00834006318538576
"62","B","NK","GNAI2","GNAI2","S1PR5","S1PR5",-0.00465931824222388,0.492084371085095,0.243712526421435
"63","B","NK","GNAI2","GNAI2","CXCR3","CXCR3",-0.00465931824222388,0.0341313362475043,0.0147360090026402
"64","B","NK","GNAI2","GNAI2","ADCY7","ADCY7",-0.00465931824222388,0.300919406540077,0.148130044148926
"65","B","NK","PKM","PKM","CD44","CD44",-0.0878435373796037,-0.363388381260008,-0.225615959319806
"66","B","NK","CALM1","CALM1","PTPRA","PTPRA",-0.329208965717,-0.00709251224558088,-0.168150738981291
"67","B","NK","GNAS","GNAS","ADCY7","ADCY7",0.159518130580266,0.300919406540077,0.230218768560171
"68","B","NK","HLA-C","HLA-C","CD3G","CD3G",-0.192946314675517,-0.0990995321886448,-0.146022923432081
"69","B","NK","HLA-E","HLA-E","KLRD1","KLRD1",-0.172567791509134,0.948634123014576,0.388033165752721
"70","B","NK","HLA-E","HLA-E","KLRC1","KLRC1",-0.172567791509134,0.598978322464099,0.213205265477482
"71","B","NK","HLA-A","HLA-A","CD3G","CD3G",-0.187982559514478,-0.0990995321886448,-0.143541045851561
"72","B","NK","HLA-B","HLA-B","CD3G","CD3G",-0.174574350380027,-0.0990995321886448,-0.136836941284336
"73","B","NK","ICAM2","ICAM2","ITGAM","ITGAM",0.0995984423981527,0.153601182942091,0.126599812670122
"74","B","NK","LTB","LTB","TNFRSF1A","TNFRSF1A",0.570322441830767,0.276891583764173,0.42360701279747
"75","B","NK","CALM2","CALM2","SELL","SELL",0.137992638680904,0.474021474072875,0.306007056376889
"76","B","NK","CALM1","CALM1","SELL","SELL",-0.329208965717,0.474021474072875,0.0724062541779372
"77","B","NK","CALM3","CALM3","SELL","SELL",-0.116625241991263,0.474021474072875,0.178698116040806
"78","B","NK","GNAI2","GNAI2","S1PR4","S1PR4",-0.00465931824222388,-0.012962553838287,-0.00881093604025546
"79","B","NK","HLA-B","HLA-B","CANX","CANX",-0.174574350380027,0.0813998662238753,-0.046587242078076
