"","source","target","ligand.complex","ligand","receptor.complex","receptor","ligand.expr","receptor.expr","ligand.sum","receptor.sum","edge_specificity"
"1","B","B","ALOX5AP","ALOX5AP","ALOX5","ALOX5",0.518253846943279,0.393793090881736,2.33342811341037,0.441163223297599,0.198251690606645
"2","B","B","CCL5","CCL5","CXCR3","CXCR3",0.491671035879648,0.118578093468527,6.59848126244347,0.700672742117141,0.012610139117639
"3","B","B","EBI3","EBI3","IL27RA","IL27RA",0.162130281769887,0.191378512765407,0.162130281769887,0.553902131221905,0.345509616190188
"4","B","B","ANXA1","ANXA1","FPR1","FPR1",0.393885390523984,0.106251394941705,4.42587558923229,0.154739805571736,0.0611087309336431
"5","B","B","SEMA4D","SEMA4D","CD72","CD72",0.223094502642178,0.377493402303649,0.637662063556706,0.424863534719512,0.310855242580462
"6","B","B","ICAM3","ICAM3","ITGB2","ITGB2",0.954335724036847,0.760072642284877,2.63739104504272,4.0705488221705,0.06756608994076
"7","B","B","TIMP1","TIMP1","CD63","CD63",0.137708812926166,0.48357702176794,0.934116054608886,3.18727616983789,0.0223669547328303
"8","B","B","TGFB1","TGFB1","CXCR4","CXCR4",0.415304167091577,1.32766130682417,1.6229445508379,4.41371926420569,0.0769742026402915
"9","B","B","SELPLG","SELPLG","ITGAM","ITGAM",0.177682740845203,0.139321883774479,0.864692837398174,0.416354487632544,0.0687605704736743
"10","B","B","SELPLG","SELPLG","SELL","SELL",0.177682740845203,1.30654727375117,0.864692837398174,3.79505412507465,0.070744150698841
"11","B","B","SELPLG","SELPLG","ITGB2","ITGB2",0.177682740845203,0.760072642284877,0.864692837398174,4.0705488221705,0.0383694449018788
"12","B","B","ADAM28","ADAM28","ITGA4","ITGA4",0.186510841753175,0.263518666424227,0.186510841753175,0.633102138005458,0.416234049144776
"13","B","B","HSP90B1","HSP90B1","TLR7","TLR7",0.718254166276006,0.146530502560571,2.61017649139927,0.146530502560571,0.275174559514542
"14","B","B","GNAI2","GNAI2","FPR1","FPR1",0.426597193353934,0.106251394941705,1.31754657238961,0.154739805571736,0.222323111512493
"15","B","B","GNAI2","GNAI2","CXCR3","CXCR3",0.426597193353934,0.118578093468527,1.31754657238961,0.700672742117141,0.0547950413465497
"16","B","B","PKM","PKM","CD44","CD44",0.677131888410867,0.655390474380009,2.27793473880842,2.10305992165709,0.0926361435107087
"17","B","B","CALM1","CALM1","PTPRA","PTPRA",1.57497508930134,0.124501960876382,6.14501061093323,0.484767431721319,0.0658254457517084
