"","source","ligand","target","receptor","aggregate_rank","mean_rank","median_rank","natmi.edge_specificity","natmi.rank","sca.LRscore","sca.rank","logfc.logfc_comb","logfc.rank","connectome.weight_sc","connectome.rank"
"1","NK","GZMB","CD8 T","PGRMC1",5.5738526520417e-05,37.25,6,0.538578458884076,5,0.839270379319355,136,1.04664283318899,1,0.772525220288985,7
"2","NK","HLA-C","CD8 T","CD3D",5.5738526520417e-05,22.25,7,0.261945191637333,73,0.939107106971255,7,0.66411104144064,7,0.885879203579005,2
"3","NK","SPON2","NK","ITGB2",8.30643115197559e-05,12.25,5,0.514403236506091,8,0.904614214405542,38,1.0398137358266,2,0.900084724857877,1
"4","NK","HLA-A","CD8 T","CD3D",0.000118073924121197,27,9,0.254852199298448,81,0.936385850997694,9,0.639996393546002,9,0.730926977119623,9
"5","B","LY86","B","CD180",0.000214864601684528,79.25,9.5,0.819015844263507,1,0.73049658509828,297,0.66119551869279,8,0.668157891318985,11
"6","NK","HLA-B","CD8 T","CD3D",0.000214864601684528,23,8.5,0.263345976514844,72,0.93387384894085,11,0.665271507423573,6,0.848136165851033,3
"7","NK","B2M","CD8 T","CD3D",0.000214864601684528,25,7.5,0.251281547622748,84,0.947149167275582,1,0.627126291035506,11,0.840203945689889,4
"8","NK","SPON2","NK","ITGAM",0.000278489570863454,72.5,9,0.535205222597953,6,0.755728589916124,268,0.735991810466252,4,0.637597727244304,12
"9","B","LTB","B","CD40",0.000440760288878327,23.5,12,0.422737522510463,14,0.877475432343291,60,0.631765338202723,10,0.696390550076107,10
"10","CD8 T","HLA-A","CD8 T","CD3D",0.000541211348587233,30.75,13.5,0.245757156680507,86,0.935294894635943,10,0.604324697227015,12,0.595508416749113,15
"11","CD8 T","B2M","CD8 T","CD3D",0.000655732362305737,30.75,14.5,0.242166959851424,92,0.94621676212283,2,0.593239388936246,13,0.595361563328581,16
"12","NK","HLA-B","NK","KLRD1",0.000943035598786455,26.5,22,0.290630374033827,57,0.91339216015765,26,0.561370812396753,18,0.787431954927532,5
"13","NK","HLA-E","NK","KLRD1",0.00115780032232589,33.25,27.5,0.283584242847116,60,0.906359991353046,34,0.537921906897292,21,0.58138421602199,18
"14","NK","B2M","NK","KLRD1",0.0014988168281274,26.75,18.5,0.27731598993798,64,0.930473203492175,15,0.523225596008686,22,0.779499734766389,6
"15","CD8 T","HLA-E","NK","KLRD1",0.00180022950532624,41,36,0.270253725867086,67,0.90429670911678,40,0.491772215628712,25,0.476999109544106,32
"16","CD8 T","B2M","NK","KLRD1",0.002025,33.5,24.5,0.2672570701542,69,0.929268567984557,16,0.489338693909427,27,0.534657352405081,22
