"","source","target","ligand.complex","ligand","receptor.complex","receptor","ligand.expr","receptor.expr","global_mean","LRscore"
"1","B","B","ALOX5AP","ALOX5AP","ALOX5","ALOX5",0.518253846943279,0.393793090881736,0.199056328661466,0.694142413139068
"2","B","B","CCL5","CCL5","CXCR3","CXCR3",0.491671035879648,0.118578093468527,0.199056328661466,0.548126287927035
"3","B","B","EBI3","EBI3","IL27RA","IL27RA",0.162130281769887,0.191378512765407,0.199056328661466,0.469472734670637
"4","B","B","ANXA1","ANXA1","FPR1","FPR1",0.393885390523984,0.106251394941705,0.199056328661466,0.506836102749722
"5","B","B","SEMA4D","SEMA4D","CD72","CD72",0.223094502642178,0.377493402303649,0.199056328661466,0.593146061972944
"6","B","B","ICAM3","ICAM3","ITGB2","ITGB2",0.954335724036847,0.760072642284877,0.199056328661466,0.810555993431426
"7","B","B","TIMP1","TIMP1","CD63","CD63",0.137708812926166,0.48357702176794,0.199056328661466,0.564535049803432
"8","B","B","TGFB1","TGFB1","CXCR4","CXCR4",0.415304167091577,1.32766130682417,0.199056328661466,0.78859962152013
"9","B","B","SELPLG","SELPLG","ITGAM","ITGAM",0.177682740845203,0.139321883774479,0.199056328661466,0.441470914161369
"10","B","B","SELPLG","SELPLG","SELL","SELL",0.177682740845203,1.30654727375117,0.199056328661466,0.707647038830326
"11","B","B","SELPLG","SELPLG","ITGB2","ITGB2",0.177682740845203,0.760072642284877,0.199056328661466,0.648651951369691
"12","B","B","ADAM28","ADAM28","ITGA4","ITGA4",0.186510841753175,0.263518666424227,0.199056328661466,0.526903726706976
"13","B","B","HSP90B1","HSP90B1","TLR7","TLR7",0.718254166276006,0.146530502560571,0.199056328661466,0.619739035592918
"14","B","B","GNAI2","GNAI2","FPR1","FPR1",0.426597193353934,0.106251394941705,0.199056328661466,0.516802730070647
"15","B","B","GNAI2","GNAI2","CXCR3","CXCR3",0.426597193353934,0.118578093468527,0.199056328661466,0.530491653874364
"16","B","B","PKM","PKM","CD44","CD44",0.677131888410867,0.655390474380009,0.199056328661466,0.76993793569101
"17","B","B","CALM1","CALM1","PTPRA","PTPRA",1.57497508930134,0.124501960876382,0.199056328661466,0.689882547436028
"18","B","B","HLA-C","HLA-C","CD3G","CD3G",3.48661807632961,0.218130867710745,0.199056328661466,0.814164946264649
"19","B","B","HLA-A","HLA-A","CD3G","CD3G",3.2691842147084,0.218130867710745,0.199056328661466,0.809244351632573
"20","B","B","HLA-B","HLA-B","CD3G","CD3G",2.91367368215144,0.218130867710745,0.199056328661466,0.800199987530136
"21","B","B","ICAM2","ICAM2","ITGAM","ITGAM",0.534134895138124,0.139321883774479,0.199056328661466,0.57813690289177
"22","B","B","CALM2","CALM2","SELL","SELL",1.34268611745062,1.30654727375117,0.199056328661466,0.869347013085874
"23","B","B","CALM1","CALM1","SELL","SELL",1.57497508930134,1.30654727375117,0.199056328661466,0.878145133037533
"24","B","B","CALM3","CALM3","SELL","SELL",0.591674319958562,1.30654727375117,0.199056328661466,0.815396161105061
"25","B","B","GNAI2","GNAI2","S1PR4","S1PR4",0.426597193353934,0.617799111087582,0.199056328661466,0.720594803400323
"26","B","B","HLA-B","HLA-B","CANX","CANX",2.91367368215144,0.359646316820364,0.199056328661466,0.837202339673297
"27","B","B","GSTP1","GSTP1","TRAF2","TRAF2",0.790769178332956,0.168244428119976,0.199056328661466,0.646941964234894
"28","B","B","CALR","CALR","HLA-F","HLA-F",0.571057825365127,0.789576504544845,0.199056328661466,0.771342236766389
"29","B","B","B2M","B2M","HLA-F","HLA-F",5.08030092207413,0.789576504544845,0.199056328661466,0.90959693574739
"30","B","B","LRPAP1","LRPAP1","SORL1","SORL1",0.307755640823789,0.12750279780292,0.199056328661466,0.498783591837894
"31","B","B","CALM1","CALM1","KCNN4","KCNN4",1.57497508930134,0.121263700639375,0.199056328661466,0.687056374419115
"32","B","B","HLA-A","HLA-A","APLP2","APLP2",3.2691842147084,0.248975775464901,0.199056328661466,0.819244581855394
"33","B","B","B2M","B2M","CD3D","CD3D",5.08030092207413,0.498510384940848,0.199056328661466,0.888824251561029
"34","B","B","HLA-A","HLA-A","CD3D","CD3D",3.2691842147084,0.498510384940848,0.199056328661466,0.865107107239319
"35","B","B","HLA-C","HLA-C","CD3D","CD3D",3.48661807632961,0.498510384940848,0.199056328661466,0.868820294116382
"36","B","B","HLA-B","HLA-B","CD3D","CD3D",2.91367368215144,0.498510384940848,0.199056328661466,0.858247430175829
"37","B","B","CALM1","CALM1","FAS","FAS",1.57497508930134,0.117997956108831,0.199056328661466,0.684113998777243
"38","B","B","B2M","B2M","CD247","CD247",5.08030092207413,0.269537489139202,0.199056328661466,0.854622840990334
"39","B","B","LTB","LTB","CD40","CD40",2.96262657253701,0.685959760600616,0.199056328661466,0.877475432343291
"40","B","B","ICAM2","ICAM2","ITGB2","ITGB2",0.534134895138124,0.760072642284877,0.199056328661466,0.761957830326967
"41","B","B","VIM","VIM","CD44","CD44",2.02913858438351,0.655390474380009,0.199056328661466,0.852797267183817
"42","B","B","B2M","B2M","CD3G","CD3G",5.08030092207413,0.218130867710745,0.199056328661466,0.840977959641924
"43","B","B","LY86","LY86","CD180","CD180",0.949692744779679,0.306532618014217,0.199056328661466,0.73049658509828
"44","B","B","PTDSS1","PTDSS1","JMJD6","JMJD6",0.27507301748237,0.223981345070093,0.199056328661466,0.5549550498887
"45","B","NK","TGFB1","TGFB1","TGFBR3","TGFBR3",0.415304167091577,0.189355420774789,0.199056328661466,0.584853675201545
"46","B","NK","TGFB1","TGFB1","TGFBR1","TGFBR1",0.415304167091577,0.234552940157019,0.199056328661466,0.610581791986968
"47","B","NK","CCL5","CCL5","CXCR3","CXCR3",0.491671035879648,0.254680211646446,0.199056328661466,0.639990159145765
"48","B","NK","GNAS","GNAS","PTGDR","PTGDR",0.734176766623014,0.825506009432042,0.199056328661466,0.796374226129483
"49","B","NK","MFNG","MFNG","NOTCH1","NOTCH1",0.442947348968493,0.136564891325529,0.199056328661466,0.552688062145979
"50","B","NK","HLA-A","HLA-A","KIR3DL2","KIR3DL2",3.2691842147084,0.182113235170343,0.199056328661466,0.794925385221463
"51","B","NK","HLA-C","HLA-C","KIR2DL3","KIR2DL3",3.48661807632961,0.258151009290912,0.199056328661466,0.82657254093445
"52","B","NK","LGALS9","LGALS9","HAVCR2","HAVCR2",0.374319606450614,0.320318092325787,0.199056328661466,0.634976075689551
"53","B","NK","ICAM3","ICAM3","ITGAL","ITGAL",0.954335724036847,0.251222995315255,0.199056328661466,0.710968080243627
"54","B","NK","ICAM3","ICAM3","ITGB2","ITGB2",0.954335724036847,2.20648250147255,0.199056328661466,0.87937208274816
"55","B","NK","TIMP1","TIMP1","CD63","CD63",0.137708812926166,2.07762185697321,0.199056328661466,0.728786096926508
"56","B","NK","TGFB1","TGFB1","CXCR4","CXCR4",0.415304167091577,1.07522147794157,0.199056328661466,0.77048622403464
"57","B","NK","SELPLG","SELPLG","ITGAM","ITGAM",0.177682740845203,0.234815856249862,0.199056328661466,0.506452833612648
"58","B","NK","SELPLG","SELPLG","SELL","SELL",0.177682740845203,1.76184856458229,0.199056328661466,0.737588343117485
"59","B","NK","SELPLG","SELPLG","ITGB2","ITGB2",0.177682740845203,2.20648250147255,0.199056328661466,0.758777603779181
"60","B","NK","LYZ","LYZ","ITGAL","ITGAL",1.16548664124899,0.251222995315255,0.199056328661466,0.73106440639509
"61","B","NK","TNFSF12","TNFSF12","TNFRSF25","TNFRSF25",0.135743568975994,0.293543322263097,0.199056328661466,0.500702140934129
"62","B","NK","GNAI2","GNAI2","S1PR5","S1PR5",0.426597193353934,0.646330301209225,0.199056328661466,0.725117027760787
"63","B","NK","GNAI2","GNAI2","CXCR3","CXCR3",0.426597193353934,0.254680211646446,0.199056328661466,0.62347790889845
"64","B","NK","GNAI2","GNAI2","ADCY7","ADCY7",0.426597193353934,0.313315850176681,0.199056328661466,0.647470326083761
"65","B","NK","PKM","PKM","CD44","CD44",0.677131888410867,0.425514216912607,0.199056328661466,0.729481667750752
"66","B","NK","CALM1","CALM1","PTPRA","PTPRA",1.57497508930134,0.163515073333982,0.199056328661466,0.71826306625739
"67","B","NK","GNAS","GNAS","ADCY7","ADCY7",0.734176766623014,0.313315850176681,0.199056328661466,0.706696412453363
"68","B","NK","HLA-C","HLA-C","CD3G","CD3G",3.48661807632961,0.196046214000817,0.199056328661466,0.805953952637058
"69","B","NK","HLA-E","HLA-E","KLRD1","KLRD1",2.49940506611986,1.2213122175345,0.199056328661466,0.897721163328375
"70","B","NK","HLA-E","HLA-E","KLRC1","KLRC1",2.49940506611986,0.642471081440022,0.199056328661466,0.864241780730991
"71","B","NK","HLA-A","HLA-A","CD3G","CD3G",3.2691842147084,0.196046214000817,0.199056328661466,0.800869120462477
"72","B","NK","HLA-B","HLA-B","CD3G","CD3G",2.91367368215144,0.196046214000817,0.199056328661466,0.791529955254068
"73","B","NK","ICAM2","ICAM2","ITGAM","ITGAM",0.534134895138124,0.234815856249862,0.199056328661466,0.640178086815785
"74","B","NK","LTB","LTB","TNFRSF1A","TNFRSF1A",2.96262657253701,0.327631764490504,0.199056328661466,0.831916761515171
"75","B","NK","CALM2","CALM2","SELL","SELL",1.34268611745062,1.76184856458229,0.199056328661466,0.885409496486198
"76","B","NK","CALM1","CALM1","SELL","SELL",1.57497508930134,1.76184856458229,0.199056328661466,0.893258782602827
"77","B","NK","CALM3","CALM3","SELL","SELL",0.591674319958562,1.76184856458229,0.199056328661466,0.836846578445333
"78","B","NK","GNAI2","GNAI2","S1PR4","S1PR4",0.426597193353934,0.598346267100003,0.199056328661466,0.717362692728448
"79","B","NK","HLA-B","HLA-B","CANX","CANX",2.91367368215144,0.423079387823194,0.199056328661466,0.847971248854126
"80","B","NK","CALR","CALR","HLA-F","HLA-F",0.571057825365127,0.711714099875384,0.199056328661466,0.762057966492447
